<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83423</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : GOIANIA - GO (OMM: 83423)
Latitude  (graus) : -16.66
Longitude (graus) : -49.25
Altitude  (metros): 741.48
Esta��o Operante
Inicio de opera��o: 11/07/1937
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83423;01/01/1961;1200;22.6;20.8;84;928.4;27;2.6;10;
83423;01/01/1961;1800;23.6;22;86;925.5;5;4.6;10;
83423;02/01/1961;0000;23;21;83;927.8;0;0;10;
83423;02/01/1961;1200;20.9;19.4;86;929.5;36;4.1;10;
83423;02/01/1961;1800;23.6;21.4;81;926.4;0;0;7;
83423;03/01/1961;0000;23;21.8;89;927.5;0;0;10;
83423;03/01/1961;1200;21.1;20.6;95;928.2;36;2.6;10;
83423;03/01/1961;1800;24.6;21.8;77;925.5;0;0;8;
83423;04/01/1961;0000;21;20;91;925.9;0;0;8;
83423;04/01/1961;1200;21.6;20.6;91;928;36;2.6;10;
83423;04/01/1961;1800;24.4;21.8;78;925;36;3.1;9;
83423;05/01/1961;0000;19.8;19.4;96;926.3;0;0;10;
83423;05/01/1961;1200;21.4;20.2;89;927.6;36;3.6;10;
83423;05/01/1961;1800;25;22.2;78;924;36;3.1;9;
83423;06/01/1961;0000;20.8;20.4;96;926;0;0;10;
83423;06/01/1961;1200;22.4;20.8;86;928.4;36;3.1;10;
83423;06/01/1961;1800;22.8;21;85;925.8;27;5.7;10;
83423;07/01/1961;0000;21;20.2;93;928.3;0;0;8;
83423;07/01/1961;1200;22.6;21.1;87;927.4;5;4.1;10;
83423;07/01/1961;1800;27.2;22.4;65;925.2;32;6.7;8;
83423;08/01/1961;0000;23.4;21.8;86;926.8;0;0;10;
83423;08/01/1961;1200;23.4;21.8;86;928.4;0;0;10;
83423;08/01/1961;1800;25.6;22;73;925.8;36;7.7;10;
83423;09/01/1961;0000;22.2;20.6;86;927.2;0;0;10;
