<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83432</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : BONFINOPOLIS - MG (OMM: 83432)
Latitude  (graus) : -16.56
Longitude (graus) : -45.93
Altitude  (metros): 740.00
Esta��o Desativada
Inicio de opera��o: 08/04/1976
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83432;01/05/1976;1200;23;19.2;71;;14;1;1;
83432;01/05/1976;1800;29.4;22;53;;32;3;6;
83432;02/05/1976;0000;22.6;19.6;76;;18;1;0;
83432;02/05/1976;1200;22.8;18;64;;9;9;2;
83432;02/05/1976;1800;27.4;20;51;;9;3;7;
83432;03/05/1976;0000;21.2;18.2;76;;36;1;0;
83432;03/05/1976;1200;19.4;16.4;75;;9;3;4;
83432;03/05/1976;1800;25.4;18.4;51;;9;1;4;
83432;04/05/1976;0000;21.6;17.4;68;;9;1;4;
83432;04/05/1976;1200;19.1;16.4;77;;9;3;6;
83432;04/05/1976;1800;23.4;17.8;59;;9;3;8;
83432;05/05/1976;0000;19;18.4;95;;5;1;8;
83432;05/05/1976;1200;17.3;16.8;95;;5;3;8;
83432;05/05/1976;1800;18.2;17.4;92;;5;3;9;
83432;06/05/1976;0000;17.9;17.4;95;;5;3;8;
83432;06/05/1976;1200;19;17.8;89;;5;3;8;
83432;06/05/1976;1800;25.4;20;62;;36;1;8;
83432;07/05/1976;0000;20;19;91;;36;1;4;
83432;07/05/1976;1200;19.8;17.2;79;;5;1;1;
83432;07/05/1976;1800;28.8;21;51;;36;1;4;
83432;08/05/1976;0000;20;18;83;;36;1;0;
83432;08/05/1976;1200;20.6;18.8;85;;9;1;0;
83432;08/05/1976;1800;30;22;51;;23;5;4;
83432;09/05/1976;0000;19;15.6;71;;14;1;4;
83432;09/05/1976;1200;20.6;17;71;;36;1;0;
83432;09/05/1976;1800;31.4;19.6;33;;9;1;2;
83432;10/05/1976;0000;20.4;16.4;67;;9;1;0;
83432;10/05/1976;1200;20.8;17.4;73;;36;1;1;
83432;10/05/1976;1800;30.4;22.6;52;;9;3;4;
83432;11/05/1976;0000;20.6;17.2;73;;32;1;2;
83432;11/05/1976;1200;23;18.4;65;;9;1;0;
83432;11/05/1976;1800;30.4;20.2;39;;9;3;4;
83432;12/05/1976;0000;19.8;17.4;79;;32;1;0;
83432;12/05/1976;1200;22.4;18.4;69;;9;7;0;
83432;12/05/1976;1800;29.6;20.4;44;;9;1;4;
83432;13/05/1976;0000;22.4;19;73;;9;1;4;
83432;13/05/1976;1200;23.4;19.2;68;;18;1;2;
83432;13/05/1976;1800;29.4;20.2;43;;23;3;7;
83432;14/05/1976;0000;22.2;18;68;;18;1;8;
83432;14/05/1976;1200;19.4;16;71;;18;1;2;
83432;14/05/1976;1800;29.6;20.4;44;;9;1;6;
83432;15/05/1976;0000;22.6;17.2;60;;14;1;8;
83432;15/05/1976;1200;21.8;18.4;74;;9;3;4;
83432;15/05/1976;1800;27.2;19.6;50;;9;1;4;
83432;16/05/1976;0000;21.7;18.2;73;;5;1;2;
83432;16/05/1976;1200;21.4;17.8;71;;9;1;3;
83432;16/05/1976;1800;28.4;19.6;44;;9;1;4;
83432;17/05/1976;0000;22;17.2;63;;5;1;0;
83432;17/05/1976;1200;21.4;17.2;67;;9;3;0;
83432;17/05/1976;1800;29.4;19.8;41;;5;1;2;
83432;18/05/1976;0000;19.8;15.8;67;;14;1;0;
83432;18/05/1976;1200;22.2;18.2;69;;9;1;0;
83432;18/05/1976;1800;30.2;19.4;36;;5;1;2;
83432;19/05/1976;0000;20.8;16.8;68;;9;1;0;
83432;19/05/1976;1200;23.2;17;54;;5;1;0;
83432;19/05/1976;1800;30;19.6;38;;9;1;6;
83432;20/05/1976;0000;24;17.8;55;;5;1;4;
83432;20/05/1976;1200;24;19.8;69;;5;1;6;
83432;20/05/1976;1800;28.8;20.8;50;;14;3;6;
83432;21/05/1976;0000;20;16.2;69;;9;1;6;
83432;21/05/1976;1200;21;19.2;85;;36;1;6;
83432;21/05/1976;1800;28.8;21;51;;36;1;6;
83432;22/05/1976;0000;22.2;20.4;85;;9;1;6;
83432;22/05/1976;1200;22.2;20;82;;14;3;7;
83432;22/05/1976;1800;30.4;22.6;52;;9;3;6;
83432;23/05/1976;0000;21.4;19.4;83;;9;1;6;
83432;23/05/1976;1200;21.8;19;77;;9;1;0;
83432;23/05/1976;1800;29;21;50;;9;3;4;
83432;24/05/1976;0000;23;18.4;65;;9;1;0;
83432;24/05/1976;1200;22.4;18.8;72;;14;3;2;
83432;24/05/1976;1800;28.4;20.4;49;;9;3;6;
83432;25/05/1976;0000;18.3;16.2;81;;32;1;0;
83432;25/05/1976;1200;20.7;18;78;;14;1;0;
83432;25/05/1976;1800;31;21.8;45;;9;1;2;
83432;26/05/1976;0000;21.9;17.6;67;;5;1;0;
83432;26/05/1976;1200;22.8;18;64;;9;1;0;
83432;26/05/1976;1800;31.8;22.2;44;;9;3;4;
83432;27/05/1976;0000;22.6;18.2;66;;5;1;0;
83432;27/05/1976;1200;20;18;83;;5;1;2;
83432;27/05/1976;1800;30.2;19.8;38;;9;1;4;
