<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83439</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : GRAO MOGOL - MG (OMM: 83439)
Latitude  (graus) : -16.58
Longitude (graus) : -42.9
Altitude  (metros): 819.00
Esta��o Desativada
Inicio de opera��o: 16/09/1919
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83439;01/01/1961;1200;22.4;19.7;78;921.6;32;2;10;
83439;01/01/1961;1800;25.8;21.8;69;917.9;23;2;7;
83439;02/01/1961;0000;23;20;76;919.6;23;2;9;
83439;02/01/1961;1200;23.6;20;72;922.2;23;2;9;
83439;02/01/1961;1800;25;21;69;918;32;2;9;
83439;03/01/1961;0000;21;20.8;98;921;32;2;10;
83439;03/01/1961;1200;24.4;21.5;77;918;32;2;5;
83439;03/01/1961;1800;25.4;21;67;916.6;27;2;8;
83439;04/01/1961;0000;21;20.4;94;921.1;32;2;10;
83439;04/01/1961;1200;21.8;20;85;921.1;32;2;9;
83439;04/01/1961;1800;24.8;20.8;69;916.8;32;2;8;
83439;05/01/1961;0000;22.8;20.4;81;921.1;32;2;7;
83439;05/01/1961;1200;21.8;20.4;88;921.8;23;2;9;
83439;05/01/1961;1800;27.4;21.8;60;916.6;32;2;6;
83439;06/01/1961;0000;22.2;21.8;96;921.1;23;2;3;
83439;06/01/1961;1200;23.8;21.4;81;921;23;2;7;
83439;06/01/1961;1800;21.6;19.4;81;916.8;32;2;9;
83439;07/01/1961;0000;21.2;20.6;94;921.1;32;2;10;
83439;07/01/1961;1200;22.4;21;88;921.1;23;2;7;
83439;07/01/1961;1800;26.8;22;65;917.2;32;2;9;
83439;08/01/1961;0000;23.4;21;81;921.5;32;2;9;
83439;08/01/1961;1200;22.8;21;86;920.8;32;2;10;
83439;08/01/1961;1800;23.8;21.4;81;918;23;2;7;
83439;09/01/1961;0000;22;21.6;96;921;23;2;9;
83439;09/01/1961;1200;22;20.8;89;920.8;32;2;9;
83439;09/01/1961;1800;27.6;22.8;65;917;32;2;6;
83439;10/01/1961;0000;23.8;21;78;918.8;32;2;9;
83439;10/01/1961;1200;22.4;20.4;84;919.5;32;2;5;
83439;10/01/1961;1800;26;22.2;72;916.6;32;2;10;
83439;11/01/1961;0000;22.2;20.8;87;919.8;23;2;10;
83439;11/01/1961;1200;22;21;91;919.8;23;2;10;
83439;11/01/1961;1800;25;22;77;918;23;2;8;
83439;12/01/1961;0000;22.6;20.4;82;919.6;0;0;7;
83439;12/01/1961;1200;18;17.8;98;923.4;23;2;10;
83439;12/01/1961;1800;20.4;19;87;919.9;23;2;10;
83439;13/01/1961;0000;18.4;18;96;923;23;2;10;
83439;13/01/1961;1200;20.2;19.2;91;923.2;23;2;10;
83439;13/01/1961;1800;23.8;21;78;919.5;23;2;7;
83439;14/01/1961;0000;21.2;20.4;92;922.4;0;0;10;
83439;14/01/1961;1200;22.4;20.4;84;922.4;23;2;10;
83439;14/01/1961;1800;21.8;20.1;86;919.6;23;2;10;
83439;15/01/1961;0000;19;18.6;96;923.9;23;2;10;
83439;15/01/1961;1200;19.6;19;95;923.2;23;2;10;
83439;15/01/1961;1800;23.8;20.8;76;919.5;23;2;10;
83439;16/01/1961;0000;21.6;20;87;922.4;23;2;9;
83439;16/01/1961;1200;23.8;20.4;73;924.3;23;2;9;
83439;16/01/1961;1800;27.2;21.6;60;921.1;23;2;3;
83439;17/01/1961;0000;21.2;20.9;97;923.8;23;2;4;
83439;17/01/1961;1200;21.6;19.2;80;925;23;2;10;
83439;17/01/1961;1800;27;21.6;61;921.6;23;2;5;
83439;18/01/1961;0000;21.2;19.3;83;925.1;14;2;2;
83439;18/01/1961;1200;23.2;21.2;84;925.5;14;2;9;
83439;18/01/1961;1800;28.4;21.8;56;921.9;23;2;7;
83439;19/01/1961;0000;21;20.6;96;925;0;0;0;
83439;19/01/1961;1200;22.6;19.6;76;926;23;2;10;
83439;19/01/1961;1800;27.8;21.8;58;921.6;23;2;6;
83439;20/01/1961;0000;21.8;19.7;83;925.1;14;2;0;
83439;20/01/1961;1200;19.8;18.4;87;924;32;2;10;
83439;20/01/1961;1800;23.4;20.2;75;920.8;18;2;10;
83439;21/01/1961;0000;20.6;19.2;88;922.6;14;2;3;
83439;21/01/1961;1200;21.4;20;87;922.6;32;2;10;
83439;21/01/1961;1800;20.4;19.2;89;919.9;23;2;10;
83439;22/01/1961;0000;18.4;18;96;921.4;0;0;10;
83439;22/01/1961;1200;22.6;20.2;81;922.3;32;2;7;
83439;22/01/1961;1800;23;21.2;86;919.5;23;2;9;
83439;23/01/1961;0000;21.2;20.2;91;921.1;14;2;9;
83439;23/01/1961;1200;22.2;19.8;80;924.3;32;2;9;
83439;23/01/1961;1800;26.4;21.6;65;919.1;32;2;7;
83439;24/01/1961;0000;23.6;20.8;77;921.2;32;2;7;
83439;24/01/1961;1200;23;20.6;81;922.2;32;2;9;
83439;24/01/1961;1800;26.4;22.4;70;919.1;36;4;8;
83439;25/01/1961;0000;21.2;21;98;922.3;32;4;7;
83439;25/01/1961;1200;22;21;91;923.1;32;2;9;
83439;25/01/1961;1800;21.6;20.6;91;919.6;32;2;9;
83439;26/01/1961;0000;21;20.6;96;922.4;32;2;10;
83439;26/01/1961;1200;20.6;20.3;97;921.1;32;2;10;
83439;26/01/1961;1800;24.8;21.8;76;918;32;2;8;
83439;27/01/1961;0000;20;19.7;97;919.8;32;6;10;
83439;27/01/1961;1200;22;20.6;88;921.8;32;2;10;
83439;27/01/1961;1800;25.4;21.8;72;917.9;32;2;8;
83439;28/01/1961;0000;20.6;20;95;921.1;32;2;10;
83439;28/01/1961;1200;22.4;20.6;86;923.6;36;2;7;
83439;28/01/1961;1800;27.2;21.8;61;919.2;32;2;6;
83439;29/01/1961;0000;23.2;20.8;80;922.2;0;0;8;
83439;29/01/1961;1200;22.6;21.6;91;923.5;32;2;8;
83439;29/01/1961;1800;28;22.8;63;920.3;32;2;6;
83439;30/01/1961;0000;21;20.8;98;923.5;32;2;10;
83439;30/01/1961;1200;22.8;20.8;84;923.6;23;2;8;
83439;30/01/1961;1800;26.2;22.4;72;920.6;14;2;3;
83439;31/01/1961;0000;25;21.8;75;923.5;23;2;1;
83439;31/01/1961;1200;24.6;20;65;922.7;32;2;1;
83439;31/01/1961;1800;28.8;22.4;56;918.8;32;2;4;
83439;01/02/1961;0000;22.6;19.8;77;923.5;23;2;7;
83439;01/02/1961;1200;23.4;20;73;924.2;32;2;5;
83439;01/02/1961;1800;29.2;21.8;52;920.2;23;2;2;
83439;02/02/1961;0000;21.4;20.2;89;923.1;23;2;0;
83439;02/02/1961;1200;23.2;19;67;923.5;23;2;0;
83439;02/02/1961;1800;28.8;20.2;44;921.5;23;2;0;
83439;03/02/1961;0000;21.4;19.3;82;923.5;23;2;0;
83439;03/02/1961;1200;22;18.4;70;924.8;23;2;0;
83439;03/02/1961;1800;28.8;20.6;47;921.5;23;2;0;
83439;04/02/1961;0000;23.4;19.4;68;923.5;23;2;0;
83439;04/02/1961;1200;20.2;18.6;86;925.6;23;2;10;
83439;04/02/1961;1800;27.4;21.6;59;921.5;23;2;7;
83439;05/02/1961;0000;21.8;19;78;925;23;2;1;
83439;05/02/1961;1200;23.6;20;72;924.3;32;2;4;
83439;05/02/1961;1800;27.2;21.4;58;920.8;23;4;3;
83439;06/02/1961;0000;21.8;19.9;84;924.3;23;2;0;
83439;06/02/1961;1200;22.8;20.4;81;925.5;23;2;6;
83439;06/02/1961;1800;27.6;21.4;56;921.6;23;2;2;
83439;07/02/1961;0000;21.6;19.2;80;924.8;23;2;0;
83439;07/02/1961;1200;23.6;21;79;927.4;14;2;4;
83439;07/02/1961;1800;29;21.4;50;924.2;14;2;3;
83439;08/02/1961;0000;22;20;83;926;14;2;0;
83439;08/02/1961;1200;21.8;19.6;82;927.5;32;2;7;
83439;08/02/1961;1800;29.2;21.2;48;921.5;23;2;1;
83439;09/02/1961;0000;21.6;19.8;85;925.4;23;2;0;
83439;09/02/1961;1200;23.2;20.4;77;923.5;18;2;2;
83439;09/02/1961;1800;28.2;21;52;921.5;23;2;1;
83439;10/02/1961;0000;22;20;83;923.4;14;2;0;
83439;10/02/1961;1200;23.6;20.4;74;924.2;14;2;6;
83439;10/02/1961;1800;28.6;22.2;56;919;23;2;4;
83439;11/02/1961;0000;22;20.2;85;924.3;23;2;0;
83439;11/02/1961;1200;23.8;20.4;73;922.8;32;2;2;
83439;11/02/1961;1800;29.8;22.6;53;918.8;23;2;7;
83439;12/02/1961;0000;23.2;21;82;920.6;9;2;1;
83439;12/02/1961;1200;21;19.8;89;921.5;32;2;9;
83439;12/02/1961;1800;26.4;21.8;66;919.2;32;2;6;
83439;13/02/1961;0000;21.2;19.2;83;921.6;9;2;4;
83439;13/02/1961;1200;22.6;19.8;77;921;32;2;8;
83439;13/02/1961;1800;27.4;21.6;59;916.2;32;2;3;
83439;14/02/1961;0000;23.8;20.8;76;921.2;9;2;2;
83439;14/02/1961;1200;25.6;21.8;71;922.6;32;2;3;
83439;14/02/1961;1800;20.8;20.6;98;917.9;23;2;9;
83439;15/02/1961;0000;21.6;20.8;93;921.5;32;2;8;
83439;15/02/1961;1200;21.8;21;93;925.2;23;2;10;
83439;15/02/1961;1800;23.6;21;79;920.8;23;2;7;
83439;16/02/1961;0000;20.8;19.2;87;925.2;32;2;7;
83439;16/02/1961;1200;23.4;19.8;71;925.5;23;2;6;
83439;16/02/1961;1800;26.8;20.6;56;920.7;23;2;2;
83439;17/02/1961;0000;20;19.4;94;925.1;23;2;0;
83439;17/02/1961;1200;22;18.2;69;925.1;18;2;2;
83439;17/02/1961;1800;26;20.4;60;920.6;23;2;2;
83439;18/02/1961;0000;20.2;18;80;923.8;23;2;1;
83439;18/02/1961;1200;20.8;18.9;84;924.4;32;2;8;
83439;18/02/1961;1800;25.4;20.8;66;921.9;23;2;1;
83439;19/02/1961;0000;21.8;19;77;924.4;23;2;1;
83439;19/02/1961;1200;23;19.4;71;922.3;23;2;6;
83439;19/02/1961;1800;27.4;21;55;919;23;2;2;
83439;20/02/1961;0000;21.6;19.5;82;920.8;14;2;0;
83439;20/02/1961;1200;21.4;19.4;83;922.4;32;2;8;
83439;20/02/1961;1800;25.4;20.8;66;919.1;32;2;7;
83439;21/02/1961;0000;23;19.8;74;921;0;0;7;
83439;21/02/1961;1200;24;19.8;67;922;32;2;5;
