<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83440</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : MINAS NOVAS - MG (OMM: 83440)
Latitude  (graus) : -17.23
Longitude (graus) : -42.58
Altitude  (metros): 920.78
Esta��o Desativada
Inicio de opera��o: 01/05/1956
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83440;01/01/1961;1200;23.6;21.8;85;;36;4;10;
83440;01/01/1961;1800;20.9;20.2;94;;32;1;10;
83440;02/01/1961;0000;21.4;21;96;;0;0;10;
83440;02/01/1961;1200;23.1;21.8;88;;36;1;10;
83440;02/01/1961;1800;23.4;22.4;91;;23;1;10;
83440;03/01/1961;0000;22.4;22.1;97;;0;0;1;
83440;03/01/1961;1200;22.2;21.5;93;;36;2;10;
83440;03/01/1961;1800;22.9;22;92;;32;1;10;
83440;04/01/1961;0000;22.8;21.9;92;;27;1;10;
83440;04/01/1961;1200;22.2;21.4;92;;32;1;10;
83440;04/01/1961;1800;26;21.9;69;;32;1;10;
83440;05/01/1961;0000;22.4;21.4;91;;32;1;3;
83440;05/01/1961;1200;23.6;21.6;84;;32;1;10;
83440;05/01/1961;1800;26;23.4;80;;36;2;6;
83440;06/01/1961;0000;23.6;22.2;88;;32;1;9;
83440;06/01/1961;1200;23.6;22;87;;27;1;8;
83440;06/01/1961;1800;22.6;21.6;91;;0;0;10;
83440;07/01/1961;0000;21.4;20.9;95;;0;0;10;
83440;07/01/1961;1200;23.1;21.7;88;;32;1;9;
83440;07/01/1961;1800;27.4;23.4;71;;5;5;8;
83440;08/01/1961;0000;23.8;22.4;88;;27;1;10;
83440;08/01/1961;1200;23.8;22.7;91;;32;1;10;
83440;08/01/1961;1800;24.8;21.2;72;;27;1;8;
83440;09/01/1961;0000;22.5;21.4;90;;27;1;9;
83440;09/01/1961;1200;23;21.7;89;;32;1;10;
83440;09/01/1961;1800;30.2;24;59;;36;3;7;
83440;10/01/1961;0000;24.6;22.8;86;;32;1;4;
83440;10/01/1961;1200;23.8;22.2;88;;36;3;10;
83440;10/01/1961;1800;26.8;23;72;;36;3;9;
83440;11/01/1961;0000;18.6;18.1;95;;0;0;5;
83440;11/01/1961;1200;20.2;20;98;;27;1;10;
83440;11/01/1961;1800;26.2;23.8;82;;32;2;10;
83440;12/01/1961;0000;22;21.2;93;;36;1;10;
83440;12/01/1961;1200;19.4;19.2;98;;27;1;10;
83440;12/01/1961;1800;21.8;20.5;89;;0;0;10;
83440;13/01/1961;0000;20.2;19.8;96;;0;0;8;
83440;13/01/1961;1200;23.3;21.3;84;;32;1;10;
83440;13/01/1961;1800;25.6;23.5;84;;36;1;10;
83440;14/01/1961;0000;22.6;20.4;82;;27;1;10;
83440;14/01/1961;1200;22.8;21.5;89;;32;1;10;
83440;14/01/1961;1800;21.6;21.2;97;;23;2;10;
83440;15/01/1961;0000;19.2;19;98;;0;0;10;
83440;15/01/1961;1200;21;20.4;94;;27;1;10;
83440;15/01/1961;1800;25;21.6;74;;27;1;8;
83440;16/01/1961;0000;22;21.2;93;;0;0;6;
83440;16/01/1961;1200;23.3;21;82;;32;1;7;
83440;16/01/1961;1800;29.6;22.4;52;;36;4;3;
83440;17/01/1961;0000;22.6;19.3;73;;27;1;1;
83440;17/01/1961;1200;23.6;21.2;81;;32;1;8;
83440;17/01/1961;1800;29.2;22;53;;9;3;5;
83440;18/01/1961;0000;22.6;21;87;;0;0;3;
83440;18/01/1961;1200;24.7;22;79;;32;1;9;
83440;18/01/1961;1800;27.8;23.1;67;;23;2;6;
83440;19/01/1961;0000;20.8;20.2;95;;0;0;2;
83440;19/01/1961;1200;24.1;21.8;81;;32;1;7;
83440;19/01/1961;1800;30;23.1;55;;36;3;6;
83440;20/01/1961;0000;23;20.8;82;;27;1;1;
83440;20/01/1961;1200;24.8;21.3;72;;36;3;9;
83440;20/01/1961;1800;24.5;22;80;;23;1;10;
83440;21/01/1961;0000;22;20.8;89;;0;0;8;
83440;21/01/1961;1200;19.5;19.3;98;;27;1;10;
83440;21/01/1961;1800;20.4;19.8;94;;5;3;10;
83440;22/01/1961;0000;19.4;18.8;94;;36;1;4;
83440;22/01/1961;1200;22.4;20;80;;36;3;10;
83440;22/01/1961;1800;24.2;22.3;85;;27;2;5;
