<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83442</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : ARACUAI - MG (OMM: 83442)
Latitude  (graus) : -16.83
Longitude (graus) : -42.05
Altitude  (metros): 289.00
Esta��o Operante
Inicio de opera��o: 06/09/1918
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83442;01/01/1961;1200;25.8;21.2;64;;5;2;8;
83442;01/01/1961;1800;30;23.2;51;;36;2;8;
83442;02/01/1961;0000;24.8;22.8;83;;5;2;10;
83442;02/01/1961;1200;24.6;22;79;;32;2;10;
83442;02/01/1961;1800;27.4;23.4;70;;36;2;10;
83442;03/01/1961;0000;23.8;21.8;83;;36;2;10;
83442;03/01/1961;1200;26.2;21.6;65;;36;2;8;
83442;03/01/1961;1800;28.8;23;59;;27;2;8;
83442;04/01/1961;0000;24.6;22;79;;32;2;8;
83442;04/01/1961;1200;25;22;76;;5;2;10;
83442;04/01/1961;1800;28.6;23.8;65;;36;2;10;
83442;05/01/1961;0000;23.2;21;81;;32;2;10;
83442;05/01/1961;1200;23;21.4;86;;36;2;10;
83442;05/01/1961;1800;27.8;23;65;;36;2;8;
83442;06/01/1961;0000;24;22.4;86;;36;2;10;
83442;06/01/1961;1200;27;22;63;;5;2;10;
83442;06/01/1961;1800;24.8;21;69;;32;2;10;
83442;07/01/1961;0000;23;21;83;;5;2;10;
83442;07/01/1961;1200;26.8;22;64;;5;2;10;
83442;07/01/1961;1800;28.6;23.2;61;;32;2;8;
83442;08/01/1961;0000;24.2;22.6;87;;36;2;10;
83442;08/01/1961;1200;27.6;22.4;61;;5;2;8;
83442;08/01/1961;1800;31;23.2;49;;32;2;6;
83442;09/01/1961;0000;24.5;22.2;81;;36;2;10;
83442;09/01/1961;1200;27.4;22;61;;5;2;7;
83442;09/01/1961;1800;31;23.8;53;;36;2;6;
83442;10/01/1961;0000;24;22;83;;36;2;10;
83442;10/01/1961;1200;27;22.2;64;;5;2;10;
83442;10/01/1961;1800;29;23.2;59;;32;2;8;
83442;11/01/1961;0000;23;20.8;81;;32;2;10;
83442;11/01/1961;1200;25;22;76;;32;2;10;
83442;11/01/1961;1800;26.2;22.4;71;;32;2;10;
83442;12/01/1961;0000;23;21;83;;5;2;10;
83442;12/01/1961;1200;22;21;91;;18;2;10;
83442;12/01/1961;1800;25.2;21.6;72;;32;2;10;
83442;13/01/1961;0000;22;21;91;;32;2;10;
83442;13/01/1961;1200;24.2;21.5;78;;5;2;10;
83442;13/01/1961;1800;28;22.2;58;;5;2;6;
83442;14/01/1961;0000;22;20.6;88;;5;2;10;
83442;14/01/1961;1200;27.4;22;61;;5;2;8;
83442;14/01/1961;1800;25;21.2;70;;32;2;8;
83442;15/01/1961;0000;22.8;20.8;83;;32;2;10;
83442;15/01/1961;1200;27.6;22;59;;32;2;10;
83442;15/01/1961;1800;28;23.2;65;;36;2;8;
83442;16/01/1961;0000;23;22;91;;5;2;10;
83442;16/01/1961;1200;26;21.6;66;;5;2;7;
83442;16/01/1961;1800;30.6;25;62;;36;2;6;
83442;17/01/1961;0000;22;20;82;;27;2;10;
83442;17/01/1961;1200;27;22;63;;27;2;8;
83442;17/01/1961;1800;32;23;44;;27;2;6;
