<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83446</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : GUARATINGA - BA (OMM: 83446)
Latitude  (graus) : -16.73
Longitude (graus) : -39.54
Altitude  (metros): 194.67
Esta��o Operante
Inicio de opera��o: 10/09/1973
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83446;01/01/1977;1200;23.6;22.6;93;994.4;23;2.8;6;
83446;01/01/1977;1800;29.3;23.4;62;989.6;14;3.3;8;
83446;02/01/1977;1200;26;22.9;78;992.8;9;1.6;8;
83446;02/01/1977;1800;30.6;22.4;50;984;9;5;6;
83446;03/01/1977;1200;26.4;22.4;72;991.7;5;2.8;6;
83446;03/01/1977;1800;29.8;22;52;987.3;9;5;5;
83446;04/01/1977;1200;26.6;22;68;991;9;3;3;
83446;04/01/1977;1800;;;;;9;1.3;;
83446;05/01/1977;1200;25.9;22.2;75;990.3;14;1.6;9;
83446;05/01/1977;1800;25.6;22.9;80;988.8;14;3.3;10;
83446;06/01/1977;1200;26;23.7;83;991.9;9;1.6;6;
83446;06/01/1977;1800;30;24.5;65;992.3;9;2;4;
83446;07/01/1977;1200;27.4;23.2;71;992.8;5;2.1;7;
83446;07/01/1977;1800;30;21.1;46;989.2;9;4.1;5;
83446;08/01/1977;1200;27.1;23.9;77;992.9;5;1.6;7;
83446;08/01/1977;1800;27.3;22.8;69;990.2;5;8.3;9;
83446;09/01/1977;1200;26.1;23.4;80;992.7;9;2.1;10;
83446;09/01/1977;1800;28.1;22.9;66;990.5;9;6.1;6;
83446;10/01/1977;1200;25.2;21.8;75;994.4;14;2;7;
83446;10/01/1977;1800;28.1;21.8;59;990;14;7.5;6;
83446;11/01/1977;0000;23.2;21.3;85;992.4;14;3.6;3;
83446;11/01/1977;1200;26.2;23;77;992.6;14;3;4;
83446;11/01/1977;1800;27;21.7;65;989.4;9;7.5;7;
83446;12/01/1977;0000;22.6;20.7;85;991.5;9;1.6;0;
83446;12/01/1977;1200;24.8;21.6;76;992.1;9;0.8;8;
83446;12/01/1977;1800;26.2;23;77;990.8;14;0.7;7;
83446;13/01/1977;1200;22;21.5;97;993.6;18;0.5;10;
83446;13/01/1977;1800;27.2;22.5;68;990.8;9;3.3;8;
83446;14/01/1977;0000;23.5;22.2;90;992.8;14;1.6;9;
83446;14/01/1977;1200;27.2;23.6;75;993.5;9;1.6;8;
83446;14/01/1977;1800;29.9;22.8;56;990.9;14;4.1;8;
83446;15/01/1977;0000;23.9;21.4;81;993.2;14;0.8;0;
83446;15/01/1977;1200;26.4;23.1;76;993.3;32;0.1;6;
83446;15/01/1977;1800;29.8;22.5;55;990;9;3.3;8;
83446;16/01/1977;0000;23.4;21.2;83;992.6;27;0.8;10;
83446;16/01/1977;1200;25.7;22.2;75;992.3;36;1.5;5;
83446;16/01/1977;1800;31.8;22.2;45;987.9;9;3;5;
83446;17/01/1977;0000;23.6;21.4;83;990.4;27;1;0;
83446;17/01/1977;1200;26.4;22.6;74;990.3;32;2.3;5;
83446;17/01/1977;1800;32.4;22.6;44;985.4;36;2.3;5;
83446;18/01/1977;0000;26;23;78;987.3;9;0.8;8;
83446;18/01/1977;1200;25;22.8;84;987.7;32;2.3;10;
83446;18/01/1977;1800;24.1;22.9;91;984.7;32;3.3;10;
83446;19/01/1977;0000;23.8;22.6;91;986.1;32;0.8;10;
83446;19/01/1977;1200;26.6;24.2;83;986.2;32;3.5;10;
83446;19/01/1977;1800;30.4;23.4;57;981.1;32;3.3;10;
83446;20/01/1977;0000;26.7;22.2;69;983.3;36;2.5;10;
83446;20/01/1977;1200;24.4;22.4;85;985.3;32;4;10;
83446;20/01/1977;1800;28.5;22.7;62;981.4;36;7.3;10;
83446;21/01/1977;0000;25.1;22.3;79;984.4;32;1;10;
83446;21/01/1977;1200;25.4;24.4;93;986.6;36;3.6;10;
83446;21/01/1977;1800;29.2;23.8;65;983.5;32;5;9;
83446;22/01/1977;0000;;;;;32;1;;
83446;22/01/1977;1200;25.2;23.4;87;988.4;27;2.5;10;
83446;22/01/1977;1800;25.4;24.2;91;985.6;9;0.8;10;
83446;23/01/1977;0000;23.9;23.6;98;987.9;0;0;10;
83446;23/01/1977;1200;26.4;24.8;88;988.5;36;1.3;10;
83446;23/01/1977;1800;25.7;23.6;85;985.1;18;1.6;10;
83446;24/01/1977;0000;23.2;22.8;97;988.5;36;2.3;10;
83446;24/01/1977;1200;25.4;23.8;88;989.4;36;1.8;10;
83446;24/01/1977;1800;23;22.6;97;987.2;0;0;10;
83446;25/01/1977;0000;23.1;22.6;97;988.1;0;0;10;
83446;25/01/1977;1200;25.8;23.4;83;990;32;1.8;9;
83446;25/01/1977;1800;25.1;24.2;94;989.5;36;3;10;
83446;26/01/1977;0000;21.6;20.8;94;988.7;0;0;9;
83446;26/01/1977;1200;25.6;23;81;989.7;36;2.5;6;
83446;26/01/1977;1800;30;23;57;985.5;36;3;7;
83446;27/01/1977;0000;24.3;21.9;82;987.6;5;3.3;0;
83446;27/01/1977;1200;26.6;24;81;989.9;32;2.8;5;
83446;27/01/1977;1800;32;24;53;984.2;36;3.3;7;
83446;28/01/1977;0000;25.2;22.2;78;986.4;36;1.3;0;
83446;28/01/1977;1200;25.9;23.3;81;988.8;36;3.7;6;
83446;28/01/1977;1800;31.2;23.4;53;984.6;36;3.5;6;
83446;29/01/1977;0000;25.2;22.8;82;988;32;1;2;
83446;29/01/1977;1200;25.2;23.4;87;988.7;36;2.5;10;
83446;29/01/1977;1800;27.8;23;68;985.2;36;4;10;
83446;30/01/1977;0000;24.2;21.1;77;987.2;5;2.5;8;
83446;30/01/1977;1200;26.1;23.2;79;988.8;36;3.3;7;
83446;30/01/1977;1800;30.4;22.8;53;984.7;5;4.3;6;
83446;31/01/1977;0000;25.2;22.5;80;987.2;36;2.5;0;
83446;31/01/1977;1200;27;23.6;76;989.6;36;3;6;
83446;31/01/1977;1800;30.7;23.4;56;985.5;9;3.3;7;
83446;01/02/1977;0000;22;21.4;96;989.1;23;0.8;0;
83446;01/02/1977;1200;25.8;24.8;93;991.1;36;0.8;3;
83446;01/02/1977;1800;27.9;22.6;65;987.4;27;1;7;
83446;02/02/1977;0000;23.4;20.9;81;989.5;9;0.8;7;
