<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83452</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : JURAMENTO - MG (OMM: 83452)
Latitude  (graus) : -16.77
Longitude (graus) : -43.66
Altitude  (metros): 648.00
Esta��o Operante
Inicio de opera��o: 14/11/1986
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83452;01/01/1987;1200;22.8;22.8;100;;;;9;
83452;01/01/1987;1800;28.6;26.8;87;;;;7;
83452;02/01/1987;0000;24;23.6;97;;;;2;
83452;02/01/1987;1200;26;25.2;94;;;;2;
83452;02/01/1987;1800;31.8;29.8;86;;;;2;
83452;03/01/1987;0000;24.8;24.6;98;;;;2;
83452;03/01/1987;1200;28;26.4;88;;;;0;
83452;03/01/1987;1800;29.6;29;95;;;;3;
83452;04/01/1987;0000;24.6;23.8;93;;;;1;
83452;04/01/1987;1200;28.2;26.6;88;;;;2;
83452;04/01/1987;1800;30.8;28.8;86;;;;6;
83452;05/01/1987;0000;24.8;23.8;92;;;;1;
83452;05/01/1987;1200;26.8;25;86;;;;3;
83452;05/01/1987;1800;31.2;24.4;56;;;;2;
83452;06/01/1987;0000;22;22;100;;;;9;
83452;06/01/1987;1200;23.4;22.2;90;;;;8;
83452;06/01/1987;1800;29.8;26;73;;;;3;
83452;07/01/1987;0000;21.6;21.4;98;;;;2;
83452;07/01/1987;1200;26;24.4;87;;;;3;
83452;07/01/1987;1800;33;28.2;69;;;;2;
83452;08/01/1987;0000;23.6;22.8;93;;;;0;
83452;08/01/1987;1200;26.8;25.2;88;;;;2;
83452;08/01/1987;1800;30.8;28.4;83;;;;4;
83452;09/01/1987;0000;24.2;23.8;97;;;;0;
83452;09/01/1987;1200;27.8;26.4;89;;;;1;
83452;09/01/1987;1800;30.8;28.8;86;;;;4;
83452;10/01/1987;0000;24.8;24;93;;;;8;
83452;10/01/1987;1200;28.4;27;89;;;;2;
83452;10/01/1987;1800;32.6;30;82;;;;2;
83452;11/01/1987;0000;24.6;23.8;93;;;;3;
83452;11/01/1987;1200;27.2;26;91;;;;2;
83452;11/01/1987;1800;31.8;28.6;78;;;;2;
83452;12/01/1987;0000;24.8;24.6;98;;;;0;
83452;12/01/1987;1200;26.4;24.6;86;;;;1;
83452;12/01/1987;1800;32.2;28.6;76;;;;2;
83452;13/01/1987;0000;27.3;26.7;95;;;;0;
83452;13/01/1987;1200;28;26.4;88;;;;1;
83452;13/01/1987;1800;33.2;29.8;77;;;;2;
83452;14/01/1987;0000;27.2;24.2;77;;;;0;
83452;14/01/1987;1200;27.2;25.2;85;;;;0;
83452;14/01/1987;1800;31.8;27.8;73;;;;1;
83452;15/01/1987;0000;26;24.2;86;;;;0;
83452;15/01/1987;1200;25.8;23.6;83;;;;0;
83452;15/01/1987;1800;32.4;27.6;68;;;;0;
83452;16/01/1987;0000;25;23;84;;;;0;
83452;16/01/1987;1200;27;24.2;79;;;;0;
83452;16/01/1987;1800;33.8;28.4;66;;;;0;
83452;17/01/1987;0000;23.1;21.3;85;;;;0;
83452;17/01/1987;1200;27.2;24.2;77;;;;4;
83452;17/01/1987;1800;32.6;29.2;77;;;;4;
83452;18/01/1987;0000;25.6;24.4;90;;;;8;
83452;18/01/1987;1200;25;24;92;;;;9;
83452;18/01/1987;1800;29;26.6;82;;;;7;
83452;19/01/1987;0000;25;23.2;85;;;;10;
83452;19/01/1987;1200;21.4;21.2;98;;;;9;
83452;19/01/1987;1800;27;25.4;88;;;;8;
83452;20/01/1987;0000;21.8;21.8;100;;;;9;
83452;20/01/1987;1200;19.8;19.6;98;;;;10;
83452;20/01/1987;1800;29;26.4;81;;;;8;
83452;21/01/1987;0000;22;20.2;84;;;;10;
83452;21/01/1987;1200;20.2;20.2;100;;;;9;
83452;21/01/1987;1800;23.2;22.8;97;;;;9;
83452;22/01/1987;0000;21;21;100;;;;10;
83452;22/01/1987;1200;23;22.8;98;;;;6;
83452;22/01/1987;1800;29.8;27.8;85;;;;9;
83452;23/01/1987;0000;23.4;23.2;98;;;;5;
83452;23/01/1987;1200;26.8;24.8;85;;;;0;
83452;23/01/1987;1800;29.4;27.6;87;;;;9;
83452;24/01/1987;0000;20.6;20.2;96;;;;9;
83452;24/01/1987;1200;24.2;23.4;93;;;;9;
83452;24/01/1987;1800;31.2;28.2;79;;;;1;
83452;25/01/1987;0000;24.2;24;98;;;;5;
83452;25/01/1987;1200;25.4;24.6;93;;;;3;
83452;25/01/1987;1800;28.4;26.2;84;;;;8;
83452;26/01/1987;0000;22.8;22.4;96;;;;6;
83452;26/01/1987;1200;26.8;25.2;88;;;;3;
83452;26/01/1987;1800;29.2;27.8;90;;;;8;
83452;27/01/1987;0000;24;23.4;95;;;;8;
83452;27/01/1987;1200;23.6;23;95;;;;6;
83452;27/01/1987;1800;32.8;30.6;85;;;;5;
83452;28/01/1987;0000;26;25.2;94;;;;3;
83452;28/01/1987;1200;27.6;26;88;;;;3;
83452;28/01/1987;1800;32.6;30;82;;;;5;
83452;29/01/1987;0000;21.4;20.8;95;;;;6;
83452;29/01/1987;1200;26;24.6;89;;;;4;
83452;29/01/1987;1800;31.2;29.4;87;;;;3;
83452;30/01/1987;0000;24.6;23;87;;;;0;
83452;30/01/1987;1200;26.4;24.8;87;;;;1;
83452;30/01/1987;1800;32.6;30;82;;;;3;
83452;31/01/1987;0000;25.2;24.2;92;;;;0;
83452;31/01/1987;1200;26.4;25;89;;;;4;
83452;31/01/1987;1800;30.6;28.4;84;;;;5;
83452;01/02/1987;0000;24.2;23.4;93;;;;2;
83452;01/02/1987;1200;24.8;22.8;84;;;;4;
83452;01/02/1987;1800;31;28.8;84;;;;4;
83452;02/02/1987;0000;23.6;23.2;97;;;;0;
83452;02/02/1987;1200;23.4;22.8;95;;;;2;
83452;02/02/1987;1800;33.4;30.4;80;;;;2;
83452;03/02/1987;0000;24.2;23;90;;;;0;
83452;03/02/1987;1200;28.8;26;80;;;;0;
83452;03/02/1987;1800;35;32;81;;;;3;
83452;04/02/1987;0000;26.6;26;95;;;;0;
83452;04/02/1987;1200;28.2;25.8;82;;;;0;
83452;04/02/1987;1800;34.8;30.8;74;;;;3;
83452;05/02/1987;0000;26;25.2;94;;;;0;
83452;05/02/1987;1200;30.4;27.8;82;;;;1;
83452;05/02/1987;1800;32.4;30;83;;;;0;
83452;06/02/1987;0000;24.4;23.2;90;;;;0;
83452;06/02/1987;1200;28.8;26.2;81;;;;2;
83452;06/02/1987;1800;34;29;68;;;;0;
83452;07/02/1987;0000;26.4;23.8;80;;;;0;
83452;07/02/1987;1200;28.8;26.6;84;;;;0;
83452;07/02/1987;1800;34;30.2;75;;;;3;
83452;08/02/1987;0000;27.2;25;83;;;;0;
83452;08/02/1987;1200;29;26;78;;;;1;
83452;08/02/1987;1800;34.4;30.4;74;;;;0;
83452;09/02/1987;0000;25;22.5;80;;;;0;
83452;09/02/1987;1200;27.8;24.3;74;;;;0;
83452;09/02/1987;1800;31;28;79;;;;5;
83452;10/02/1987;0000;26;23.8;83;;;;5;
83452;10/02/1987;1200;24.2;23;90;;;;9;
83452;10/02/1987;1800;30.4;22.8;51;;;;5;
83452;11/02/1987;0000;27;24;77;;;;0;
83452;11/02/1987;1200;22.6;21.4;90;;;;10;
83452;11/02/1987;1800;27.2;25.8;89;;;;9;
83452;12/02/1987;0000;24;23.2;93;;;;8;
83452;12/02/1987;1200;23.8;22.8;92;;;;10;
83452;12/02/1987;1800;29;26.4;81;;;;6;
83452;13/02/1987;0000;24;22.8;90;;;;9;
83452;13/02/1987;1200;24.6;22.8;85;;;;8;
83452;13/02/1987;1800;29;27.4;88;;;;8;
83452;14/02/1987;0000;23.6;22;87;;;;0;
83452;14/02/1987;1200;26.4;25;89;;;;7;
83452;14/02/1987;1800;30;27;79;;;;3;
83452;15/02/1987;0000;25.4;24;89;;;;3;
83452;15/02/1987;1200;26;24.6;89;;;;8;
83452;15/02/1987;1800;28.4;28.4;100;;;;4;
83452;16/02/1987;0000;25;24;92;;;;2;
83452;16/02/1987;1200;26.8;25;86;;;;4;
83452;16/02/1987;1800;31.4;29.2;85;;;;5;
83452;17/02/1987;0000;24.4;23.8;95;;;;0;
83452;17/02/1987;1200;26.8;25.2;88;;;;4;
83452;17/02/1987;1800;30.4;27.2;77;;;;8;
83452;18/02/1987;0000;24.2;23.2;92;;;;5;
83452;18/02/1987;1200;27.2;25;83;;;;4;
83452;18/02/1987;1800;31.2;28;78;;;;4;
83452;19/02/1987;0000;25.6;25.2;97;;;;5;
83452;19/02/1987;1200;25;24;92;;;;8;
83452;19/02/1987;1800;30.8;28.6;84;;;;4;
83452;20/02/1987;0000;24.6;23.4;90;;;;0;
83452;20/02/1987;1200;26.6;25.2;89;;;;2;
83452;20/02/1987;1800;31.8;27.8;73;;;;4;
83452;21/02/1987;0000;25;24;92;;;;0;
83452;21/02/1987;1200;25;23.2;85;;;;3;
83452;21/02/1987;1800;31;27;73;;;;3;
83452;22/02/1987;0000;26.8;24.8;85;;;;5;
83452;22/02/1987;1200;26;24.4;87;;;;1;
83452;22/02/1987;1800;30.2;26.6;75;;;;5;
83452;23/02/1987;0000;25.2;23.8;89;;;;0;
83452;23/02/1987;1200;26.4;24;81;;;;3;
83452;23/02/1987;1800;30.6;27;75;;;;4;
83452;24/02/1987;0000;22.4;21.6;93;;;;5;
83452;24/02/1987;1200;28.2;25;76;;;;1;
83452;24/02/1987;1800;31.2;27;71;;;;3;
83452;25/02/1987;0000;25.4;23;81;;;;8;
83452;25/02/1987;1200;27;24.4;80;;;;4;
83452;25/02/1987;1800;31.6;27;69;;;;3;
83452;26/02/1987;0000;25.2;24;90;;;;5;
83452;26/02/1987;1200;26.6;24.4;83;;;;3;
83452;26/02/1987;1800;31.6;28.2;77;;;;3;
83452;27/02/1987;0000;25;24.2;93;;;;0;
83452;27/02/1987;1200;26.2;24.2;84;;;;4;
83452;27/02/1987;1800;32.4;28.4;73;;;;2;
83452;28/02/1987;0000;24.8;23.8;92;;;;0;
83452;28/02/1987;1200;27;24.4;80;;;;2;
83452;28/02/1987;1800;31.2;28;78;;;;3;
83452;01/03/1987;0000;24;22;84;;;;0;
83452;01/03/1987;1200;28.6;26;81;;;;3;
83452;01/03/1987;1800;32.2;29;78;;;;4;
83452;02/03/1987;0000;25;24.4;95;;;;0;
83452;02/03/1987;1200;27.4;24.8;80;;;;1;
83452;02/03/1987;1800;31.2;27.2;73;;;;3;
83452;03/03/1987;0000;24.8;23.8;92;;;;1;
83452;03/03/1987;1200;28;25.8;83;;;;2;
83452;03/03/1987;1800;33;29;74;;;;3;
83452;04/03/1987;0000;25.6;24.6;92;;;;0;
83452;04/03/1987;1200;26.6;24.4;83;;;;1;
83452;04/03/1987;1800;33.8;30.2;76;;;;5;
83452;05/03/1987;0000;26.6;25.4;91;;;;5;
83452;05/03/1987;1200;27.4;25;82;;;;2;
83452;05/03/1987;1800;30.6;28.4;84;;;;5;
83452;06/03/1987;0000;24.8;24.2;95;;;;3;
83452;06/03/1987;1200;27.5;25;81;;;;3;
83452;06/03/1987;1800;33.4;29.8;76;;;;3;
83452;07/03/1987;0000;22.4;22;96;;;;10;
83452;07/03/1987;1200;21.6;21.4;98;;;;10;
83452;07/03/1987;1800;27.6;26.4;91;;;;5;
83452;08/03/1987;0000;24.6;23.6;92;;;;10;
83452;08/03/1987;1200;23;22.8;98;;;;10;
83452;08/03/1987;1800;22.2;22;98;;;;10;
83452;09/03/1987;0000;21.2;21.2;100;;;;10;
83452;09/03/1987;1200;22.6;22;95;;;;10;
83452;09/03/1987;1800;26.8;25.2;88;;;;9;
83452;10/03/1987;0000;22;21.8;98;;;;10;
83452;10/03/1987;1200;23.2;22.8;97;;;;10;
83452;10/03/1987;1800;23.2;23.2;100;;;;10;
83452;11/03/1987;0000;22.4;22.2;98;;;;10;
83452;11/03/1987;1200;22.8;22.2;95;;;;10;
83452;11/03/1987;1800;20.6;20.6;100;;;;10;
83452;12/03/1987;0000;21;21;100;;;;10;
83452;12/03/1987;1200;21.6;21.2;96;;;;10;
83452;12/03/1987;1800;25.2;23.8;89;;;;8;
83452;13/03/1987;0000;21.6;21.2;96;;;;10;
83452;13/03/1987;1200;20.8;20.2;95;;;;10;
83452;13/03/1987;1800;23.4;22.6;93;;;;10;
83452;14/03/1987;0000;21.6;21.2;96;;;;10;
83452;14/03/1987;1200;24.4;22.8;87;;;;4;
83452;14/03/1987;1800;29.2;24;64;;;;3;
83452;15/03/1987;0000;22.8;22;93;;;;8;
83452;15/03/1987;1200;23.4;21.6;85;;;;8;
83452;15/03/1987;1800;29.6;24;62;;;;8;
83452;16/03/1987;0000;22.6;21.8;93;;;;0;
83452;16/03/1987;1200;22.5;21.5;91;;;;9;
83452;16/03/1987;1800;30.6;29;88;;;;4;
83452;17/03/1987;0000;23;22.6;97;;;;0;
83452;17/03/1987;1200;25.4;24.4;92;;;;3;
83452;17/03/1987;1800;29.8;27.8;85;;;;6;
83452;18/03/1987;0000;22.2;22;98;;;;8;
83452;18/03/1987;1200;24.2;23.2;92;;;;5;
83452;18/03/1987;1800;27.4;26.2;91;;;;5;
83452;19/03/1987;0000;22.6;22;95;;;;5;
83452;19/03/1987;1200;24.4;23;88;;;;4;
83452;19/03/1987;1800;28.2;26.6;88;;;;3;
83452;20/03/1987;0000;23;22.2;93;;;;0;
83452;20/03/1987;1200;24.8;23.4;89;;;;2;
83452;20/03/1987;1800;27.2;25;83;;;;4;
83452;21/03/1987;0000;22;20.5;87;;;;2;
83452;21/03/1987;1200;27.2;22.6;66;;;;3;
83452;21/03/1987;1800;28.2;27;91;;;;8;
83452;22/03/1987;0000;22.4;21.4;91;;;;2;
83452;22/03/1987;1200;26;22.6;74;;;;7;
83452;22/03/1987;1800;27.2;25.4;86;;;;3;
83452;23/03/1987;0000;22.6;21.8;93;;;;5;
83452;23/03/1987;1200;25.6;23.2;81;;;;0;
83452;23/03/1987;1800;32.8;24;47;;;;2;
83452;24/03/1987;0000;24.2;24;98;;;;2;
83452;24/03/1987;1200;26;24.6;89;;;;2;
83452;24/03/1987;1800;31.2;29.2;86;;;;3;
83452;25/03/1987;0000;22.6;22.4;98;;;;5;
83452;25/03/1987;1200;24.6;23.2;88;;;;5;
83452;25/03/1987;1800;30;27.8;84;;;;3;
83452;26/03/1987;0000;28.4;27.6;94;;;;5;
83452;26/03/1987;1200;24;23;92;;;;10;
83452;26/03/1987;1800;31;28.2;80;;;;4;
83452;27/03/1987;0000;24;22.8;90;;;;0;
83452;27/03/1987;1200;25.8;23.6;83;;;;1;
83452;27/03/1987;1800;31.8;28.6;78;;;;2;
83452;28/03/1987;0000;23.2;22.2;91;;;;0;
83452;28/03/1987;1200;25.4;23.4;84;;;;0;
83452;28/03/1987;1800;31.2;28.2;79;;;;0;
83452;29/03/1987;0000;22.6;22.2;96;;;;0;
83452;29/03/1987;1200;25;23.2;85;;;;3;
83452;29/03/1987;1800;29.4;26.4;78;;;;2;
83452;30/03/1987;0000;22.2;21.8;96;;;;1;
83452;30/03/1987;1200;24.6;22.8;85;;;;0;
83452;30/03/1987;1800;30.6;28.2;83;;;;3;
83452;31/03/1987;0000;21.4;20.2;89;;;;0;
83452;31/03/1987;1200;24.6;23.2;88;;;;1;
83452;31/03/1987;1800;29.4;27.4;85;;;;5;
83452;01/04/1987;0000;22.2;21.2;91;;;;0;
83452;01/04/1987;1200;25.8;24.4;89;;;;1;
83452;01/04/1987;1800;30.6;28.2;83;;;;4;
83452;02/04/1987;0000;23;22.6;97;;;;1;
83452;02/04/1987;1200;25.6;23.8;86;;;;0;
83452;02/04/1987;1800;31.2;28.4;80;;;;6;
83452;03/04/1987;0000;23.2;23;98;;;;0;
83452;03/04/1987;1200;24.6;23.6;92;;;;9;
83452;03/04/1987;1800;25.8;25;94;;;;10;
83452;04/04/1987;0000;23.4;23.2;98;;;;5;
83452;04/04/1987;1200;25;24.2;93;;;;10;
83452;04/04/1987;1800;22.2;22;98;;;;10;
83452;05/04/1987;0000;20.2;20;98;;;;10;
83452;05/04/1987;1200;24;23.2;93;;;;7;
83452;05/04/1987;1800;27;26.2;94;;;;10;
83452;06/04/1987;0000;21.2;21.2;100;;;;10;
83452;06/04/1987;1200;24.6;23.4;90;;;;7;
83452;06/04/1987;1800;29.8;27.4;83;;;;7;
83452;07/04/1987;0000;21;20.6;96;;;;10;
83452;07/04/1987;1200;24.8;23.8;92;;;;6;
83452;07/04/1987;1800;21.2;21.2;100;;;;10;
83452;08/04/1987;0000;20;19.8;98;;;;2;
83452;08/04/1987;1200;24.6;23.4;90;;;;0;
83452;08/04/1987;1800;31;28;79;;;;3;
83452;09/04/1987;0000;23.4;23.4;100;;;;5;
83452;09/04/1987;1200;25.6;23.8;86;;;;0;
83452;09/04/1987;1800;31.4;29.6;87;;;;2;
83452;10/04/1987;0000;23.8;23.6;98;;;;0;
83452;10/04/1987;1200;26.4;24.8;87;;;;0;
83452;10/04/1987;1800;31.4;28.6;81;;;;3;
83452;11/04/1987;0000;22.4;22.4;100;;;;4;
83452;11/04/1987;1200;25.8;24;86;;;;4;
83452;11/04/1987;1800;29.8;27.8;85;;;;3;
83452;12/04/1987;0000;21.6;21.4;98;;;;5;
83452;12/04/1987;1200;27.2;25.4;86;;;;4;
83452;12/04/1987;1800;30;27.2;80;;;;2;
83452;13/04/1987;0000;22.2;21.2;91;;;;0;
83452;13/04/1987;1200;24.4;22.4;84;;;;0;
83452;13/04/1987;1800;29.2;26.8;82;;;;3;
83452;14/04/1987;0000;22;21.6;96;;;;0;
83452;14/04/1987;1200;24.4;22.8;87;;;;0;
83452;14/04/1987;1800;30.8;28.2;82;;;;1;
83452;15/04/1987;0000;23.8;22.4;88;;;;0;
83452;15/04/1987;1200;26;24.2;86;;;;1;
83452;15/04/1987;1800;28.8;26.6;84;;;;7;
83452;16/04/1987;0000;23.5;22.8;94;;;;3;
83452;16/04/1987;1200;24.6;23.6;92;;;;9;
83452;16/04/1987;1800;27;24.5;81;;;;6;
83452;17/04/1987;0000;23.2;22.8;97;;;;7;
83452;17/04/1987;1200;25;23.6;89;;;;8;
83452;17/04/1987;1800;28.4;26.4;85;;;;4;
83452;18/04/1987;0000;21;20.8;98;;;;0;
83452;18/04/1987;1200;24.6;23;87;;;;9;
83452;18/04/1987;1800;29;26;78;;;;5;
