<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83460</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : PORTO SEGURO - BA (OMM: 83460)
Latitude  (graus) : -16.43
Longitude (graus) : -39.07
Altitude  (metros): 51.00
Esta��o Operante
Inicio de opera��o: 00/00/0000
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83460;01/01/2015;0000;25.4;;82;;4;4.11552;1.25;
83460;01/01/2015;0600;23.6;;89;;34;1.54332;3.75;
83460;01/01/2015;1200;27.1;;72;;2;3.60108;8.75;
83460;01/01/2015;1800;30;;53;;6;8.74548;3.75;
83460;02/01/2015;0000;25.9;;85;;4;4.62996;3.75;
83460;02/01/2015;0600;24.8;;88;;1;1.02888;3.75;
83460;02/01/2015;1200;27.1;;72;;3;3.60108;5;
83460;02/01/2015;1800;28.9;;68;;7;10.2888;2.5;
83460;03/01/2015;0000;25.7;;82;;5;4.11552;3.75;
83460;03/01/2015;0600;23.9;;89;;2;2.05776;5;
83460;03/01/2015;1200;28.1;;72;;8;6.17328;6.25;
83460;03/01/2015;1800;28.7;;66;;6;8.23104;3.75;
83460;04/01/2015;0000;25.4;;79;;5;3.08664;2.5;
83460;04/01/2015;0600;22.2;;91;;33;0.51444;1.25;
83460;04/01/2015;1200;25.6;;77;;22;1.54332;6.25;
83460;04/01/2015;1800;28.4;;61;;8;6.68772;3.75;
83460;05/01/2015;0000;24.2;;82;;5;2.05776;1.25;
83460;05/01/2015;0600;22;;91;;29;1.02888;6.25;
83460;05/01/2015;1200;28.5;;62;;8;4.62996;3.75;
83460;05/01/2015;1800;27.7;;73;;8;5.65884;6.25;
83460;06/01/2015;0000;25.8;;85;;6;3.08664;2.5;
83460;06/01/2015;0600;23.7;;93;;24;1.02888;6.25;
83460;06/01/2015;1200;27.7;;79;;0;0;8.75;
83460;06/01/2015;1800;27.7;;76;;12;5.65884;7.5;
83460;07/01/2015;0000;25.5;;76;;10;5.65884;6.25;
83460;07/01/2015;0600;23.4;;93;;19;1.02888;6.25;
83460;07/01/2015;1200;27.7;;66;;11;5.1444;7.5;
83460;07/01/2015;1800;27.7;;65;;13;3.60108;6.25;
83460;08/01/2015;0000;24.3;;82;;10;2.5722;1.25;
83460;08/01/2015;0600;22.2;;94;;19;1.54332;8.75;
83460;08/01/2015;1200;27;;74;;18;1.54332;6.25;
83460;08/01/2015;1800;28;;58;;10;4.62996;2.5;
83460;09/01/2015;0600;24;;86;;17;1.02888;8.75;
83460;09/01/2015;1200;28.2;;67;;1;2.5722;6.25;
83460;09/01/2015;1800;28.9;;67;;11;6.68772;3.75;
83460;10/01/2015;0000;25.8;;74;;8;4.62996;3.75;
83460;10/01/2015;0600;25;;79;;8;4.11552;3.75;
83460;10/01/2015;1200;27.4;;68;;28;1.54332;3.75;
83460;10/01/2015;1800;28.2;;66;;9;5.65884;7.5;
83460;11/01/2015;0000;25.5;;79;;4;2.5722;2.5;
83460;11/01/2015;0600;23.2;;90;;33;1.54332;3.75;
83460;11/01/2015;1200;27.1;;75;;1;2.5722;8.75;
83460;11/01/2015;1800;29.4;;67;;7;8.74548;3.75;
83460;12/01/2015;0000;26;;82;;5;3.60108;2.5;
83460;12/01/2015;0600;24.4;;89;;3;1.54332;1.25;
83460;12/01/2015;1200;28.9;;65;;5;6.68772;6.25;
83460;12/01/2015;1800;29.2;;67;;5;8.74548;2.5;
83460;13/01/2015;0000;25.9;;82;;6;5.1444;1.25;
83460;13/01/2015;0600;24;;89;;3;2.05776;2.5;
83460;13/01/2015;1200;28.3;;64;;8;5.65884;3.75;
83460;13/01/2015;1800;28.5;;69;;11;5.65884;1.25;
83460;14/01/2015;0000;25.7;;79;;8;5.1444;0;
83460;14/01/2015;0600;22.1;;94;;26;1.54332;1.25;
83460;14/01/2015;1200;27.4;;75;;10;5.65884;7.5;
83460;14/01/2015;1800;28.3;;68;;11;6.68772;3.75;
83460;15/01/2015;0000;25.6;;79;;6;3.08664;1.25;
83460;15/01/2015;0600;21.9;;96;;26;1.54332;6.25;
83460;15/01/2015;1200;27.2;;74;;13;2.5722;3.75;
83460;15/01/2015;1800;28.2;;67;;10;5.1444;1.25;
83460;16/01/2015;0000;25.9;;82;;9;3.60108;5;
83460;16/01/2015;0600;22.4;;95;;25;1.54332;5;
83460;16/01/2015;1200;28;;67;;10;4.11552;6.25;
83460;16/01/2015;1800;27.7;;68;;14;3.60108;6.25;
83460;17/01/2015;0000;26;;78;;9;5.1444;1.25;
83460;17/01/2015;0600;22.3;;93;;16;1.02888;1.25;
83460;17/01/2015;1200;28;;68;;6;4.11552;7.5;
