<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83464</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : JATAI - GO (OMM: 83464)
Latitude  (graus) : -17.91
Longitude (graus) : -51.71
Altitude  (metros): 662.86
Esta��o Operante
Inicio de opera��o: 24/11/1978
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83464;24/11/1978;1200;24.2;21.8;80;;;;10;
83464;24/11/1978;1800;25.4;22;73;;;;10;
83464;25/11/1978;0000;22.8;22.4;97;;;;10;
83464;25/11/1978;1200;24.4;22.1;81;;;;7;
83464;25/11/1978;1800;28.4;23.8;68;;;;8;
83464;26/11/1978;0000;22.2;21;89;;;;4;
83464;26/11/1978;1200;25.6;21.8;71;;;;8;
83464;26/11/1978;1800;28;23.2;66;;;;8;
83464;27/11/1978;0000;23.4;20.8;78;;;;8;
83464;27/11/1978;1200;23.8;21;77;;;;10;
83464;27/11/1978;1800;25.8;22;71;;;;10;
83464;28/11/1978;0000;22.2;21;89;;;;10;
83464;28/11/1978;1200;21.4;20.2;89;;;;10;
83464;28/11/1978;1800;23.6;21.2;80;;;;8;
83464;29/11/1978;0000;21.4;20.8;94;;;;4;
83464;29/11/1978;1200;22.8;21.2;87;;;;6;
83464;29/11/1978;1800;29.2;23.6;61;;;;6;
83464;30/11/1978;0000;24.1;21.8;80;;;;6;
83464;30/11/1978;1200;24;20.2;70;;;;10;
83464;30/11/1978;1800;28.8;21.8;53;;;;4;
83464;01/12/1978;0000;21.7;20.8;92;;;;8;
83464;01/12/1978;1200;24;20.1;70;;;;6;
83464;01/12/1978;1800;28.8;20;42;;;;8;
83464;02/12/1978;0000;23.6;19.6;67;;;;3;
83464;02/12/1978;1200;25;19.4;58;;;;8;
83464;02/12/1978;1800;27.2;24.6;81;;;;8;
83464;03/12/1978;0000;21.2;20;89;;;;3;
83464;03/12/1978;1200;22.4;19.8;77;;;;10;
83464;03/12/1978;1800;23.8;20.8;75;;;;8;
83464;04/12/1978;0000;21.6;20;86;;;;4;
83464;04/12/1978;1200;26.7;21.8;64;;;;4;
83464;04/12/1978;1800;29.8;22.6;53;;;;8;
83464;05/12/1978;0000;22.6;20.6;83;;;;6;
83464;05/12/1978;1200;25.8;21.4;66;;;;2;
83464;05/12/1978;1800;27.8;21.9;58;;;;8;
