<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83467</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : MINEIROS - GO (OMM: 83467)
Latitude  (graus) : -17.56
Longitude (graus) : -52.55
Altitude  (metros): 800.00
Esta��o Desativada
Inicio de opera��o: 10/07/1975
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83467;10/07/1975;1200;17.8;13.5;61;;0;0;5;
83467;10/07/1975;1800;27.6;17.7;36;;5;2;4;
83467;11/07/1975;0000;18.8;14.1;59;;5;1;0;
83467;11/07/1975;1200;14;12.3;82;;14;1;6;
83467;11/07/1975;1800;27.7;27;94;;5;3;2;
83467;12/07/1975;0000;17.8;13.8;64;;5;1;0;
83467;12/07/1975;1200;15.9;13.8;79;;0;0;5;
83467;12/07/1975;1800;28.8;18;32;;5;1;7;
83467;13/07/1975;0000;19;15.1;66;;0;0;0;
83467;13/07/1975;1200;16.5;14.2;77;;0;0;5;
83467;13/07/1975;1800;29.8;19.2;35;;36;3;7;
83467;14/07/1975;0000;21.2;16.1;59;;5;1;3;
83467;14/07/1975;1200;22.3;16.9;57;;5;3;0;
83467;14/07/1975;1800;28.8;19;38;;5;4;0;
83467;15/07/1975;0000;21.8;15.9;52;;5;5;4;
83467;15/07/1975;1200;20.6;16.2;63;;5;3;0;
83467;15/07/1975;1800;29.4;18.7;33;;5;1;0;
83467;16/07/1975;0000;22.8;16.5;51;;5;2;5;
83467;16/07/1975;1200;18.6;15.9;76;;36;1;0;
83467;16/07/1975;1800;29.9;19.5;35;;36;5;0;
83467;17/07/1975;0000;20;16.1;67;;32;7;0;
83467;17/07/1975;1200;7.5;5.5;73;;23;7;0;
83467;17/07/1975;1800;10.4;5.5;44;;18;5;0;
83467;18/07/1975;0000;5;1.4;48;;18;5;2;
83467;18/07/1975;1200;2;0.1;68;;23;7;5;
83467;18/07/1975;1800;15;7.4;28;;18;2;0;
83467;19/07/1975;0000;9;4.8;49;;14;1;0;
83467;19/07/1975;1200;8.5;4.5;50;;14;1;0;
83467;19/07/1975;1800;25;16.2;39;;14;1;0;
83467;20/07/1975;0000;17.6;12.3;52;;18;2;0;
83467;20/07/1975;1200;13.5;8.9;53;;14;1;0;
83467;20/07/1975;1800;27.5;17.9;37;;23;1;0;
83467;21/07/1975;0000;18;13.6;60;;0;0;1;
83467;21/07/1975;1200;14.6;12.5;78;;0;0;0;
83467;21/07/1975;1800;27.4;17.9;35;;14;2;0;
83467;22/07/1975;0000;18.6;14.4;63;;14;1;4;
83467;22/07/1975;1200;16.2;12.7;66;;18;1;0;
83467;22/07/1975;1800;27.5;17.7;36;;14;3;0;
83467;23/07/1975;0000;20;15.5;62;;0;0;2;
83467;23/07/1975;1200;15.4;12.8;74;;18;1;0;
83467;23/07/1975;1800;28.1;17.3;33;;18;3;0;
83467;24/07/1975;0000;21.2;15.6;55;;5;1;0;
83467;24/07/1975;1200;19.1;13.9;54;;5;3;0;
83467;24/07/1975;1800;27.4;17.5;35;;5;1;0;
83467;25/07/1975;0000;19.5;15;61;;0;0;0;
83467;25/07/1975;1200;16.7;14.5;79;;0;0;0;
83467;25/07/1975;1800;28.2;17.4;32;;14;1;0;
83467;26/07/1975;0000;19.6;14.8;59;;0;0;4;
83467;26/07/1975;1200;17.5;14.2;69;;0;0;0;
83467;26/07/1975;1800;27.8;16.2;28;;14;3;0;
83467;27/07/1975;0000;19.8;14.2;53;;5;1;0;
83467;27/07/1975;1200;18.9;13.5;53;;14;2;0;
83467;27/07/1975;1800;28.3;18.2;35;;5;1;0;
83467;28/07/1975;0000;22.2;16.4;54;;5;1;0;
83467;28/07/1975;1200;20.1;14.1;50;;9;3;0;
83467;28/07/1975;1800;27.9;18.2;36;;0;0;0;
83467;29/07/1975;0000;20.6;15.5;58;;5;1;0;
83467;29/07/1975;1200;17.4;14.2;70;;0;0;0;
83467;29/07/1975;1800;28.6;18.7;37;;14;2;0;
83467;30/07/1975;0000;19.4;15.4;65;;9;1;0;
83467;30/07/1975;1200;18.2;13.6;59;;5;1;0;
83467;30/07/1975;1800;29.4;18.9;34;;27;2;0;
83467;31/07/1975;0000;19.6;14.3;55;;5;3;0;
83467;31/07/1975;1200;17.9;14.5;68;;0;0;0;
83467;31/07/1975;1800;28.6;20.3;46;;18;2;0;
83467;01/08/1975;0000;20.1;15.3;59;;5;1;0;
83467;01/08/1975;1200;17.8;14.2;68;;0;0;10;
83467;01/08/1975;1800;28.9;18.5;34;;5;3;10;
83467;02/08/1975;0000;23.2;16.1;47;;5;3;4;
83467;02/08/1975;1200;22.9;16.8;53;;5;3;10;
83467;02/08/1975;1800;29.6;20.6;44;;36;5;10;
83467;03/08/1975;0000;20.3;15.9;63;;5;1;10;
83467;03/08/1975;1200;23.5;17.2;52;;5;2;10;
83467;03/08/1975;1800;31;19.6;32;;36;5;10;
83467;04/08/1975;0000;24.4;16.8;45;;0;0;0;
83467;04/08/1975;1200;24.5;16.9;44;;5;1;10;
83467;04/08/1975;1800;31;19.1;30;;32;3;10;
83467;05/08/1975;0000;24.7;17.1;45;;5;3;4;
83467;05/08/1975;1200;19.8;15.7;65;;36;3;10;
83467;05/08/1975;1800;31.7;19.7;30;;36;2;10;
83467;06/08/1975;0000;25;16.5;40;;5;3;4;
83467;06/08/1975;1200;24.4;17.8;51;;36;2;10;
83467;06/08/1975;1800;31.4;19.2;29;;32;3;10;
83467;07/08/1975;0000;24.8;17.3;46;;36;3;4;
83467;07/08/1975;1200;21;17.3;68;;27;1;10;
83467;07/08/1975;1800;28.9;20.7;46;;9;3;10;
83467;08/08/1975;0000;23.4;17.8;57;;5;2;10;
83467;08/08/1975;1200;20.8;17.8;74;;27;1;10;
83467;08/08/1975;1800;32.1;20.9;35;;5;3;8;
83467;09/08/1975;0000;22.4;17.3;60;;0;0;0;
83467;09/08/1975;1200;21.2;15.7;56;;9;3;10;
83467;09/08/1975;1800;32.3;19.2;26;;9;1;10;
83467;10/08/1975;0000;21;14.3;46;;5;1;4;
83467;10/08/1975;1200;16.7;15.8;91;;0;0;10;
83467;10/08/1975;1800;30.6;18.8;30;;5;1;10;
83467;11/08/1975;0000;19.8;16.6;72;;27;5;0;
83467;11/08/1975;1200;13.8;13.5;96;;9;2;10;
83467;11/08/1975;1800;28.9;20;42;;9;1;10;
83467;12/08/1975;0000;21.4;16.9;62;;5;1;4;
83467;12/08/1975;1200;22.7;16.8;54;;5;2;10;
83467;12/08/1975;1800;31;19.8;33;;5;1;10;
83467;13/08/1975;0000;25;17.3;45;;5;3;4;
83467;13/08/1975;1200;20.3;16;64;;0;0;10;
83467;13/08/1975;1800;31.2;19.6;31;;18;2;10;
83467;14/08/1975;0000;23.6;17.1;51;;9;1;1;
83467;14/08/1975;1200;21.1;16.5;62;;0;0;10;
83467;14/08/1975;1800;31.6;19.6;30;;14;3;10;
83467;15/08/1975;0000;21.5;15.5;52;;5;1;4;
83467;15/08/1975;1200;23.6;16.8;49;;5;4;10;
83467;15/08/1975;1800;29.7;18.2;30;;14;4;10;
83467;16/08/1975;0000;20.8;14.7;50;;5;2;0;
83467;16/08/1975;1200;23.3;16.2;46;;9;1;10;
83467;16/08/1975;1800;30.9;18.7;28;;5;1;10;
83467;17/08/1975;0000;21.1;14.9;49;;5;1;4;
83467;17/08/1975;1200;18.7;14.8;65;;0;0;10;
83467;17/08/1975;1800;30.2;18.8;31;;14;2;10;
83467;18/08/1975;0000;23.6;15.5;40;;0;0;10;
83467;18/08/1975;1200;19.7;16.2;70;;14;1;10;
83467;18/08/1975;1800;29.8;18.6;32;;14;1;10;
83467;19/08/1975;0000;23.2;16.8;51;;0;0;7;
83467;19/08/1975;1200;18.6;14.3;62;;0;0;10;
83467;19/08/1975;1800;31;19.4;31;;14;2;10;
83467;20/08/1975;0000;24;16.7;46;;36;3;7;
