<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83479</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : PARACATU - MG (OMM: 83479)
Latitude  (graus) : -17.24
Longitude (graus) : -46.88
Altitude  (metros): 712.00
Esta��o Operante
Inicio de opera��o: 13/05/1918
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83479;03/07/1973;1800;28.4;20.8;51;935.4;0;0;6;
83479;04/07/1973;0000;20.4;18;79;936.4;0;0;0;
83479;04/07/1973;1200;20.8;17.8;76;938;18;2.1;2;
83479;04/07/1973;1800;27.9;19.9;49;935.6;5;2.1;2;
83479;05/07/1973;0000;19.7;17;78;937.1;0;0;0;
83479;05/07/1973;1200;20.8;17.6;74;939.9;18;1;0;
83479;05/07/1973;1800;27;19.5;51;938.7;14;3.1;4;
83479;06/07/1973;0000;19.6;17.3;80;938.7;0;0;2;
83479;06/07/1973;1200;21.7;18;71;940.8;5;6.2;1;
83479;06/07/1973;1800;26.8;19.2;50;937.4;9;3.1;4;
83479;07/07/1973;0000;19.2;16.9;80;938.3;32;1;0;
83479;07/07/1973;1200;21;17.9;73;940.7;5;1;5;
83479;07/07/1973;1800;27.4;17.4;37;937.4;5;4.1;1;
83479;08/07/1973;0000;18;15.3;77;938.7;0;0;2;
83479;08/07/1973;1200;20.5;16.9;71;941.4;0;0;4;
83479;08/07/1973;1800;26.6;19.6;53;938;0;0;6;
83479;09/07/1973;0000;19.2;17.8;87;938.3;0;0;0;
83479;09/07/1973;1200;19.2;15.8;71;940.2;5;3.6;2;
83479;09/07/1973;1800;27.2;18.3;43;937.5;5;1.5;1;
83479;10/07/1973;0000;18;15.7;79;938;32;1;0;
83479;10/07/1973;1200;20.1;16.7;73;940.3;0;0;0;
83479;10/07/1973;1800;26;18.6;47;937.1;9;2.6;7;
83479;11/07/1973;0000;18.4;16;78;938.7;5;1.5;3;
83479;11/07/1973;1200;20;16.9;73;940.4;5;3.1;3;
83479;11/07/1973;1800;26.6;17.8;43;936.8;5;4.1;6;
83479;12/07/1973;0000;20.5;16.2;65;937.8;9;1.5;7;
83479;12/07/1973;1200;20.6;17.8;78;940.2;5;4.6;6;
83479;12/07/1973;1800;27;19;48;936.4;5;2.1;1;
83479;13/07/1973;0000;21.4;17;65;937.5;5;2.1;0;
83479;13/07/1973;1200;20.6;18;79;940.2;5;2.1;7;
83479;13/07/1973;1800;25.4;18.7;53;937.9;5;1.5;8;
83479;14/07/1973;0000;18.7;16.3;79;937.4;0;0;2;
83479;14/07/1973;1200;20.6;17.2;73;938.8;5;4.6;5;
83479;14/07/1973;1800;26;19;52;934.8;5;2.6;7;
83479;15/07/1973;0000;18;15.7;79;936.3;0;0;1;
83479;15/07/1973;1200;21;16.9;67;937.8;5;2.6;2;
83479;15/07/1973;1800;27.2;18.8;45;934.2;5;2.1;7;
83479;16/07/1973;0000;19.8;17.8;83;935;0;0;10;
83479;16/07/1973;1200;20.6;15.7;62;936.6;0;0;0;
83479;16/07/1973;1800;26;19;52;933.5;5;1;10;
83479;17/07/1973;0000;21;17.3;71;935.2;0;0;10;
83479;17/07/1973;1200;19;17;82;937.1;23;2.1;10;
83479;17/07/1973;1800;25.9;19;53;934.7;5;2.6;10;
83479;18/07/1973;0000;19;16.3;77;935.4;0;0;10;
83479;18/07/1973;1200;21.6;17.4;68;937.6;0;0;4;
83479;18/07/1973;1800;27.2;19;47;934.6;0;0;7;
83479;19/07/1973;0000;20;16.4;71;935.8;23;1;2;
83479;19/07/1973;1200;21.6;17.2;66;937.6;5;3.1;6;
83479;19/07/1973;1800;27.6;19.6;49;934.2;14;1.5;8;
83479;20/07/1973;0000;19;16.8;80;935.1;23;1;0;
83479;20/07/1973;1200;22.8;17.8;63;936.4;5;3.1;3;
83479;20/07/1973;1800;28;19.8;48;935;0;0;4;
