<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83481</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : JOAO PINHEIRO - MG (OMM: 83481)
Latitude  (graus) : -17.73
Longitude (graus) : -46.17
Altitude  (metros): 760.36
Esta��o Operante
Inicio de opera��o: 09/12/1925
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83481;01/01/1961;1200;22.6;21.1;88;924.6;23;1;10;
83481;01/01/1961;1800;26.4;22.5;71;921.2;32;1;9;
83481;02/01/1961;0000;22;20.9;90;924.4;32;1;10;
83481;02/01/1961;1200;21.2;20.7;95;925.6;5;1;10;
83481;02/01/1961;1800;22.6;21.5;90;922.7;23;1;10;
83481;03/01/1961;0000;22;21.3;93;923.9;0;0;10;
83481;03/01/1961;1200;22.6;21.5;90;923.8;32;2;10;
83481;03/01/1961;1800;25;22.7;83;920.8;32;1;10;
83481;04/01/1961;0000;21.2;20.5;93;922.6;0;0;10;
83481;04/01/1961;1200;22.2;21.3;91;923.6;32;2;10;
83481;04/01/1961;1800;24.6;22.1;81;921.1;36;1;10;
83481;05/01/1961;0000;20;19.3;93;923.4;0;0;10;
83481;05/01/1961;1200;21.8;20.9;92;923.4;5;1;10;
83481;05/01/1961;1800;25;22.9;84;920.6;23;1;10;
83481;06/01/1961;0000;21;20.1;92;923.6;5;2;10;
83481;06/01/1961;1200;21.4;20.5;92;924.6;5;1;10;
83481;06/01/1961;1800;27.2;23.3;72;922.7;5;1;10;
83481;07/01/1961;0000;22.2;21.3;91;923.9;0;0;10;
83481;07/01/1961;1200;21;20.5;95;925;5;1;10;
83481;07/01/1961;1800;25.4;22.5;78;921.8;5;1;10;
83481;08/01/1961;0000;21;20.3;93;924;5;2;10;
83481;08/01/1961;1200;21;20.3;93;925.6;5;2;10;
83481;08/01/1961;1800;24.4;21.7;79;923;32;1;10;
83481;09/01/1961;0000;22.6;21.3;88;923.5;14;1;10;
83481;09/01/1961;1200;20.8;20.1;94;925.1;0;0;10;
83481;09/01/1961;1800;27.6;22.7;65;922.4;23;1;8;
83481;10/01/1961;0000;23.2;21.3;84;923.1;14;1;4;
83481;10/01/1961;1200;25.6;22.5;77;924.7;0;0;5;
83481;10/01/1961;1800;28.8;23.7;64;921.8;32;1;10;
