<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83485</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CARBONITA - MG (OMM: 83485)
Latitude  (graus) : -17.53
Longitude (graus) : -43
Altitude  (metros): 736.38
Esta��o Operante
Inicio de opera��o: 01/01/1981
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83485;01/04/1981;1200;19.6;19.2;96;;;;10;
83485;01/04/1981;1800;25.8;21.6;68;;;;9;
83485;02/04/1981;0000;20.6;19.7;92;;;;10;
83485;03/04/1981;1200;20.8;19.4;87;;;;10;
83485;03/04/1981;1800;24.6;20.8;70;;;;9;
83485;04/04/1981;0000;19.6;19.2;96;;;;7;
83485;04/04/1981;1200;21.4;19;79;;;;7;
83485;04/04/1981;1800;25.7;19.8;57;;;;9;
83485;05/04/1981;0000;20.6;18.4;80;;;;0;
83485;05/04/1981;1200;21.8;19.8;83;;;;9;
83485;05/04/1981;1800;26.4;22.2;69;;;;7;
83485;06/04/1981;0000;20.4;19.6;93;;;;0;
83485;07/04/1981;1200;21.8;18.3;70;;;;6;
83485;07/04/1981;1800;26.4;18.9;47;;;;6;
83485;08/04/1981;0000;19.6;17.6;82;;;;0;
83485;08/04/1981;1200;21.4;18;71;;;;7;
83485;08/04/1981;1800;26.2;19.2;50;;;;6;
83485;09/04/1981;0000;19.4;17.6;83;;;;0;
83485;09/04/1981;1200;20.3;17.8;78;;;;10;
83485;09/04/1981;1800;26.4;20.4;57;;;;7;
83485;10/04/1981;0000;19.8;18;84;;;;0;
83485;10/04/1981;1200;20.6;18.8;84;;;;10;
83485;10/04/1981;1800;24.8;19.8;62;;;;7;
83485;11/04/1981;0000;19;17.5;86;;;;10;
83485;11/04/1981;1200;19.6;17.6;82;;;;10;
83485;11/04/1981;1800;26.4;19.4;50;;;;7;
83485;12/04/1981;0000;19.6;17;76;;;;0;
83485;12/04/1981;1200;19.6;16.6;73;;;;2;
83485;12/04/1981;1800;26;18.4;46;;;;7;
83485;13/04/1981;0000;18.2;15.4;74;;;;0;
83485;13/04/1981;1200;18.4;16;77;;;;9;
83485;13/04/1981;1800;24;18;54;;;;8;
83485;14/04/1981;0000;17.2;15.6;84;;;;0;
83485;14/04/1981;1200;18.2;16.2;81;;;;7;
83485;14/04/1981;1800;25;16.7;40;;;;4;
83485;15/04/1981;0000;18.7;16.2;77;;;;0;
83485;15/04/1981;1200;19.2;17;80;;;;4;
83485;15/04/1981;1800;27;19.2;46;;;;4;
83485;16/04/1981;0000;16.4;15.4;90;;;;0;
83485;16/04/1981;1200;20.4;17.8;77;;;;5;
83485;16/04/1981;1800;27;19.4;47;;;;9;
83485;17/04/1981;0000;21.4;17.8;69;;;;10;
83485;17/04/1981;1200;22.8;19.4;72;;;;0;
83485;17/04/1981;1800;27.2;19.6;47;;;;7;
83485;18/04/1981;0000;21.3;18.6;77;;;;8;
83485;18/04/1981;1200;20.8;16.2;61;;;;2;
83485;18/04/1981;1800;24.7;17.7;48;;;;7;
83485;19/04/1981;0000;18;15.4;75;;;;10;
83485;19/04/1981;1200;19.3;16.5;74;;;;7;
83485;19/04/1981;1800;22.2;16.6;55;;;;9;
83485;20/04/1981;0000;17;15;80;;;;2;
83485;20/04/1981;1200;18.8;15.4;69;;;;9;
83485;20/04/1981;1800;24.2;17.8;52;;;;7;
83485;21/04/1981;0000;17;15.4;84;;;;4;
83485;21/04/1981;1200;17.2;15.5;83;;;;10;
83485;21/04/1981;1800;23.4;17.2;52;;;;5;
83485;22/04/1981;0000;17.4;15.4;80;;;;2;
83485;22/04/1981;1200;18.2;15.8;77;;;;6;
83485;22/04/1981;1800;25;18.6;52;;;;9;
83485;23/04/1981;0000;19.6;17.3;79;;;;4;
83485;23/04/1981;1200;19.8;17.8;82;;;;10;
83485;23/04/1981;1800;25.8;20.3;59;;;;7;
83485;24/04/1981;0000;19.6;18.2;87;;;;2;
83485;24/04/1981;1200;21.2;18.7;78;;;;9;
83485;24/04/1981;1800;26;19.6;54;;;;4;
83485;25/04/1981;0000;19.4;17.8;85;;;;0;
83485;25/04/1981;1200;19.6;17.4;80;;;;10;
83485;25/04/1981;1800;26.4;19.2;49;;;;6;
83485;26/04/1981;0000;19.2;17.8;87;;;;0;
83485;26/04/1981;1200;20.6;18.4;80;;;;10;
83485;26/04/1981;1800;24.2;19.4;63;;;;10;
83485;27/04/1981;0000;20.6;19.2;87;;;;0;
83485;27/04/1981;1200;21.4;18.4;74;;;;7;
83485;27/04/1981;1800;24.8;19.6;60;;;;10;
83485;28/04/1981;0000;18;17.2;92;;;;0;
83485;28/04/1981;1200;20.2;19;89;;;;10;
83485;28/04/1981;1800;24.4;19.4;61;;;;9;
83485;29/04/1981;0000;19;18;90;;;;6;
83485;29/04/1981;1200;19.4;17.6;83;;;;9;
83485;29/04/1981;1800;25.8;20;57;;;;6;
83485;30/04/1981;0000;19.4;18;87;;;;0;
83485;30/04/1981;1200;22;18.8;73;;;;6;
83485;30/04/1981;1800;22.8;20.2;78;;;;9;
83485;01/05/1981;0000;19.6;18.8;92;;;;0;
83485;01/05/1981;1200;19.2;18.2;91;;;;10;
83485;01/05/1981;1800;24.8;19.6;60;;;;6;
83485;02/05/1981;0000;19.4;18;87;;;;0;
83485;02/05/1981;1200;20;18;82;;;;10;
83485;02/05/1981;1800;21.8;19;76;;;;10;
83485;03/05/1981;0000;19.4;18;87;;;;6;
83485;03/05/1981;1200;19.6;17;76;;;;7;
83485;03/05/1981;1800;22.2;18.8;72;;;;10;
83485;04/05/1981;0000;19.6;17.8;83;;;;10;
83485;04/05/1981;1200;20.8;17.8;74;;;;5;
83485;04/05/1981;1800;26.8;19.8;51;;;;5;
83485;05/05/1981;0000;20;18;82;;;;0;
83485;05/05/1981;1200;20.2;18.2;82;;;;10;
83485;05/05/1981;1800;24.8;19.4;59;;;;7;
83485;06/05/1981;0000;18.8;17.2;85;;;;0;
83485;06/05/1981;1200;19.6;17.8;83;;;;9;
83485;06/05/1981;1800;25.4;19;53;;;;4;
83485;07/05/1981;0000;17.4;16;86;;;;0;
83485;07/05/1981;1200;20;17.6;78;;;;6;
83485;07/05/1981;1800;25.8;17.8;43;;;;4;
83485;08/05/1981;0000;16.8;15;82;;;;0;
83485;08/05/1981;1200;19.2;16.6;76;;;;7;
83485;08/05/1981;1800;22;17.8;65;;;;9;
83485;09/05/1981;0000;18.4;16.4;81;;;;;
83485;09/05/1981;1200;19.8;16.8;73;;;;10;
83485;09/05/1981;1800;25;18;49;;;;6;
83485;10/05/1981;0000;18.2;16.6;85;;;;4;
83485;11/05/1981;1200;18.6;16.6;81;;;;6;
83485;11/05/1981;1800;26.2;16.2;32;;;;2;
83485;12/05/1981;0000;15.4;12.8;73;;;;0;
83485;12/05/1981;1200;18.6;15.6;72;;;;2;
83485;12/05/1981;1800;26.4;18.4;44;;;;2;
83485;13/05/1981;0000;17.2;15;78;;;;5;
83485;13/05/1981;1200;18.6;16;76;;;;2;
83485;13/05/1981;1800;25.8;16.6;36;;;;2;
83485;14/05/1981;0000;15;13;79;;;;2;
83485;14/05/1981;1200;18.4;15.2;70;;;;2;
83485;14/05/1981;1800;25.6;17.4;42;;;;5;
83485;15/05/1981;0000;16;15;90;;;;9;
83485;15/05/1981;1200;19;16.2;74;;;;2;
83485;15/05/1981;1800;26.6;19.2;48;;;;3;
83485;16/05/1981;0000;16.8;15.2;84;;;;0;
83485;16/05/1981;1200;20.6;17.4;72;;;;0;
83485;16/05/1981;1800;29.2;19.6;38;;;;6;
83485;17/05/1981;0000;20.6;18.2;79;;;;5;
83485;17/05/1981;1200;20.4;18.2;80;;;;10;
83485;17/05/1981;1800;24.6;19.8;63;;;;8;
83485;18/05/1981;0000;18.8;17.2;85;;;;3;
83485;19/05/1981;1200;19.8;18;84;;;;10;
83485;19/05/1981;1800;22.8;20;77;;;;9;
83485;20/05/1981;0000;19;17.8;89;;;;10;
83485;26/05/1981;1200;16.2;15.2;90;;;;10;
83485;26/05/1981;1800;23.8;17.8;54;;;;7;
83485;27/05/1981;0000;17.4;15.6;82;;;;4;
83485;27/05/1981;1200;14.6;14;93;;;;10;
83485;27/05/1981;1800;22.2;17.4;61;;;;4;
83485;28/05/1981;0000;14.6;13.8;91;;;;0;
83485;28/05/1981;1200;16;15.2;92;;;;7;
83485;28/05/1981;1800;24.6;18;51;;;;4;
83485;29/05/1981;0000;15.6;14.6;90;;;;0;
83485;29/05/1981;1200;16.2;15.4;92;;;;10;
83485;29/05/1981;1800;21.4;17.8;69;;;;10;
83485;30/05/1981;0000;15.4;14.6;92;;;;0;
83485;30/05/1981;1200;15.8;14.6;88;;;;10;
83485;30/05/1981;1800;23;17.6;57;;;;6;
83485;31/05/1981;0000;15.2;13.8;85;;;;0;
83485;31/05/1981;1200;17.8;15.6;79;;;;5;
83485;31/05/1981;1800;23;17;53;;;;7;
83485;01/06/1981;0000;16.6;14.8;82;;;;0;
83485;01/06/1981;1200;18.8;16;74;;;;2;
