<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83488</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : ITAMARANDIBA - MG (OMM: 83488)
Latitude  (graus) : -17.85
Longitude (graus) : -42.85
Altitude  (metros): 914.00
Esta��o Operante
Inicio de opera��o: 27/03/1925
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83488;11/06/1962;1200;17.8;15.8;81;887;32;1;4;
83488;11/06/1962;1800;25;20.4;65;886.3;32;1;4;
83488;12/06/1962;0000;12.6;11.4;87;886.8;5;1;0;
83488;12/06/1962;1200;16.6;13.8;73;887.6;0;0;0;
83488;12/06/1962;1800;25.2;16.8;40;886.7;14;1;0;
83488;13/06/1962;0000;13.6;12.4;87;887.2;32;1;0;
83488;13/06/1962;1200;17;15;81;887.4;5;1;8;
83488;13/06/1962;1800;24.4;19.4;62;886.7;23;1;4;
83488;14/06/1962;0000;16;15.2;91;887;5;1;0;
83488;14/06/1962;1200;16.2;15;87;887.2;5;3;8;
83488;14/06/1962;1800;23.2;19;67;886.7;5;1;6;
83488;15/06/1962;0000;14.6;13.6;90;887.1;14;1;0;
83488;15/06/1962;1200;14.8;13.8;90;887.4;5;1;8;
83488;15/06/1962;1800;21;17.2;68;887;14;1;6;
83488;16/06/1962;0000;13.4;12.6;92;887.2;5;1;6;
83488;16/06/1962;1200;14.8;13.4;86;887.6;5;1;6;
83488;16/06/1962;1800;19.4;15.2;64;887.1;5;1;8;
83488;17/06/1962;0000;11.2;11;98;887.8;5;1;6;
83488;17/06/1962;1200;13.6;12;83;887.8;5;1;2;
83488;17/06/1962;1800;20.8;15;52;887.2;5;1;6;
83488;18/06/1962;0000;9.8;9.4;95;887.9;5;1;5;
83488;18/06/1962;1200;13;11.4;83;888.2;5;1;4;
83488;18/06/1962;1800;17.4;14.4;71;887.6;14;1;4;
83488;19/06/1962;0000;7.6;7.4;98;888.2;14;1;0;
83488;19/06/1962;1200;14.4;12.6;81;887.9;5;1;2;
83488;19/06/1962;1800;20.4;16.8;70;887.5;14;3;6;
83488;20/06/1962;0000;11.6;11;94;887.9;9;1;2;
83488;20/06/1962;1200;14.4;12.6;81;887.9;9;1;10;
83488;20/06/1962;1800;15.4;15.2;98;887.6;14;1;10;
83488;21/06/1962;0000;14;13.4;93;887.9;14;1;10;
83488;21/06/1962;1200;16.2;14.8;85;887.2;5;1;1;
83488;21/06/1962;1800;21.6;17.4;65;887.1;5;1;6;
83488;22/06/1962;0000;15;14.8;98;887.4;5;1;5;
83488;22/06/1962;1200;17.4;16.2;88;887.5;5;1;10;
83488;22/06/1962;1800;24.4;18.4;56;886.8;5;1;6;
83488;23/06/1962;0000;13.8;13.6;97;887.1;5;1;0;
83488;23/06/1962;1200;18;15.6;78;887;32;1;0;
83488;23/06/1962;1800;23.8;19;62;886.6;14;1;6;
83488;24/06/1962;0000;16;15.2;91;886.8;5;1;4;
83488;24/06/1962;1200;19.2;16.8;78;887;36;1;6;
83488;24/06/1962;1800;24;19.6;66;886.4;5;1;10;
83488;25/06/1962;0000;16.4;15.4;90;887;14;1;8;
83488;25/06/1962;1200;17.6;16.2;86;887.2;14;3;6;
83488;25/06/1962;1800;24.6;18.6;56;886.8;14;3;6;
83488;26/06/1962;0000;13.4;13.2;98;887.2;14;1;0;
83488;26/06/1962;1200;15.6;14.6;89;887.5;5;1;8;
