<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83498</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CARAVELAS - BA (OMM: 83498)
Latitude  (graus) : -17.73
Longitude (graus) : -39.25
Altitude  (metros): 2.88
Esta��o Operante
Inicio de opera��o: 01/05/1930
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83498;01/01/1961;1200;28.2;24.4;72;1011.4;5;5;9;
83498;01/01/1961;1800;27.4;23.7;72;1009.9;5;4;5;
83498;02/01/1961;0000;25.4;23.3;83;1010.3;5;5;4;
83498;02/01/1961;1200;26.6;23.8;78;1011.2;5;5.7;10;
83498;02/01/1961;1800;27.2;23.5;72;1009.8;5;4.9;10;
83498;03/01/1961;0000;25.4;23.1;82;1010;5;4;10;
83498;03/01/1961;1200;28;22.8;62;1010.6;5;5.5;8;
83498;03/01/1961;1800;29.6;22.5;52;1007.2;5;6.7;8;
83498;04/01/1961;0000;25.2;23.1;83;1009;5;6;5;
83498;04/01/1961;1200;24.8;23.8;92;1009.8;0;0;9;
83498;04/01/1961;1800;28.2;24.3;71;1009;5;6;6;
83498;05/01/1961;0000;25.4;23.6;86;1009.2;5;4.9;5;
83498;05/01/1961;1200;28;24.9;76;1010;5;4.3;9;
83498;05/01/1961;1800;27;24.2;79;1008.3;5;6;9;
83498;06/01/1961;0000;25.6;24;87;1009;5;4;10;
83498;06/01/1961;1200;27.8;23.7;69;1010.6;5;4.5;6;
83498;06/01/1961;1800;28.6;23.3;62;1009;5;6;8;
83498;07/01/1961;0000;25.2;23.8;88;1010.2;5;5.5;7;
83498;07/01/1961;1200;27.6;23.5;69;1009;5;6;10;
83498;07/01/1961;1800;28.8;23.8;64;1007;5;4.9;5;
83498;08/01/1961;0000;25.4;23.7;87;1007.4;5;4;8;
83498;08/01/1961;1200;26.1;24.1;84;1009;5;3.3;9;
83498;08/01/1961;1800;29;24.7;69;1007.1;5;6.7;4;
83498;09/01/1961;0000;25.6;24.4;90;1010;5;3.3;2;
83498;09/01/1961;1200;28.4;24.6;73;1011.1;5;5.5;9;
83498;09/01/1961;1800;29;24.5;68;1009.8;5;6.7;6;
83498;10/01/1961;0000;25.2;23.8;88;1009.6;5;2.4;6;
83498;10/01/1961;1200;27.4;23.6;72;1010.6;5;5.5;9;
83498;10/01/1961;1800;29;23.8;63;1010.3;5;4.9;5;
83498;11/01/1961;0000;25.8;23.9;85;1011;5;2.4;4;
83498;11/01/1961;1200;27;23.9;76;1010.3;5;3.3;10;
83498;11/01/1961;1800;28.7;24.6;71;1009;5;6;6;
83498;12/01/1961;0000;25.4;23.8;87;1011.1;5;3.8;10;
83498;12/01/1961;1200;27.9;23.5;68;1012.7;5;2.4;10;
83498;12/01/1961;1800;28.8;23;59;1011.4;5;2.1;10;
83498;13/01/1961;0000;24.8;23.2;87;1014;14;1.8;7;
83498;13/01/1961;1200;27;23.3;72;1014.6;5;2.4;10;
83498;13/01/1961;1800;25.2;22.4;78;1013.6;5;5.7;10;
83498;14/01/1961;0000;24.4;22.4;83;1013.8;0;0;10;
83498;14/01/1961;1200;27;23.2;71;1013.6;5;3.5;9;
83498;14/01/1961;1800;26.6;22.9;71;1013;9;3;10;
83498;15/01/1961;0000;23.8;22.8;91;1013.4;9;1;5;
83498;15/01/1961;1200;26.4;23.2;75;1013.8;5;1.5;10;
83498;15/01/1961;1800;27.4;23.3;70;1012;9;2.5;7;
83498;16/01/1961;0000;24.4;23.2;90;1013.9;9;3.4;8;
83498;16/01/1961;1200;25.2;24.2;92;1014.6;5;2.4;10;
83498;16/01/1961;1800;27;24.3;79;1013;5;2.1;8;
83498;17/01/1961;0000;24.6;23.6;92;1012.7;0;0;5;
83498;17/01/1961;1200;27;24.5;81;1015.2;9;4;9;
83498;17/01/1961;1800;27;24.4;80;1015.1;9;3.8;8;
83498;18/01/1961;0000;23.8;23.2;95;1016.6;9;1.2;8;
83498;18/01/1961;1200;27.6;23.4;68;1017.1;5;2.5;7;
83498;18/01/1961;1800;28.4;23.8;67;1015.6;14;3.8;6;
83498;19/01/1961;0000;23.8;22.6;90;1016.2;5;1.5;2;
83498;19/01/1961;1200;27;23.4;72;1017;14;2.4;9;
83498;19/01/1961;1800;28;23.3;66;1014.8;14;3.8;5;
83498;20/01/1961;0000;23.8;22.2;87;1015.6;0;0;2;
83498;20/01/1961;1200;26.8;23.3;73;1015.1;5;1.2;9;
83498;20/01/1961;1800;27;23.3;72;1014.2;5;2.8;9;
83498;21/01/1961;0000;24.6;22.6;84;1014.3;5;1.3;7;
83498;21/01/1961;1200;28.2;24.1;70;1014;5;2.4;9;
83498;21/01/1961;1800;24.8;23.9;93;1012.7;36;1.2;10;
83498;22/01/1961;0000;21.8;21.2;95;1013.6;32;1.2;8;
83498;22/01/1961;1200;25.6;24;87;1013.9;5;1.2;9;
83498;22/01/1961;1800;25.4;23.7;87;1011.6;0;0;10;
83498;23/01/1961;0000;22.6;21.4;89;1011.2;0;0;8;
83498;23/01/1961;1200;26.7;23.3;74;1012.7;5;4.9;9;
83498;23/01/1961;1800;30.6;25.2;63;1008.7;5;5.5;5;
