<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83499</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : ABROLHOS - BA (OMM: 83499)
Latitude  (graus) : -17.96
Longitude (graus) : -38.7
Altitude  (metros): 38.00
Esta��o Operante
Inicio de opera��o: 01/11/1956
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83499;01/01/2015;0000;27;;85;;5;9.25992;;
83499;01/01/2015;0600;25;;92;;5;7.20216;;
83499;01/01/2015;1800;30;;79;;6;6.17328;2.5;
83499;02/01/2015;0000;27;;93;;5;;;
83499;02/01/2015;1200;29;;79;;5;9.25992;3.75;
83499;02/01/2015;1800;30;;73;;5;6.17328;2.5;
83499;03/01/2015;0600;25;;92;;5;8.23104;;
83499;03/01/2015;1200;28;;79;;5;6.17328;3.75;
83499;03/01/2015;1800;30;;73;;5;6.17328;1.25;
83499;04/01/2015;0000;25;;92;;9;8.23104;;
83499;04/01/2015;0600;26;;85;;5;5.1444;;
83499;04/01/2015;1200;28;;79;;5;6.17328;3.75;
83499;04/01/2015;1800;30;;73;;5;2.05776;3.75;
83499;05/01/2015;0000;25;;92;;5;7.20216;;
83499;05/01/2015;1200;28;;85;;5;5.1444;2.5;
83499;05/01/2015;1800;30;;73;;5;5.1444;2.5;
83499;06/01/2015;1200;25;;84;;14;;10;
83499;06/01/2015;1800;26;;85;;14;4.11552;10;
83499;07/01/2015;0000;25;;92;;14;3.08664;;
83499;07/01/2015;0600;25;;92;;9;5.1444;;
83499;07/01/2015;1200;25;;84;;;;10;
83499;07/01/2015;1800;30;;56;;14;5.1444;7.5;
83499;08/01/2015;0600;26;;78;;9;4.11552;;
83499;08/01/2015;1200;29;;72;;14;2.05776;6.25;
83499;08/01/2015;1800;31;;73;;9;3.08664;3.75;
83499;09/01/2015;0000;27;;93;;14;8.23104;;
83499;09/01/2015;1800;29;;79;;8;9.25992;5;
83499;10/01/2015;1200;27;;85;;5;1.02888;5;
