<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83500</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : SERRA DOS AIMORES - MG (OMM: 83500)
Latitude  (graus) : -17.78
Longitude (graus) : -40.25
Altitude  (metros): 202.00
Esta��o Fechada
Inicio de opera��o: 15/08/1988
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83500;01/01/1991;1200;23.7;23.1;95;;18;2;5;
83500;01/01/1991;1800;25.3;24.1;90;;14;6;4;
83500;02/01/1991;0000;22.7;21.1;86;;14;1;8;
83500;02/01/1991;1200;25.9;24.1;86;;0;0;2;
83500;02/01/1991;1800;28.1;26.5;88;;9;4;3;
83500;03/01/1991;0000;26.1;25.1;92;;14;1;2;
83500;03/01/1991;1200;27.3;26.1;91;;32;3;5;
83500;03/01/1991;1800;32.5;29.7;81;;5;3;4;
83500;04/01/1991;0000;28.7;27.5;91;;5;4;2;
83500;04/01/1991;1200;28.3;27.3;92;;5;1;5;
83500;04/01/1991;1800;30.9;29.7;91;;36;3;8;
83500;05/01/1991;0000;27.5;26.7;94;;32;1;10;
83500;05/01/1991;1200;26.1;25.1;92;;5;3;7;
83500;05/01/1991;1800;24.1;23.7;97;;5;3;10;
83500;06/01/1991;0000;24.9;24.5;97;;14;2;10;
83500;06/01/1991;1200;23.3;22.9;96;;23;1;10;
83500;06/01/1991;1800;27.3;26.9;97;;14;2;7;
83500;07/01/1991;0000;25.3;24.5;93;;14;3;9;
83500;07/01/1991;1200;23.5;22.9;95;;23;3;10;
83500;07/01/1991;1800;25.3;24.9;97;;14;7;10;
83500;08/01/1991;0000;25.1;23.9;90;;14;7;10;
83500;08/01/1991;1200;25.3;24.9;97;;32;2;9;
83500;08/01/1991;1800;27.1;25.3;86;;14;3;7;
83500;09/01/1991;0000;26.5;25.1;89;;14;2;6;
83500;09/01/1991;1200;25.3;24.9;97;;14;2;6;
83500;09/01/1991;1800;28.7;27.1;88;;14;5;8;
83500;10/01/1991;0000;26.3;25.1;90;;14;3;8;
