<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83513</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : NHUMIRIM  NHECOLANDIA  - MS (OMM: 83513)
Latitude  (graus) : -18.98
Longitude (graus) : -56.62
Altitude  (metros): 89.00
Esta��o Operante
Inicio de opera��o: 01/07/1984
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83513;01/01/1993;1200;28.3;25.5;79;;0;0;0;
83513;01/01/1993;1800;33.5;28.1;65;;9;5;4;
83513;02/01/1993;0000;27.4;26.1;90;;0;0;10;
83513;02/01/1993;1200;29.5;26.3;77;;14;5;5;
83513;02/01/1993;1800;34.1;26.3;52;;9;7;3;
83513;03/01/1993;0000;28.2;26.1;84;;0;0;5;
83513;06/01/1993;0000;28.5;26.1;82;;36;1;2;
83513;06/01/1993;1200;29.1;26.1;78;;27;1;2;
83513;06/01/1993;1800;34.3;29.1;67;;32;2;4;
83513;07/01/1993;0000;27.2;25.1;84;;36;1;4;
83513;07/01/1993;1200;28.5;26.3;83;;36;2;4;
83513;07/01/1993;1800;28;25.5;81;;0;0;8;
83513;08/01/1993;0000;26.2;25.5;94;;0;0;0;
83513;08/01/1993;1200;27.2;25.9;90;;36;2;10;
83513;08/01/1993;1800;30.1;26.9;77;;36;2;8;
83513;09/01/1993;0000;26.8;26.3;96;;0;0;10;
83513;09/01/1993;1200;25.4;24.7;94;;36;2;10;
83513;09/01/1993;1800;24.2;23.7;96;;27;2;10;
83513;10/01/1993;0000;23.6;23.1;96;;0;0;10;
83513;10/01/1993;1200;25;24.1;92;;27;1;10;
83513;10/01/1993;1800;28.7;26.1;81;;27;1;8;
83513;11/01/1993;0000;24.4;23.5;92;;0;0;0;
83513;11/01/1993;1200;26.8;25.1;87;;36;1;6;
83513;11/01/1993;1800;31.5;27.3;71;;36;1;6;
83513;12/01/1993;0000;25.4;24.3;91;;36;2;2;
83513;12/01/1993;1200;25;24.1;92;;36;3;10;
83513;12/01/1993;1800;26.2;25.3;93;;0;0;10;
83513;13/01/1993;0000;24.8;24.1;94;;9;2;6;
83513;13/01/1993;1200;23.2;22.7;96;;36;1;10;
83513;13/01/1993;1800;28.9;25.1;72;;36;2;8;
83513;14/01/1993;0000;26.6;25.5;91;;0;0;0;
83513;14/01/1993;1200;26.6;25.1;88;;0;0;8;
83513;14/01/1993;1800;33.1;29.5;76;;0;0;6;
83513;15/01/1993;0000;28.2;26.5;87;;0;0;4;
83513;15/01/1993;1200;28;26.7;90;;0;0;8;
83513;15/01/1993;1800;29.7;26.1;74;;36;1;8;
83513;16/01/1993;0000;28.2;26.9;90;;32;1;2;
83513;16/01/1993;1200;29.5;27.1;82;;0;0;2;
83513;16/01/1993;1800;34.1;29.5;70;;0;0;4;
83513;17/01/1993;0000;28.3;27.1;91;;0;0;2;
83513;17/01/1993;1200;30.1;28.1;85;;32;3;2;
83513;17/01/1993;1800;34.1;29.5;70;;36;2;4;
83513;18/01/1993;0000;28.5;27.7;94;;36;1;0;
83513;18/01/1993;1200;24.2;23.9;97;;9;1;10;
83513;18/01/1993;1800;31.3;28.5;80;;27;1;8;
83513;19/01/1993;0000;24.4;23.7;94;;0;0;6;
83513;19/01/1993;1200;24.2;23.5;94;;0;0;10;
83513;19/01/1993;1800;24.6;23.9;94;;36;2;10;
83513;20/01/1993;0000;24.8;23.7;91;;36;2;0;
83513;20/01/1993;1200;25.4;22.1;74;;36;1;10;
83513;20/01/1993;1800;30.9;28.1;80;;27;2;10;
83513;21/01/1993;0000;28.5;27.7;94;;0;0;;
83513;21/01/1993;1200;25.2;24.3;92;;5;1;2;
83513;21/01/1993;1800;31.1;28.1;79;;36;1;4;
83513;22/01/1993;0000;28.2;27.2;92;;9;1;2;
83513;22/01/1993;1200;27.6;26.3;90;;32;1;2;
83513;22/01/1993;1800;30.1;28.3;87;;36;4;8;
83513;23/01/1993;0000;25.8;25.1;94;;0;0;0;
83513;23/01/1993;1200;27;25.1;85;;36;2;0;
83513;23/01/1993;1800;32.3;28.1;72;;32;2;4;
83513;24/01/1993;0000;29.1;28.1;92;;0;0;2;
83513;24/01/1993;1200;25.2;24.7;96;;36;1;10;
83513;24/01/1993;1800;24.6;23.1;87;;32;1;10;
83513;25/01/1993;0000;25.2;24.7;96;;9;1;10;
83513;25/01/1993;1200;25;23.7;89;;36;1;10;
83513;25/01/1993;1800;28.8;26.3;81;;36;2;10;
83513;26/01/1993;0000;24.4;23.5;92;;0;0;0;
83513;26/01/1993;1200;26.4;25.1;90;;36;1;2;
83513;26/01/1993;1800;33.5;26.9;58;;36;2;2;
83513;27/01/1993;0000;29.6;26.9;80;;0;0;0;
83513;27/01/1993;1200;29.1;27.3;86;;9;1;2;
83513;27/01/1993;1800;33.3;29.1;72;;27;1;4;
83513;28/01/1993;0000;25.4;24.3;91;;9;4;8;
83513;28/01/1993;1200;25.8;24.7;91;;5;1;10;
83513;28/01/1993;1800;33.1;29.3;74;;32;1;2;
83513;29/01/1993;0000;26.8;25.1;87;;9;1;0;
83513;29/01/1993;1200;29.1;25.3;72;;36;1;4;
83513;29/01/1993;1800;32.1;28.5;75;;36;1;6;
83513;30/01/1993;0000;27.2;26.3;93;;0;0;0;
83513;30/01/1993;1200;27.4;26.3;91;;36;1;2;
83513;30/01/1993;1800;33.5;29.9;76;;36;1;4;
83513;31/01/1993;0000;29.1;28.3;94;;0;0;0;
