<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83524</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : MONTE ALEGRE DE MINAS - MG (OMM: 83524)
Latitude  (graus) : -18.86
Longitude (graus) : -48.86
Altitude  (metros): 756.00
Esta��o Desativada
Inicio de opera��o: 07/11/1912
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83524;01/01/1961;1200;22.3;21;89;930.7;0;0;10;
83524;01/01/1961;1800;26.2;22.7;74;929.2;5;1;8;
83524;02/01/1961;0000;20.6;20;96;931.5;5;1;10;
83524;02/01/1961;1200;21.6;20.6;91;933;0;0;10;
83524;02/01/1961;1800;21.9;20.9;91;929;0;0;10;
83524;03/01/1961;0000;20.8;20.4;96;930.2;0;0;10;
83524;03/01/1961;1200;21.5;20.7;93;931;5;1;10;
83524;03/01/1961;1800;21.4;20.8;94;930.3;5;1;10;
83524;04/01/1961;0000;20.4;20.1;97;929.1;0;0;10;
83524;04/01/1961;1200;20.3;20;97;931.5;0;0;10;
83524;04/01/1961;1800;24.4;22.2;83;929.1;5;1;10;
83524;05/01/1961;0000;21.3;20.7;96;930;0;0;10;
83524;05/01/1961;1200;20.8;20.2;95;931;0;0;10;
83524;05/01/1961;1800;26.9;22.7;70;928.7;5;1;10;
83524;06/01/1961;0000;22.6;21;86;928.8;0;0;10;
83524;06/01/1961;1200;21.8;20.9;92;930.3;5;1;10;
83524;06/01/1961;1800;25.8;22.6;76;928;5;1;10;
83524;07/01/1961;0000;21.2;20.7;95;931.1;0;0;10;
83524;07/01/1961;1200;22.2;21;90;931.6;5;1;6;
83524;07/01/1961;1800;26.4;22.6;72;929.2;5;1;8;
83524;08/01/1961;0000;21.8;20.9;92;930.4;0;0;10;
83524;08/01/1961;1200;22.3;21.3;91;932.6;5;1;10;
83524;08/01/1961;1800;27.2;23.8;75;930.4;5;1;10;
83524;09/01/1961;0000;22.6;21.9;94;931.1;0;0;10;
83524;09/01/1961;1200;22.2;21;89;932.2;0;0;10;
83524;09/01/1961;1800;28.9;23.6;64;930.4;5;1;8;
83524;10/01/1961;0000;24.2;21;75;930;0;0;10;
83524;10/01/1961;1200;25;22.3;79;930.7;5;1;7;
83524;10/01/1961;1800;28.3;23.2;64;930.3;0;0;8;
83524;11/01/1961;0000;24.3;23.7;96;930.2;0;0;10;
83524;11/01/1961;1200;23.1;20.9;82;932;5;1;10;
83524;11/01/1961;1800;27;22.8;69;931.4;5;1;8;
83524;12/01/1961;0000;20.2;19.6;94;931.8;0;0;10;
83524;12/01/1961;1200;21.2;20.3;91;931.9;0;0;10;
83524;12/01/1961;1800;23.4;20.6;78;931.8;5;1;10;
83524;13/01/1961;0000;21.5;19.7;85;931.2;5;1;10;
83524;13/01/1961;1200;21.6;19.8;85;933.6;5;1;10;
83524;13/01/1961;1800;22.2;21;89;932.7;0;0;10;
83524;14/01/1961;0000;20.1;19.5;94;932.7;0;0;10;
83524;14/01/1961;1200;20.9;19.4;87;933.8;5;1;10;
83524;14/01/1961;1800;27.5;21.9;60;932;5;1;10;
83524;15/01/1961;0000;22.2;21;89;932;0;0;10;
83524;15/01/1961;1200;23.6;20.8;77;934.2;5;1;7;
83524;15/01/1961;1800;27.4;22.2;63;932.8;5;1;10;
83524;16/01/1961;0000;22.1;21;90;933.6;0;0;10;
83524;16/01/1961;1200;21.1;20;90;933.8;5;1;10;
83524;16/01/1961;1800;29;22.8;58;932.3;5;1;8;
83524;17/01/1961;0000;22.9;20.8;83;934.3;0;0;10;
83524;17/01/1961;1200;24.4;21.1;74;934.7;5;1;7;
83524;17/01/1961;1800;29.8;23.2;56;932.3;5;1;7;
83524;18/01/1961;0000;23.2;21.7;88;935.1;0;0;10;
83524;18/01/1961;1200;25;21.7;75;932;0;0;6;
83524;18/01/1961;1800;31.8;23.5;48;936.3;0;0;7;
83524;19/01/1961;0000;24.3;21.8;80;935.4;0;0;0;
83524;19/01/1961;1200;26;21.9;69;936.8;0;0;0;
83524;19/01/1961;1800;33;23.7;45;936.7;5;1;6;
83524;20/01/1961;0000;26.8;23.2;73;934.3;0;0;10;
83524;20/01/1961;1200;26.5;22.2;68;934.7;5;1;5;
83524;20/01/1961;1800;25.9;22.2;73;934.4;5;1;10;
83524;21/01/1961;0000;21.1;20.1;91;935;0;0;10;
83524;21/01/1961;1200;23.3;21.4;85;936.2;0;0;8;
83524;21/01/1961;1800;29;22.1;55;932.2;5;1;8;
83524;22/01/1961;0000;25.2;22.8;82;933.5;0;0;10;
83524;22/01/1961;1200;23.2;21.6;87;933.9;0;0;0;
83524;22/01/1961;1800;28.1;23.1;65;932.4;5;1;10;
83524;23/01/1961;0000;25;22.8;83;939.8;0;0;10;
83524;23/01/1961;1200;24.6;22;80;933.8;5;1;8;
83524;23/01/1961;1800;31;23.1;51;932.8;5;1;7;
83524;24/01/1961;0000;25.7;22.6;77;930.6;5;1;10;
83524;24/01/1961;1200;21.7;20.9;93;932.8;5;1;10;
83524;24/01/1961;1800;27.4;23.3;71;937.8;5;1;8;
83524;25/01/1961;0000;25.3;23.6;88;932.8;0;0;10;
83524;25/01/1961;1200;21.6;21.2;97;933.5;14;1;10;
83524;25/01/1961;1800;26.3;23;75;931;5;1;10;
83524;26/01/1961;0000;22.6;21.8;93;930.6;0;0;10;
83524;26/01/1961;1200;21.4;20.3;90;932;5;1;10;
83524;26/01/1961;1800;26.4;23.1;76;929.5;5;1;10;
83524;27/01/1961;0000;22.6;20.7;85;931.2;0;0;10;
83524;27/01/1961;1200;20.8;20.3;95;931.5;0;0;10;
83524;27/01/1961;1800;22.4;21;88;932;5;1;10;
83524;28/01/1961;0000;20.4;19.8;94;932.7;0;0;10;
83524;28/01/1961;1200;20.6;19.6;91;932.7;0;0;10;
83524;28/01/1961;1800;25;22.2;79;931.6;0;0;10;
83524;29/01/1961;0000;21.4;20.4;91;932.4;0;0;10;
83524;29/01/1961;1200;20.2;19.7;95;934.6;0;0;10;
83524;29/01/1961;1800;21.1;20.2;92;934.4;0;0;10;
83524;30/01/1961;0000;20.2;19.8;96;935;0;0;10;
83524;30/01/1961;1200;20.6;19.9;94;935.9;0;0;10;
83524;30/01/1961;1800;25;21.8;75;932.4;5;1;10;
83524;31/01/1961;0000;22.4;21.3;90;933.1;0;0;10;
83524;31/01/1961;1200;20.9;20;92;933.6;0;0;10;
83524;31/01/1961;1800;28.3;22.5;59;932;0;0;10;
83524;01/02/1961;0000;21.6;20.1;88;932.8;0;0;10;
83524;01/02/1961;1200;22.4;20.2;82;934.8;5;1;7;
83524;01/02/1961;1800;30;23.1;56;933.4;5;1;7;
83524;02/02/1961;0000;23.4;21.6;86;933.2;0;0;0;
83524;02/02/1961;1200;25.6;22.2;75;935.2;0;0;0;
