<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83531</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : PATOS DE MINAS - MG (OMM: 83531)
Latitude  (graus) : -18.51
Longitude (graus) : -46.43
Altitude  (metros): 940.28
Esta��o Operante
Inicio de opera��o: 23/10/1947
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83531;01/01/1961;1200;20.5;19.8;93;904.3;32;5;10;
83531;01/01/1961;1800;21;20;91;907.2;27;3;10;
83531;02/01/1961;0000;21.1;20;90;904;0;0;10;
83531;02/01/1961;1200;21;20;91;904.6;36;1;10;
83531;02/01/1961;1800;20.2;19.8;96;903;32;1;10;
83531;03/01/1961;0000;19.6;19;95;903.4;0;0;10;
83531;03/01/1961;1200;20.8;20;93;903.6;36;1;10;
83531;03/01/1961;1800;24.6;21.9;79;901.1;27;4;10;
83531;04/01/1961;0000;21;20.4;94;902.6;0;0;10;
83531;04/01/1961;1200;20.5;19.9;94;903.6;36;3;10;
83531;04/01/1961;1800;22;21;91;901.5;32;5;10;
83531;05/01/1961;0000;21;20;91;902.7;32;1;10;
83531;05/01/1961;1200;20.6;19.4;89;903.6;36;3;10;
83531;05/01/1961;1800;24;21.8;82;901.2;36;2;10;
83531;06/01/1961;0000;21.5;20.6;92;902.6;0;0;10;
83531;06/01/1961;1200;20.5;19.6;91;904.2;36;1;10;
83531;06/01/1961;1800;22.2;21.1;90;902.2;27;9;10;
83531;07/01/1961;0000;21;19.6;87;903.5;0;0;10;
83531;07/01/1961;1200;21;20.4;94;903.9;32;1;10;
83531;07/01/1961;1800;22.9;20.9;84;902.6;5;5;10;
83531;08/01/1961;0000;22;20.8;89;903.9;0;0;10;
83531;08/01/1961;1200;21.1;20.2;92;904.6;0;0;10;
83531;08/01/1961;1800;20.1;19.4;93;903.4;36;5;10;
83531;09/01/1961;0000;19.9;19.5;96;904.2;0;0;10;
83531;09/01/1961;1200;20.5;19.1;87;905;36;3;10;
83531;09/01/1961;1800;27;22;64;903;32;7;10;
83531;10/01/1961;0000;22.5;20.4;83;902.7;0;0;3;
83531;10/01/1961;1200;24.4;21.6;78;904.3;32;1;3;
83531;10/01/1961;1800;21.8;20.5;89;902.7;0;0;7;
83531;11/01/1961;0000;20;19.1;92;903.2;0;0;10;
83531;11/01/1961;1200;21;19.5;87;903;32;1;10;
83531;11/01/1961;1800;25;21.7;75;901.8;0;0;10;
83531;12/01/1961;0000;21.4;19.8;86;902.6;0;0;8;
83531;12/01/1961;1200;19.5;19;95;904.4;5;1;10;
83531;12/01/1961;1800;23;20;76;903.9;36;7;8;
83531;13/01/1961;0000;19.6;18.7;92;905.1;5;3;10;
83531;13/01/1961;1200;19.2;18.5;93;906.8;5;7;10;
83531;13/01/1961;1800;22;19.5;79;906.7;36;5;10;
83531;14/01/1961;0000;18.9;17.8;89;906.4;36;1;10;
83531;14/01/1961;1200;21.3;19.6;86;906.3;36;3;10;
83531;14/01/1961;1800;26.5;21.5;63;904;27;5;8;
83531;15/01/1961;0000;19.5;19;95;905;9;1;10;
83531;15/01/1961;1200;21;19.6;87;906.2;5;3;10;
83531;15/01/1961;1800;24.5;21.6;77;904.6;5;1;9;
83531;16/01/1961;0000;18.7;17.6;89;905.8;5;1;10;
83531;16/01/1961;1200;21.1;19.3;84;907;36;3;10;
83531;16/01/1961;1800;26.5;21;61;904.8;36;7;9;
83531;17/01/1961;0000;19.6;18.4;89;906;0;0;2;
83531;17/01/1961;1200;23.2;19.5;71;908;5;5;5;
83531;17/01/1961;1800;27.9;21.2;54;907.2;5;1;7;
83531;18/01/1961;0000;22;19.4;78;907.6;0;0;2;
83531;18/01/1961;1200;23.6;20.1;73;909.9;36;3;9;
83531;18/01/1961;1800;27.8;21.5;56;908.3;0;0;8;
83531;19/01/1961;0000;22;19.5;79;907.9;0;0;2;
83531;19/01/1961;1200;24.5;21.2;74;909.9;36;1;2;
83531;19/01/1961;1800;29;23.3;61;907.8;32;3;9;
83531;20/01/1961;0000;22;19.8;81;907.6;0;0;1;
83531;20/01/1961;1200;21.5;19.7;85;908.2;5;1;10;
83531;20/01/1961;1800;26;22;70;905.4;32;3;10;
83531;21/01/1961;0000;19.5;18.7;92;907.2;0;0;10;
83531;21/01/1961;1200;19.4;18.5;91;907.1;0;0;10;
83531;21/01/1961;1800;22.5;20.5;84;904.3;32;3;8;
83531;22/01/1961;0000;19.5;18.5;90;904.7;9;1;2;
83531;22/01/1961;1200;20.6;19.1;88;906.3;5;3;10;
83531;22/01/1961;1800;25.6;21.2;67;904;36;1;8;
