<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83536</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CURVELO - MG (OMM: 83536)
Latitude  (graus) : -18.75
Longitude (graus) : -44.45
Altitude  (metros): 672.00
Esta��o Operante
Inicio de opera��o: 03/09/1912
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83536;01/01/1961;1200;20.6;20.2;97;;0;0;10;
83536;01/01/1961;1800;28;23;65;;5;1;10;
83536;02/01/1961;0000;20.2;19.6;94;;32;1;10;
83536;02/01/1961;1200;21;20.6;96;;32;1;10;
83536;02/01/1961;1800;25.6;22.2;74;;32;1;10;
83536;03/01/1961;0000;21.6;20.8;93;;0;0;10;
83536;03/01/1961;1200;20.6;20;95;;36;1;10;
83536;03/01/1961;1800;26.2;23;75;;5;3;10;
83536;04/01/1961;0000;21.4;20.6;93;;27;1;10;
83536;04/01/1961;1200;16.8;16;92;;36;3;10;
83536;04/01/1961;1800;23.4;21.8;86;;5;1;10;
83536;05/01/1961;0000;21.4;20.6;93;;27;1;10;
83536;05/01/1961;1200;17.2;16.8;96;;32;1;10;
83536;05/01/1961;1800;25.2;22.2;77;;5;1;10;
83536;06/01/1961;0000;21.4;20.8;94;;32;1;10;
83536;06/01/1961;1200;20;19.6;96;;32;1;10;
83536;06/01/1961;1800;28.4;22.6;60;;32;1;10;
83536;07/01/1961;0000;22.8;21.6;90;;23;1;10;
83536;07/01/1961;1200;20.6;20.4;98;;36;1;10;
83536;07/01/1961;1800;26.4;22.8;73;;32;1;10;
83536;08/01/1961;0000;22.2;21.6;94;;0;0;10;
83536;08/01/1961;1200;16.8;15.8;90;;32;1;10;
83536;08/01/1961;1800;25.6;22.2;74;;36;5;10;
83536;09/01/1961;0000;22.8;21.6;90;;0;0;10;
83536;09/01/1961;1200;20.2;19.8;96;;27;1;10;
83536;09/01/1961;1800;28.2;23.4;66;;27;1;10;
83536;10/01/1961;0000;24.6;23.2;89;;0;0;0;
83536;10/01/1961;1200;23.4;22;88;;0;0;10;
83536;10/01/1961;1800;21.6;20.6;91;;32;3;10;
83536;11/01/1961;0000;20.4;19.6;92;;32;1;10;
83536;11/01/1961;1200;19.6;19.2;97;;5;1;10;
83536;11/01/1961;1800;21;20.2;93;;27;3;10;
83536;12/01/1961;0000;22.4;21.2;90;;23;1;10;
