<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83539</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : PATROCINIO - MG (OMM: 83539)
Latitude  (graus) : -18.95
Longitude (graus) : -47
Altitude  (metros): 933.98
Esta��o Desativada
Inicio de opera��o: 01/08/1974
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83539;12/08/1974;1800;23;18.8;68;;5;2;4;
83539;13/08/1974;0000;26.2;16;36;;0;0;6;
83539;13/08/1974;1200;14.8;13.9;92;;36;1;0;
83539;13/08/1974;1800;21;18.6;81;;36;1;6;
83539;14/08/1974;0000;16.2;15;88;;0;0;5;
83539;14/08/1974;1200;18.6;17.2;87;;5;1;7;
83539;14/08/1974;1800;26;18;48;;32;2;6;
83539;15/08/1974;0000;16.4;15.6;92;;0;0;6;
83539;15/08/1974;1200;16.1;15.4;93;;5;1;2;
83539;15/08/1974;1800;17.8;16.8;91;;5;1;2;
83539;16/08/1974;0000;16.2;15.8;96;;32;2;2;
83539;16/08/1974;1200;16.8;15.7;89;;32;1;6;
83539;16/08/1974;1800;24;17;51;;23;3;9;
83539;17/08/1974;0000;15;12.4;75;;0;0;8;
83539;17/08/1974;1200;18.2;15;72;;9;1;9;
83539;17/08/1974;1800;27.2;16.8;36;;32;1;9;
83539;18/08/1974;0000;17.6;13;62;;32;1;9;
83539;18/08/1974;1200;16.6;12.8;66;;32;1;9;
83539;18/08/1974;1800;26;16;37;;0;0;8;
83539;19/08/1974;0000;21;14.8;53;;23;2;8;
83539;19/08/1974;1200;18;14.6;71;;9;2;9;
83539;19/08/1974;1800;27.8;18;40;;5;1;7;
83539;20/08/1974;0000;19.2;13.8;57;;23;2;7;
83539;20/08/1974;1200;17.7;15.2;78;;36;1;8;
83539;20/08/1974;1800;28;18;39;;32;2;6;
83539;21/08/1974;0000;19;15;67;;0;0;9;
83539;21/08/1974;1200;21;16;62;;5;2;7;
83539;21/08/1974;1800;28;17.6;37;;5;2;8;
83539;22/08/1974;0000;18.8;14;61;;0;0;8;
83539;22/08/1974;1200;20;15;61;;5;1;7;
83539;22/08/1974;1800;27;16.2;34;;5;3;6;
83539;23/08/1974;0000;17;12;57;;9;2;9;
83539;23/08/1974;1200;20.4;13;44;;5;1;9;
83539;23/08/1974;1800;27.2;13.4;20;;5;4;9;
