<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83541</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : SAO JOAO EVANGELISTA - MG (OMM: 83541)
Latitude  (graus) : -18.41
Longitude (graus) : -42.78
Altitude  (metros): 662.00
Esta��o Desativada
Inicio de opera��o: 12/01/1914
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83541;01/01/1961;1200;23.5;21.8;85;934;5;1;8;
83541;01/01/1961;1800;20.7;20.4;97;931.4;0;0;10;
83541;02/01/1961;0000;20.3;20;97;934.2;0;0;8;
83541;02/01/1961;1200;21.7;21;94;934.2;5;3;8;
83541;02/01/1961;1800;24.9;22.4;80;931.2;5;1;10;
83541;03/01/1961;0000;21.5;21;95;932.7;0;0;8;
83541;03/01/1961;1200;23.5;21.6;84;932.7;36;3;8;
83541;03/01/1961;1800;25.9;22.8;76;929.8;5;1;8;
83541;04/01/1961;0000;21.5;21;95;931.4;0;0;10;
83541;04/01/1961;1200;21.5;20.6;92;932.8;0;0;10;
83541;04/01/1961;1800;22.3;20.6;86;937.5;5;1;10;
83541;05/01/1961;0000;20.9;20.6;97;931.5;0;0;10;
83541;05/01/1961;1200;21.9;21;92;933;0;0;8;
83541;05/01/1961;1800;26.5;22.6;71;930.4;18;1;8;
83541;06/01/1961;0000;21.9;21.6;97;932.6;0;0;8;
83541;06/01/1961;1200;22.1;21;90;934.2;0;0;8;
83541;06/01/1961;1800;27.7;22.8;65;933.9;36;1;6;
83541;07/01/1961;0000;20.9;20.6;97;934;0;0;8;
83541;07/01/1961;1200;23.5;21.6;84;932.7;36;1;8;
83541;07/01/1961;1800;26.1;23.8;81;930.4;5;1;8;
83541;08/01/1961;0000;21.5;21;95;935.2;0;0;8;
83541;08/01/1961;1200;23.5;21.6;84;933.9;36;1;8;
83541;08/01/1961;1800;26.9;23;71;931;0;0;6;
83541;09/01/1961;0000;21.9;21.6;97;931;0;0;10;
83541;09/01/1961;1200;22.5;21;87;935.4;5;1;10;
