<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83542</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : GUANHAES - MG (OMM: 83542)
Latitude  (graus) : -18.76
Longitude (graus) : -42.93
Altitude  (metros): 816.08
Esta��o Desativada
Inicio de opera��o: 07/07/1974
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83542;01/01/1975;1200;20;18;84;;0;0;5;
83542;01/01/1975;1800;23;19.5;73;;27;4;8;
83542;02/01/1975;0000;19;17.1;84;;9;2;9;
83542;02/01/1975;1200;21;19.5;88;;23;5;9;
83542;02/01/1975;1800;25;20;64;;5;4;3;
83542;03/01/1975;0000;23;19;70;;36;8;6;
83542;03/01/1975;1200;22;20;84;;27;4;1;
83542;03/01/1975;1800;20;19;91;;27;1;8;
83542;04/01/1975;0000;21;18;76;;0;0;3;
83542;04/01/1975;1200;22;19.5;81;;27;2;5;
83542;04/01/1975;1800;24;20;70;;36;4;8;
83542;05/01/1975;0000;20;18;84;;5;5;8;
83542;05/01/1975;1200;24;21;78;;14;2;3;
83542;05/01/1975;1800;26;22;72;;23;2;9;
83542;06/01/1975;0000;23;20;77;;0;0;6;
83542;06/01/1975;1200;19;17;83;;32;4;6;
83542;06/01/1975;1800;21;18;76;;5;6;2;
83542;07/01/1975;0000;24;21;78;;18;3;8;
83542;07/01/1975;1200;21;18.5;80;;0;0;3;
83542;07/01/1975;1800;25;20;64;;27;4;8;
83542;08/01/1975;0000;22;19.1;77;;36;6;5;
83542;08/01/1975;1200;20;18;84;;32;6;10;
83542;08/01/1975;1800;28;21.5;58;;5;1;3;
83542;09/01/1975;0000;23;20;77;;18;3;8;
83542;09/01/1975;1200;23;19;70;;36;4;5;
83542;09/01/1975;1800;27;21;59;;0;0;4;
83542;10/01/1975;0000;22;19;77;;32;8;3;
83542;10/01/1975;1200;23;19;70;;27;4;8;
83542;10/01/1975;1800;27;22;66;;0;0;3;
83542;11/01/1975;0000;21;18;76;;14;2;5;
83542;11/01/1975;1200;20;17.5;79;;5;6;4;
83542;11/01/1975;1800;25;21;71;;18;1;8;
83542;12/01/1975;0000;22;19;77;;36;5;9;
83542;12/01/1975;1200;19;17.1;84;;23;4;1;
83542;12/01/1975;1800;24;20;70;;0;0;5;
83542;13/01/1975;0000;22;19.5;81;;9;1;6;
83542;13/01/1975;1200;21;19;84;;27;2;8;
83542;13/01/1975;1800;26;21;65;;18;6;3;
83542;14/01/1975;0000;23;19.8;76;;32;8;9;
83542;14/01/1975;1200;24;21;78;;0;0;8;
83542;14/01/1975;1800;28;23;66;;36;4;5;
83542;15/01/1975;0000;22;19.5;81;;14;1;9;
83542;15/01/1975;1200;25.1;20.3;66;;23;6;2;
83542;15/01/1975;1800;30;24.5;65;;5;2;5;
83542;16/01/1975;0000;21;18;76;;0;0;9;
83542;16/01/1975;1200;20;17.5;79;;23;2;8;
83542;16/01/1975;1800;27;22;66;;18;6;6;
83542;17/01/1975;0000;23;20;77;;27;1;5;
83542;17/01/1975;1200;19;17;83;;9;2;4;
83542;17/01/1975;1800;24;21;78;;27;8;7;
83542;18/01/1975;0000;20;18;84;;0;0;4;
83542;18/01/1975;1200;21;19.5;88;;5;1;1;
83542;18/01/1975;1800;27;24;79;;27;5;6;
83542;19/01/1975;0000;22;19;77;;23;6;9;
83542;19/01/1975;1200;19;17.5;88;;18;3;8;
83542;19/01/1975;1800;25;22.1;79;;0;0;5;
