<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83543</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : GOVERNADOR VALADARES - MG (OMM: 83543)
Latitude  (graus) : -18.85
Longitude (graus) : -41.93
Altitude  (metros): 148.00
Esta��o Desativada
Inicio de opera��o: 01/11/1945
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83543;01/01/1961;1200;23.8;23;93;993.2;0;0;10;
83543;01/01/1961;1800;30.2;25.6;68;990.3;5;2;9;
83543;02/01/1961;0000;22.2;21.3;91;991.8;0;0;10;
83543;02/01/1961;1200;22.2;21.7;95;993.1;0;0;10;
83543;02/01/1961;1800;27.8;25;78;989.9;0;0;10;
83543;03/01/1961;0000;24.6;24;95;991.4;0;0;10;
83543;03/01/1961;1200;26.2;24.4;86;989.9;0;0;10;
83543;03/01/1961;1800;31;25.2;61;986.8;0;0;10;
83543;04/01/1961;0000;23.6;21.9;85;988.4;0;0;10;
83543;04/01/1961;1200;24.2;22.8;88;991.4;0;0;10;
83543;04/01/1961;1800;27.8;24.8;77;989.9;0;0;10;
83543;05/01/1961;0000;25;23.4;87;988.8;0;0;10;
83543;05/01/1961;1200;23.6;22.4;90;992.7;5;1;10;
83543;05/01/1961;1800;30.4;26.2;71;989.5;5;2;10;
83543;06/01/1961;0000;23.8;23.2;95;990.3;0;0;10;
83543;06/01/1961;1200;23;22.8;98;992.8;0;0;10;
83543;06/01/1961;1800;30.6;26.4;70;988.3;5;1;9;
83543;07/01/1961;0000;22.6;21.9;94;991.8;5;2;10;
83543;07/01/1961;1200;24.4;23.2;90;991.6;5;1;10;
83543;07/01/1961;1800;30;25.4;67;989.4;5;3;9;
83543;08/01/1961;0000;24.6;23.4;90;991.8;0;0;10;
83543;08/01/1961;1200;25;23.8;90;993;5;1;10;
83543;08/01/1961;1800;32.6;25.6;56;989.1;5;1;8;
83543;09/01/1961;0000;24.4;22.8;86;991.8;0;0;10;
83543;09/01/1961;1200;24.4;23.2;90;993.2;0;0;10;
83543;09/01/1961;1800;32.4;26.8;63;990.3;0;0;7;
83543;10/01/1961;0000;28;26.2;86;989.9;0;0;10;
83543;10/01/1961;1200;24.8;23.8;92;991;0;0;10;
83543;10/01/1961;1800;23.6;23;95;986.6;0;0;10;
83543;11/01/1961;0000;24;23.4;95;990.3;0;0;10;
83543;11/01/1961;1200;25.4;23.4;84;992.7;0;0;9;
83543;11/01/1961;1800;29;24.4;67;990;0;0;9;
83543;12/01/1961;0000;23.6;21.3;80;992.7;32;3;10;
83543;12/01/1961;1200;22;21.1;92;995.8;0;0;10;
83543;12/01/1961;1800;23.4;21.3;82;995.1;0;0;10;
83543;13/01/1961;0000;21.8;20.9;92;995.9;0;0;10;
83543;13/01/1961;1200;22.4;20.9;87;997.8;0;0;10;
83543;13/01/1961;1800;24.2;22.6;87;994.6;0;0;10;
83543;14/01/1961;0000;23;22.4;95;994.6;0;0;10;
83543;14/01/1961;1200;;;;993;;;;
83543;14/01/1961;1800;;;;990;;;;
83543;15/01/1961;0000;;;;991.5;;;;
83543;13/02/1961;0000;26.2;;;;;;;
83543;13/02/1961;1200;24.4;22.6;85;992.7;0;0;4;
83543;13/02/1961;1800;31.4;25.4;60;989.5;5;2;10;
83543;14/02/1961;0000;23.4;22.1;89;991.2;0;0;10;
83543;14/02/1961;1200;24.6;23.4;90;994.8;0;0;10;
83543;14/02/1961;1800;34.2;27.2;56;991.2;0;0;10;
83543;15/02/1961;0000;22;21.3;93;994.2;0;0;10;
83543;15/02/1961;1200;22.2;21.5;93;999;0;0;10;
83543;15/02/1961;1800;25.6;22.6;77;997.5;23;3;8;
83543;16/02/1961;0000;23;21.5;87;997.1;0;0;0;
83543;16/02/1961;1200;24.4;22.6;85;998.7;0;0;6;
83543;16/02/1961;1800;32;24.6;53;996;0;0;7;
83543;17/02/1961;0000;25.4;22.6;78;995.4;0;0;0;
83543;17/02/1961;1200;24;21.1;76;999.5;0;0;6;
83543;17/02/1961;1800;31.8;23.6;48;995.2;0;0;6;
83543;18/02/1961;0000;26.4;23.4;76;993.8;0;0;0;
83543;18/02/1961;1200;23.8;21.1;78;998.7;0;0;7;
83543;18/02/1961;1800;32.2;24.4;50;995.5;0;0;10;
83543;19/02/1961;0000;25;22.1;77;994.3;0;0;0;
83543;19/02/1961;1200;26.2;22.4;71;996.8;0;0;4;
83543;19/02/1961;1800;33.2;24.2;45;993;0;0;3;
83543;20/02/1961;0000;26.4;23.2;75;992.6;0;0;3;
83543;20/02/1961;1200;26.2;22.8;74;995.9;0;0;10;
83543;20/02/1961;1800;33.4;25.2;49;992.4;0;0;6;
83543;21/02/1961;0000;27.2;24.6;81;991;0;0;3;
