<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83550</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : SAO MATEUS - ES (OMM: 83550)
Latitude  (graus) : -18.7
Longitude (graus) : -39.85
Altitude  (metros): 25.04
Esta��o Operante
Inicio de opera��o: 26/06/1969
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83550;08/11/1970;1200;24.5;21.9;78;982.4;0;0;10;
83550;08/11/1970;1800;23.4;21.9;87;979.5;14;1;10;
83550;09/11/1970;0000;23.1;22.2;92;973.1;0;0;10;
83550;09/11/1970;1200;22.5;22.1;96;979.8;36;3;10;
83550;09/11/1970;1800;23.4;22.9;95;975.9;36;1;10;
83550;10/11/1970;0000;22.3;21;89;990.2;18;1;10;
83550;10/11/1970;1200;21.5;21.2;97;996.8;0;0;10;
83550;10/11/1970;1800;26.2;23.1;76;988.4;18;1;10;
83550;11/11/1970;0000;21.4;21;96;987.5;0;0;10;
83550;11/11/1970;1200;23.5;20.9;79;992.8;18;5;10;
83550;11/11/1970;1800;24.2;21;74;992.7;14;5;10;
83550;12/11/1970;0000;22.1;21.1;91;981;18;1;10;
83550;12/11/1970;1200;21.4;20.9;95;985;0;0;10;
83550;12/11/1970;1800;22.4;21.3;90;993.9;14;1;10;
83550;13/11/1970;0000;23.2;22;89;987.9;5;3;0;
83550;13/11/1970;1200;25.1;22.3;77;991.4;0;0;10;
83550;13/11/1970;1800;27.4;23.9;74;980.6;5;5;7;
83550;14/11/1970;0000;25.3;23.2;84;986.7;36;5;0;
83550;14/11/1970;1200;28.1;23.2;64;988.8;32;7;10;
83550;14/11/1970;1800;29.1;25.1;71;978.4;5;12;10;
83550;15/11/1970;0000;22.5;22.1;93;989.5;32;1;0;
83550;15/11/1970;1200;22.1;21.2;92;990.8;32;7;10;
83550;15/11/1970;1800;23.2;22.2;91;988.8;32;5;10;
83550;16/11/1970;0000;21.2;20.2;91;987.2;5;3;10;
83550;16/11/1970;1200;25.3;23.2;83;987.8;32;1;10;
83550;16/11/1970;1800;25.2;23.2;85;989.2;32;1;10;
83550;17/11/1970;0000;24.4;22.1;82;989.9;0;0;0;
83550;17/11/1970;1200;25.4;23;80;989.8;5;3;9;
83550;17/11/1970;1800;24.5;23.1;88;989.2;5;7;10;
83550;18/11/1970;0000;24.4;22.7;86;989.4;5;9;0;
83550;18/11/1970;1200;26.5;23;73;991;32;5;9;
83550;18/11/1970;1800;28.4;24;68;989.6;5;7;9;
83550;19/11/1970;0000;23.5;22.1;88;992.8;14;7;0;
83550;19/11/1970;1200;27.2;23.5;72;992.6;0;0;10;
83550;19/11/1970;1800;24.1;23;90;990.2;23;7;8;
83550;20/11/1970;0000;22.5;21.1;88;993.5;23;1;10;
83550;20/11/1970;1200;23.1;21.3;84;995.4;18;3;10;
83550;20/11/1970;1800;26.1;21.2;62;992;14;5;9;
83550;21/11/1970;0000;24.3;22.1;82;987.9;5;7;9;
83550;21/11/1970;1200;26.2;22;68;993.5;0;0;10;
83550;21/11/1970;1800;27.3;23;68;988.7;5;5;8;
83550;22/11/1970;0000;23.5;22.3;88;985.6;5;7;0;
83550;22/11/1970;1200;24.4;20.8;72;988.2;32;3;10;
83550;22/11/1970;1800;28.2;24.3;71;985;5;5;10;
83550;23/11/1970;0000;22.4;21.2;90;990.8;0;0;0;
