<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83554</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CORUMBA - MS (OMM: 83554)
Latitude  (graus) : -19.01
Longitude (graus) : -57.67
Altitude  (metros): 141.00
Esta��o Operante
Inicio de opera��o: 00/00/0000
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83554;01/01/2015;1200;29.4;;71;994.6;2;3.60108;0;
83554;01/01/2015;1800;34.4;;49;991.5;2;5.1444;6.25;
83554;02/01/2015;1200;27.7;;78;997.2;6;2.05776;8.75;
83554;02/01/2015;1800;34.3;;52;993.4;34;4.11552;6.25;
83554;03/01/2015;1200;25.4;;88;999.2;29;1.54332;8.75;
83554;03/01/2015;1800;30.7;;63;996.2;27;2.5722;5;
83554;04/01/2015;1200;28.3;;82;999.2;9;3.08664;6.25;
83554;04/01/2015;1800;32.6;;59;995.5;17;1.02888;7.5;
83554;05/01/2015;1200;26.9;;82;998.1;29;2.5722;7.5;
83554;05/01/2015;1800;32.3;;55;995.3;32;2.5722;8.75;
83554;06/01/2015;1200;28.9;;81;996.8;34;1.54332;5;
83554;06/01/2015;1800;33.3;;56;994.4;5;4.11552;7.5;
83554;07/01/2015;1200;28.6;;78;996.4;8;3.08664;1.25;
83554;07/01/2015;1800;33.8;;55;993.4;6;5.65884;6.25;
83554;08/01/2015;1200;30;;64;997;9;1.54332;1.25;
83554;08/01/2015;1800;35.5;;46;993.3;7;3.60108;5;
83554;09/01/2015;1200;30.4;;67;997.2;2;1.54332;0;
83554;09/01/2015;1800;36.5;;43;993.7;3;3.08664;6.25;
83554;10/01/2015;1200;26.8;;84;998.5;6;2.5722;6.25;
83554;10/01/2015;1800;36.4;;42;995;2;3.08664;5;
83554;11/01/2015;0000;28.5;;69;994.2;12;4.11552;6.25;
83554;11/01/2015;1200;28.8;;77;996.4;36;0.51444;1.25;
83554;11/01/2015;1800;36;;42;994.5;5;2.05776;5;
83554;12/01/2015;1200;28.5;;75;998.1;1;2.05776;1.25;
83554;12/01/2015;1800;35.1;;46;994.1;34;2.05776;3.75;
83554;13/01/2015;1200;29.9;;58;996.6;7;2.05776;5;
83554;13/01/2015;1800;35;;48;993.4;7;4.11552;2.5;
83554;14/01/2015;1200;28.1;;69;997.4;6;2.05776;1.25;
83554;14/01/2015;1800;35.8;;44;994.6;3;3.08664;5;
83554;15/01/2015;1800;34.9;;50;994.3;4;4.11552;3.75;
83554;16/01/2015;1200;28.4;;72;998.1;6;1.54332;3.75;
83554;16/01/2015;1800;35.1;;46;995;4;2.5722;2.5;
83554;17/01/2015;1200;29;;75;997;33;2.05776;2.5;
83554;17/01/2015;1800;35.3;;43;994.7;5;3.08664;3.75;
83554;18/01/2015;1200;27.6;;72;997.5;32;2.05776;8.75;
83554;18/01/2015;1800;34.3;;46;995.3;2;2.05776;5;
83554;19/01/2015;1200;28.8;;68;997.5;3;2.05776;0;
83554;19/01/2015;1800;36.5;;36;994.6;7;4.11552;2.5;
83554;20/01/2015;1200;31;;61;995.3;33;1.54332;2.5;
83554;20/01/2015;1800;30.7;;58;993.9;26;4.11552;7.5;
83554;21/01/2015;1200;25;;87;998.3;23;7.7166;8.75;
83554;21/01/2015;1800;30.8;;64;996.6;24;4.62996;5;
83554;22/01/2015;1200;30.6;;61;997.5;15;2.05776;2.5;
83554;22/01/2015;1800;35.4;;51;994.6;5;3.08664;5;
83554;23/01/2015;0000;26.8;;70;994.2;20;2.05776;6.25;
83554;23/01/2015;1200;27.4;;72;997.3;0;0;2.5;
83554;23/01/2015;1800;35.1;;44;993.6;1;3.08664;2.5;
83554;24/01/2015;0000;30.9;;66;992.4;5;1.54332;2.5;
83554;24/01/2015;1200;28.9;;75;994.9;4;1.54332;1.25;
83554;24/01/2015;1800;34.6;;49;992.1;9;3.60108;5;
83554;25/01/2015;1200;28.9;;68;995;2;2.05776;6.25;
83554;25/01/2015;1800;24.8;;83;994.6;14;2.5722;6.25;
83554;26/01/2015;1200;25.6;;82;995.8;12;3.08664;8.75;
83554;26/01/2015;1800;29.2;;68;992.8;8;4.62996;7.5;
83554;27/01/2015;1200;25.7;;91;996.1;9;2.5722;10;
83554;27/01/2015;1800;32.1;;55;991.6;34;5.65884;6.25;
83554;28/01/2015;0000;28.7;;71;992.8;9;3.08664;3.75;
83554;28/01/2015;1200;26.7;;84;995.3;4;3.08664;8.75;
83554;28/01/2015;1800;33;;52;992.4;2;7.20216;7.5;
83554;29/01/2015;1200;25.8;;80;996.9;3;2.05776;8.75;
83554;29/01/2015;1800;26.8;;80;995.6;29;5.65884;7.5;
83554;30/01/2015;1200;26.9;;81;996.9;26;2.05776;3.75;
83554;30/01/2015;1800;33.1;;54;994.7;7;2.05776;6.25;
83554;31/01/2015;1200;28.6;;79;997.6;7;0.51444;1.25;
83554;31/01/2015;1800;37.3;;39;994.7;35;2.05776;3.75;
83554;01/02/2015;1200;30.6;;;;10;3.08664;0;
83554;01/02/2015;1800;;;;;6;3.08664;2.5;
83554;02/02/2015;1200;30.2;;;;30;1.54332;2.5;
83554;02/02/2015;1800;;;;;1;1.54332;3.75;
83554;03/02/2015;1200;30;;;;33;1.54332;0;
83554;03/02/2015;1800;;;;;2;4.11552;2.5;
83554;04/02/2015;1200;30.3;;;;30;1.02888;6.25;
83554;04/02/2015;1800;;;;;35;2.5722;3.75;
83554;05/02/2015;1200;22.6;;;;11;2.05776;8.75;
83554;05/02/2015;1800;29.3;;;;29;1.54332;6.25;
83554;06/02/2015;1200;;;;;1;2.05776;7.5;
83554;06/02/2015;1800;28.9;;78;;36;3.08664;7.5;
83554;07/02/2015;1200;26.2;;;;32;3.08664;7.5;
83554;07/02/2015;1800;34.7;;;;27;3.08664;3.75;
83554;08/02/2015;1200;27.7;;78;;31;2.5722;1.25;
83554;08/02/2015;1800;34.6;;;;33;2.05776;2.5;
83554;09/02/2015;1200;28;;;;34;2.05776;2.5;
83554;09/02/2015;1800;34;;;;29;2.05776;3.75;
83554;10/02/2015;0000;29.3;;78;;9;3.60108;5;
83554;10/02/2015;1200;27.5;;;;5;2.5722;1.25;
83554;10/02/2015;1800;34.8;;;;2;4.11552;5;
83554;11/02/2015;1200;;;;;27;1.54332;8.75;
83554;11/02/2015;1800;27.4;;;;7;3.60108;8.75;
83554;12/02/2015;1200;27.6;;;;23;0.51444;2.5;
83554;12/02/2015;1800;33.1;;;;4;2.5722;5;
83554;13/02/2015;1200;29.4;;;;33;1.54332;6.25;
83554;13/02/2015;1800;27.2;;;;26;5.65884;8.75;
83554;14/02/2015;1200;25.8;;;;16;1.54332;6.25;
83554;14/02/2015;1800;27;;;;32;2.5722;8.75;
83554;15/02/2015;1200;25.8;;;;6;1.54332;8.75;
83554;15/02/2015;1800;25.7;;;;10;1.54332;8.75;
83554;16/02/2015;1200;26.1;;;;10;2.05776;8.75;
83554;16/02/2015;1800;24.7;;;;5;4.62996;7.5;
83554;17/02/2015;1200;25.4;;;;0;0;7.5;
83554;17/02/2015;1800;32.5;;;;33;4.11552;6.25;
83554;18/02/2015;1200;25.9;;;;33;1.02888;7.5;
83554;18/02/2015;1800;32;;;;3;4.62996;8.75;
83554;19/02/2015;1200;26.6;;;;36;3.08664;7.5;
83554;19/02/2015;1800;31.6;;;;35;3.08664;8.75;
83554;20/02/2015;1200;23.2;;;;22;5.1444;10;
83554;20/02/2015;1800;29.4;;;;2;3.08664;7.5;
83554;21/02/2015;1200;26.1;;;;15;1.54332;7.5;
83554;21/02/2015;1800;29.8;;;;8;4.62996;7.5;
83554;22/02/2015;1200;26.9;;;;11;3.60108;2.5;
83554;22/02/2015;1800;32.1;;;;6;3.08664;5;
83554;23/02/2015;0000;25.6;;;;19;2.05776;3.75;
83554;23/02/2015;1200;27.5;;;;34;1.54332;6.25;
83554;23/02/2015;1800;33.4;;;;33;1.54332;6.25;
83554;24/02/2015;0000;24;;;;18;3.08664;7.5;
83554;24/02/2015;1200;26.3;;;;11;4.11552;2.5;
83554;24/02/2015;1800;31.6;;;;0;0;1.25;
83554;25/02/2015;0000;26.9;;;;17;1.54332;0;
83554;25/02/2015;1200;28.8;;;;9;3.60108;0;
83554;25/02/2015;1800;33.7;;;;4;4.62996;3.75;
83554;26/02/2015;0000;29.6;;;;10;3.08664;0;
83554;26/02/2015;1200;28.7;;;;9;2.5722;0;
83554;26/02/2015;1800;33.1;;;;7;2.5722;6.25;
83554;27/02/2015;0000;26.2;;;;18;3.08664;7.5;
83554;27/02/2015;1200;25.7;;;;36;2.05776;7.5;
83554;27/02/2015;1800;32.5;;;;34;4.11552;1.25;
83554;28/02/2015;0000;29;;;;10;2.5722;1.25;
83554;28/02/2015;1200;30;;;;0;0;1.25;
83554;28/02/2015;1800;30.8;;;;4;2.05776;7.5;
83554;01/03/2015;0000;26.9;;90;;18;2.05776;6.25;
83554;01/03/2015;1200;26.8;;93;;6;2.05776;5;
83554;01/03/2015;1800;33.1;;62;;6;2.05776;6.25;
83554;02/03/2015;0000;27.7;;86;;0;0;3.75;
83554;02/03/2015;1200;27.1;;85;;11;1.54332;6.25;
83554;02/03/2015;1800;28;;78;;35;2.5722;8.75;
83554;04/03/2015;0000;27.8;;83;;10;2.5722;0;
83554;04/03/2015;1200;24.8;;95;;10;3.08664;8.75;
83554;04/03/2015;1800;29;;77;;0;0;7.5;
83554;05/03/2015;0000;26.6;;89;;9;3.60108;3.75;
83554;05/03/2015;1200;27.4;;85;;5;1.54332;3.75;
83554;05/03/2015;1800;31;;63;;30;1.54332;6.25;
83554;06/03/2015;0000;25.7;;91;;0;0;1.25;
83554;06/03/2015;1200;28.6;;70;;1;0.51444;5;
83554;06/03/2015;1800;30.8;;70;;4;5.1444;6.25;
83554;07/03/2015;0000;25.9;;87;;19;1.02888;6.25;
83554;07/03/2015;1200;27.4;;81;;36;2.05776;6.25;
83554;07/03/2015;1800;32.8;;59;;34;3.08664;7.5;
83554;08/03/2015;0000;26.5;;83;;0;0;7.5;
83554;08/03/2015;1200;27.6;;80;;36;3.08664;6.25;
83554;08/03/2015;1800;30;;75;;31;1.02888;6.25;
83554;09/03/2015;0000;26.1;;93;;22;1.02888;6.25;
83554;09/03/2015;1200;27.5;;81;;36;2.05776;5;
83554;09/03/2015;1800;26.8;;88;;34;4.11552;7.5;
83554;10/03/2015;0000;26.7;;95;;10;1.02888;7.5;
83554;10/03/2015;1200;27.8;;88;;0;0;2.5;
83554;10/03/2015;1800;33.4;;65;;33;4.62996;5;
83554;11/03/2015;0000;27.2;;74;;17;2.05776;6.25;
83554;11/03/2015;1200;27.4;;87;;2;1.54332;0;
83554;11/03/2015;1800;33.8;;46;;36;2.5722;5;
83554;12/03/2015;0000;27.5;;68;;17;1.02888;6.25;
83554;12/03/2015;1200;27.4;;82;;30;1.02888;0;
83554;12/03/2015;1800;34.4;;42;;0;0;3.75;
83554;13/03/2015;0000;28.3;;67;;18;2.5722;2.5;
83554;13/03/2015;1200;29.1;;78;;0;0;0;
83554;13/03/2015;1800;35.1;;51;;2;3.08664;3.75;
83554;14/03/2015;0000;29.3;;77;;4;0.51444;2.5;
83554;14/03/2015;1200;29;;80;;2;0.51444;0;
83554;14/03/2015;1800;32.7;;54;;5;5.65884;5;
83554;15/03/2015;0000;27.7;;82;;15;2.05776;3.75;
83554;15/03/2015;1200;28.9;;82;;3;1.02888;6.25;
83554;15/03/2015;1800;31.9;;64;;14;1.54332;6.25;
83554;16/03/2015;0000;28.4;;81;;18;1.02888;0;
83554;16/03/2015;1200;29.2;;76;;1;1.02888;0;
83554;16/03/2015;1800;32;;58;;6;3.60108;6.25;
83554;17/03/2015;0000;27.9;;86;;0;0;2.5;
83554;17/03/2015;1200;29.9;;79;;0;0;0;
83554;17/03/2015;1800;34.5;;55;;30;2.5722;6.25;
83554;18/03/2015;0000;26.1;;91;;18;0.51444;6.25;
83554;18/03/2015;1200;27.4;;75;;12;5.1444;0;
83554;18/03/2015;1800;32.5;;58;;8;2.5722;3.75;
83554;19/03/2015;0000;26.7;;80;;19;1.02888;0;
83554;19/03/2015;1200;28.7;;66;;13;2.05776;0;
83554;19/03/2015;1800;33.9;;54;;2;2.5722;6.25;
83554;20/03/2015;0000;26.8;;78;;18;1.54332;0;
83554;20/03/2015;1200;28;;64;;11;2.5722;0;
83554;20/03/2015;1800;33.1;;49;;33;3.08664;2.5;
83554;21/03/2015;0000;27.6;;71;;20;1.02888;1.25;
83554;21/03/2015;1200;28.7;;73;;0;0;2.5;
83554;21/03/2015;1800;32.6;;51;;23;2.5722;6.25;
83554;22/03/2015;0000;27.7;;71;;22;1.54332;6.25;
83554;22/03/2015;1200;28.5;;71;;4;1.02888;0;
83554;22/03/2015;1800;32.4;;58;;33;0.51444;6.25;
83554;23/03/2015;0000;28.2;;62;;23;1.54332;6.25;
83554;23/03/2015;1200;27.5;;54;;16;2.5722;0;
83554;23/03/2015;1800;33.4;;46;;36;2.5722;0;
83554;24/03/2015;0000;24.6;;75;;19;1.02888;0;
83554;24/03/2015;1200;25;;80;;32;1.54332;0;
83554;24/03/2015;1800;34.6;;44;;9;2.05776;2.5;
83554;25/03/2015;0000;29.3;;64;;13;2.5722;0;
83554;25/03/2015;1200;27.9;;79;;13;2.5722;6.25;
83554;25/03/2015;1800;28.2;;82;;4;2.5722;8.75;
83554;26/03/2015;0000;25.7;;92;;12;4.62996;7.5;
83554;26/03/2015;1200;26.5;;87;;10;1.02888;6.25;
83554;26/03/2015;1800;31.5;;62;;2;2.5722;5;
83554;27/03/2015;0000;24.2;;95;;25;1.02888;8.75;
83554;27/03/2015;1200;21.1;;96;;25;3.60108;8.75;
83554;27/03/2015;1800;23.6;;86;;24;4.11552;8.75;
83554;28/03/2015;0000;21.1;;97;;26;3.08664;8.75;
83554;28/03/2015;1200;22;;93;;24;2.05776;8.75;
83554;28/03/2015;1800;27.7;;71;;24;3.60108;8.75;
83554;29/03/2015;0000;25;;84;;25;2.05776;8.75;
83554;29/03/2015;1200;23.9;;87;;25;3.08664;8.75;
83554;29/03/2015;1800;26.1;;83;;34;1.54332;8.75;
83554;30/03/2015;0000;24.9;;89;;29;1.02888;6.25;
83554;30/03/2015;1200;25.1;;90;;0;0;6.25;
83554;31/03/2015;0000;28.6;;76;;11;2.5722;3.75;
83554;31/03/2015;1200;29.5;;70;;0;0;5;
83554;31/03/2015;1800;29.9;;73;;10;2.05776;8.75;
83554;01/04/2015;0000;23.9;;96;996.9;13;5.1444;10;
83554;01/04/2015;1200;23.4;;97;998.8;26;3.08664;7.5;
83554;01/04/2015;1800;26.2;;82;997.3;23;1.54332;8.75;
83554;02/04/2015;0000;24.2;;94;996.7;19;1.02888;6.25;
83554;02/04/2015;1200;26.5;;84;998.5;26;1.02888;0;
83554;02/04/2015;1800;32;;61;995.4;33;2.05776;7.5;
