<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83565</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : PARANAIBA - MS (OMM: 83565)
Latitude  (graus) : -19.75
Longitude (graus) : -51.18
Altitude  (metros): 331.25
Esta��o Operante
Inicio de opera��o: 07/07/1971
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83565;08/07/1971;1200;12.8;11.8;89;972;0;0;3;
83565;08/07/1971;1800;26;23;78;969;5;3;0;
83565;09/07/1971;0000;21.5;18.7;77;970.4;0;0;0;
83565;09/07/1971;1200;18.2;16.7;86;971.5;0;0;2;
83565;09/07/1971;1800;27.8;21.3;57;968.6;5;3;0;
83565;10/07/1971;0000;21.7;20;86;970;0;0;0;
83565;10/07/1971;1200;18.3;16.3;82;971.6;0;0;0;
83565;10/07/1971;1800;27;20.1;54;968.7;5;1;3;
83565;11/07/1971;0000;22.1;18.2;70;968.8;0;0;0;
83565;11/07/1971;1200;18;15.9;81;971;0;0;0;
83565;11/07/1971;1800;28.2;20.2;49;968.8;5;5;2;
83565;12/07/1971;0000;22.9;19;71;969.1;0;0;0;
83565;12/07/1971;1200;17;14.8;79;971.2;0;0;0;
83565;12/07/1971;1800;27;18.5;45;969.4;5;3;2;
83565;13/07/1971;0000;21.5;19.4;83;971.2;0;0;0;
83565;13/07/1971;1200;15.9;14.9;90;973.5;0;0;4;
83565;13/07/1971;1800;27;18.5;45;970.2;5;5;0;
83565;14/07/1971;0000;21.1;17.9;74;970.4;0;0;0;
83565;14/07/1971;1200;15.7;14.5;88;971.5;0;0;0;
83565;14/07/1971;1800;27.3;19.8;51;969.2;14;3;3;
83565;15/07/1971;0000;20.5;17.7;77;969.8;0;0;0;
83565;15/07/1971;1200;14.9;13.6;87;971.5;0;0;0;
83565;15/07/1971;1800;27;19.1;48;969.6;18;3;3;
83565;16/07/1971;0000;20;15.8;66;970.4;0;0;0;
83565;16/07/1971;1200;15;13.4;85;973;0;0;0;
83565;16/07/1971;1800;27.7;19.4;47;970.2;14;5;2;
83565;17/07/1971;0000;20.9;17.4;72;971;0;0;0;
83565;17/07/1971;1200;14.8;13.1;84;973.3;14;1;0;
83565;17/07/1971;1800;28.3;20.9;53;969.5;14;1;3;
83565;18/07/1971;0000;21.7;18.5;74;970.3;0;0;0;
83565;18/07/1971;1200;17;15;81;971.6;0;0;0;
83565;18/07/1971;1800;28.7;20.5;49;968.4;5;1;0;
83565;19/07/1971;0000;20.5;17.9;79;969.1;0;0;0;
83565;19/07/1971;1200;16.2;14;79;971.4;0;0;6;
83565;19/07/1971;1800;27.8;19.6;48;967.4;18;3;0;
83565;20/07/1971;0000;20.2;18;81;968.4;0;0;0;
83565;20/07/1971;1200;15.6;14.2;86;969.8;0;0;7;
83565;20/07/1971;1800;28;19.6;47;967.2;14;3;4;
83565;21/07/1971;0000;20.7;17.5;74;968.3;0;0;0;
83565;21/07/1971;1200;15.1;13.8;87;970.4;0;0;6;
83565;21/07/1971;1800;28.2;20.9;53;967;14;1;0;
83565;22/07/1971;0000;21.2;17.7;72;968.2;14;1;0;
83565;22/07/1971;1200;17.7;14.9;76;970.6;0;0;0;
83565;22/07/1971;1800;29.4;20.5;45;968;18;3;2;
83565;23/07/1971;0000;21.8;17.5;67;968.6;0;0;0;
83565;23/07/1971;1200;16.2;14.8;86;969.4;0;0;0;
83565;23/07/1971;1800;28;19.4;45;966.8;9;3;0;
83565;24/07/1971;0000;20.9;16.9;68;968.2;0;0;0;
83565;24/07/1971;1200;16.4;14.8;84;969;0;0;0;
