<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83566</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CONFINS - AEROPORTO - MG (OMM: 83566)
Latitude  (graus) : -19.62
Longitude (graus) : -43.97
Altitude  (metros): 828.00
Esta��o Operante
Inicio de opera��o: 00/00/0000
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83566;01/01/2015;0000;27.4;;55;;4;2.5722;5;
83566;01/01/2015;0600;23;;70;;9;3.08664;5;
83566;01/01/2015;1200;27.1;;55;;5;2.5722;0;
83566;01/01/2015;1800;;;33;;26;3.08664;6.25;
83566;02/01/2015;0000;21.9;;85;;16;1.54332;3.75;
83566;02/01/2015;0600;23.2;;76;;7;2.5722;6.25;
83566;02/01/2015;1200;27.9;;59;;33;1.02888;0;
83566;02/01/2015;1800;24.3;;59;;23;8.74548;8.75;
83566;03/01/2015;0000;22.1;;80;;16;2.05776;6.25;
83566;03/01/2015;0600;21.3;;83;;16;2.05776;0;
83566;03/01/2015;1200;28.2;;53;;16;1.54332;0;
83566;03/01/2015;1800;;;34;;10;6.17328;6.25;
83566;04/01/2015;0000;26.9;;58;;11;5.1444;5;
83566;04/01/2015;0600;23.2;;76;;19;0.51444;3.75;
83566;04/01/2015;1200;24.8;;71;;21;3.08664;6.25;
83566;04/01/2015;1800;31;;40;;21;1.54332;5;
83566;05/01/2015;0000;26.1;;60;;12;5.1444;6.25;
83566;05/01/2015;0600;21.2;;77;;13;3.60108;2.5;
83566;05/01/2015;1200;24.9;;53;;5;4.62996;2.5;
83566;05/01/2015;1800;29.9;;39;;7;5.1444;7.5;
83566;06/01/2015;0000;25.2;;60;;10;3.60108;0;
83566;06/01/2015;0600;21.1;;71;;14;2.05776;0;
83566;06/01/2015;1200;24.3;;59;;6;5.65884;6.25;
83566;06/01/2015;1800;29.2;;37;;9;3.08664;6.25;
83566;07/01/2015;0000;24.8;;49;;8;4.11552;0;
83566;07/01/2015;0600;20.8;;63;;7;2.5722;0;
83566;07/01/2015;1200;24.2;;59;;6;4.62996;8.75;
83566;07/01/2015;1800;27;;44;;7;4.62996;7.5;
83566;08/01/2015;0000;22.5;;62;;10;3.60108;0;
83566;08/01/2015;0600;20;;77;;13;3.60108;0;
