<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83570</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : POMPEU - MG (OMM: 83570)
Latitude  (graus) : -19.21
Longitude (graus) : -45
Altitude  (metros): 690.91
Esta��o Operante
Inicio de opera��o: 01/11/1972
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83570;08/01/1973;1200;29;23;61;915.1;0;0;5;
83570;08/01/1973;1800;19;17.8;89;916.7;9;3.6;10;
83570;09/01/1973;0000;22;20;83;;0;0;10;
83570;09/01/1973;1200;24;21;77;;0;0;5;
83570;09/01/1973;1800;32.9;24.4;51;935.5;0;0;5;
83570;10/01/1973;0000;28;25.8;84;936.8;0;0;5;
83570;10/01/1973;1200;27.9;21.2;56;937.4;0;0;6;
83570;10/01/1973;1800;32.2;24.2;52;933.9;0;0;3;
83570;11/01/1973;0000;23;20.1;77;935.2;0;0;10;
83570;11/01/1973;1200;27.2;22.8;69;939.1;0;0;8;
83570;11/01/1973;1800;31.9;24.9;58;934.8;0;0;7;
83570;12/01/1973;0000;26;24;85;936.3;0;0;2;
83570;12/01/1973;1200;27.9;23.9;72;936.3;0;0;10;
83570;12/01/1973;1800;30;24;62;936.4;27;1.5;10;
83570;13/01/1973;0000;22;21.8;98;936.7;14;1.5;10;
83570;13/01/1973;1200;23;21;84;937.4;0;0;4;
83570;13/01/1973;1800;33;26;58;934.6;0;0;5;
83570;14/01/1973;0000;24;21;77;936.6;0;0;10;
83570;14/01/1973;1200;26.8;22.2;68;937.8;0;0;6;
83570;14/01/1973;1800;31;24;57;934.2;0;0;8;
83570;15/01/1973;0000;26;21.8;70;936.7;0;0;4;
83570;15/01/1973;1200;26.8;22;67;937;0;0;6;
83570;15/01/1973;1800;33.1;24.8;52;933.9;27;1.5;5;
83570;16/01/1973;0000;23.8;22;86;934.6;0;0;5;
83570;16/01/1973;1200;22.8;21;85;935.6;0;0;10;
83570;18/01/1973;1800;26.8;21.2;62;933.9;0;0;10;
83570;19/01/1973;0000;23;22;92;935.5;0;0;10;
83570;19/01/1973;1200;24.3;21.6;79;937.6;0;0;10;
83570;19/01/1973;1800;26.8;22;67;935.9;0;0;10;
83570;20/01/1973;0000;20;19.8;98;937.4;9;1;10;
83570;20/01/1973;1200;24;21.2;78;938.2;0;0;2;
83570;20/01/1973;1800;27.4;22.8;68;934.6;0;0;10;
83570;21/01/1973;0000;21.8;20.8;92;935.8;0;0;3;
83570;21/01/1973;1200;24.8;21;73;937.4;0;0;10;
83570;21/01/1973;1800;28.8;21.6;54;936;5;3.1;10;
83570;22/01/1973;0000;21;20.8;98;937.6;0;0;10;
83570;22/01/1973;1200;20;18.8;89;940.6;0;0;10;
83570;22/01/1973;1800;27.8;21.8;60;936.3;0;0;7;
83570;23/01/1973;0000;22.6;20.2;81;937.5;0;0;3;
83570;23/01/1973;1200;26;22;72;938.4;0;0;8;
83570;23/01/1973;1800;29.8;22;52;934.4;0;0;6;
83570;24/01/1973;0000;23.8;21.2;80;935.8;0;0;3;
83570;24/01/1973;1200;26;22;72;938.6;0;0;5;
83570;24/01/1973;1800;31;22.8;51;933.8;0;0;5;
83570;25/01/1973;0000;24;22;84;937.2;0;0;6;
83570;25/01/1973;1200;26.8;23.8;78;938;0;0;8;
83570;25/01/1973;1800;30.8;22;48;935.5;0;0;8;
83570;26/01/1973;0000;25;22.6;82;935.2;0;0;2;
83570;26/01/1973;1200;26.8;22.8;71;938.4;0;0;6;
83570;26/01/1973;1800;30.8;22.2;49;935.9;0;0;9;
83570;27/01/1973;0000;21.4;21.2;98;939.1;18;1.5;10;
83570;27/01/1973;1200;24.8;21.2;74;940.2;0;0;4;
83570;27/01/1973;1800;29.8;21.8;51;938.3;0;0;8;
83570;28/01/1973;0000;23.8;20.8;77;938.8;0;0;4;
83570;28/01/1973;1200;25.6;22.8;79;941;0;0;1;
83570;28/01/1973;1800;31.2;22.2;46;936.4;0;0;8;
83570;29/01/1973;0000;26.8;22.8;71;938.4;0;0;1;
83570;29/01/1973;1200;27;21.4;62;939.2;0;0;6;
83570;29/01/1973;1800;31.8;22.8;47;936;0;0;7;
83570;30/01/1973;0000;25.2;22.8;82;937.5;14;2.1;7;
83570;30/01/1973;1200;24.8;21;73;940.3;0;0;10;
83570;30/01/1973;1800;24;21.2;78;935.9;14;3.1;10;
83570;31/01/1973;0000;21;20.2;93;938.7;0;0;10;
83570;31/01/1973;1200;21.2;20.4;93;939;0;0;10;
83570;31/01/1973;1800;26.8;21.2;62;934.3;5;2.1;10;
83570;01/02/1973;0000;23;21.8;90;937.5;0;0;10;
83570;01/02/1973;1200;21;20.2;93;937.5;0;0;10;
83570;01/02/1973;1800;27;21.8;65;934.2;0;0;10;
83570;02/02/1973;0000;21.8;21.2;95;936.8;0;0;7;
83570;02/02/1973;1200;23.8;21;78;937.1;0;0;10;
83570;02/02/1973;1800;28;22.4;63;935.1;0;0;10;
83570;03/02/1973;0000;24;22.2;86;934.4;0;0;5;
83570;03/02/1973;1200;23;22;92;937.8;0;0;10;
83570;03/02/1973;1800;29.2;24;66;934.4;0;0;10;
83570;04/02/1973;0000;21.6;20.6;92;935.5;0;0;5;
83570;04/02/1973;1200;20.8;20.2;95;936;0;0;10;
83570;04/02/1973;1800;28.8;23;62;934.4;0;0;8;
83570;05/02/1973;0000;25.8;22;72;935.4;0;0;8;
83570;05/02/1973;1200;21.8;21;94;938.2;0;0;10;
83570;05/02/1973;1800;29.8;24.8;68;933.9;0;0;7;
83570;06/02/1973;0000;23.8;20.6;75;935.4;0;0;2;
83570;06/02/1973;1200;25.8;23;79;937;0;0;5;
83570;06/02/1973;1800;30.4;23.6;57;934.8;0;0;7;
83570;07/02/1973;0000;24;23;92;937.4;0;0;10;
83570;07/02/1973;1200;22.4;21.6;93;937.2;0;0;10;
83570;07/02/1973;1800;30;25.2;68;933.6;0;0;8;
83570;08/02/1973;0000;23.2;21.8;89;935.1;0;0;2;
83570;08/02/1973;1200;26.2;22.2;72;937.6;0;0;1;
83570;08/02/1973;1800;31;24.8;61;932.7;0;0;8;
83570;09/02/1973;0000;24;21.8;83;935.6;0;0;8;
83570;09/02/1973;1200;25.2;22.8;82;938.7;0;0;9;
83570;09/02/1973;1800;31.8;24.2;55;935.8;0;0;6;
83570;10/02/1973;0000;23;22;92;937.5;0;0;5;
83570;10/02/1973;1200;26;23;78;935.5;0;0;6;
83570;10/02/1973;1800;32;24.8;57;934.4;0;0;5;
83570;11/02/1973;0000;24.2;22;83;934.7;0;0;2;
83570;11/02/1973;1200;25.4;23;82;934.3;0;0;2;
83570;11/02/1973;1800;32.8;23.2;45;931.1;0;0;8;
83570;12/02/1973;0000;24.8;22.2;80;934.4;0;0;8;
83570;12/02/1973;1200;24.8;23;86;934.3;0;0;8;
83570;12/02/1973;1800;28;21.2;56;933.1;36;1.5;10;
83570;13/02/1973;0000;23;21.8;90;933.9;0;0;6;
83570;13/02/1973;1200;26;22.4;74;937.8;5;1.5;5;
83570;13/02/1973;1800;29.2;22.6;58;934;0;0;5;
83570;14/02/1973;0000;23;19;69;937.2;5;1;3;
83570;14/02/1973;1200;23;20;76;932;5;0.1;10;
83570;14/02/1973;1800;25.8;22;73;935.9;5;1;10;
83570;15/02/1973;0000;23.8;21;78;931.6;0;0;5;
83570;15/02/1973;1200;24;21.8;83;934.3;0;0;8;
83570;15/02/1973;1800;29.2;22;54;934;0;0;8;
83570;16/02/1973;0000;24;21.4;80;935.4;0;0;5;
83570;16/02/1973;1200;25;22.2;79;935.2;0;0;8;
83570;16/02/1973;1800;30;24;62;934.6;0;0;6;
83570;17/02/1973;0000;24;21.8;83;936.6;0;0;3;
83570;17/02/1973;1200;25;23;84;931.6;0;0;10;
83570;17/02/1973;1800;30.2;24;61;935.5;0;0;6;
83570;18/02/1973;0000;24.8;22.8;84;938.6;0;0;2;
83570;18/02/1973;1200;28.6;23.2;65;932.3;0;0;1;
83570;18/02/1973;1800;31.8;23.8;52;930.8;0;0;1;
83570;19/02/1973;0000;25;21.2;73;938.4;0;0;1;
83570;19/02/1973;1200;26.2;21.2;65;938.4;0;0;2;
83570;19/02/1973;1800;31;23;52;937.1;0;0;4;
83570;20/02/1973;0000;25;22;77;938.4;14;2.1;7;
83570;20/02/1973;1200;27;22.8;70;938.6;0;0;8;
83570;20/02/1973;1800;31;23.2;53;937;0;0;8;
83570;21/02/1973;0000;25;22.2;79;937.2;0;0;4;
83570;21/02/1973;1200;26;22.2;72;937.4;0;0;2;
83570;21/02/1973;1800;31.2;23.8;55;935.8;0;0;6;
83570;22/02/1973;0000;25;22;77;936.7;0;0;2;
83570;22/02/1973;1200;27;22;66;938.2;0;0;1;
83570;22/02/1973;1800;31.2;23;51;935.8;0;0;8;
83570;23/02/1973;0000;24.6;21.6;77;935.2;0;0;1;
83570;23/02/1973;1200;25;22;77;934.8;0;0;4;
83570;23/02/1973;1800;32;22.2;43;935.4;5;1;8;
83570;24/02/1973;0000;24.8;20.8;70;934.8;0;0;1;
83570;24/02/1973;1200;27;22;65;936.8;5;3.1;2;
83570;24/02/1973;1800;32;23.2;48;933.6;0;0;8;
83570;25/02/1973;0000;25.6;21.8;73;935.4;0;0;1;
83570;25/02/1973;1200;28.2;22.2;60;936.7;5;1;2;
83570;25/02/1973;1800;33.4;23.6;44;933.4;32;1;8;
83570;26/02/1973;0000;25;22;77;934.8;0;0;2;
83570;26/02/1973;1200;26;22;72;938;0;0;10;
83570;26/02/1973;1800;30.8;23.2;54;935.1;5;1.5;8;
83570;27/02/1973;0000;23.4;22.4;92;938.7;0;0;10;
83570;27/02/1973;1200;27.8;23;68;939.2;0;0;4;
83570;27/02/1973;1800;31.8;23.2;47;934;0;0;6;
83570;28/02/1973;0000;21.4;20.2;90;936.8;0;0;10;
83570;28/02/1973;1200;23.8;21.8;84;939.2;0;0;10;
83570;28/02/1973;1800;31;23.4;54;934.3;0;0;6;
83570;01/03/1973;0000;24;22;84;935.1;9;1;1;
83570;01/03/1973;1200;28;23;66;936.7;9;0.5;1;
83570;01/03/1973;1800;31.2;24;56;933.8;0;0;8;
83570;02/03/1973;0000;25.2;22;76;934.8;9;2.6;1;
83570;02/03/1973;1200;26.8;23;74;938.6;0;0;4;
83570;02/03/1973;1800;31.4;23;50;933.8;0;0;6;
83570;03/03/1973;0000;24.8;21.8;77;935.1;5;1;2;
83570;03/03/1973;1200;25.2;22.8;82;937.5;0;0;8;
83570;03/03/1973;1800;31.2;23.6;54;933.8;0;0;8;
83570;04/03/1973;0000;25.6;22;75;934.2;0;0;1;
83570;04/03/1973;1200;26.8;22.8;72;937.4;0;0;2;
83570;04/03/1973;1800;33;24.2;49;932.6;27;1;6;
83570;05/03/1973;0000;25.8;23;79;932;0;0;6;
83570;05/03/1973;1200;25;22.8;83;934.6;0;0;10;
83570;05/03/1973;1800;31;24;57;931.2;27;1;8;
83570;06/03/1973;0000;23;21.6;89;933.2;23;2.6;10;
83570;06/03/1973;1200;24;22;84;932.8;0;0;10;
83570;06/03/1973;1800;29;24;67;931.1;0;0;10;
83570;07/03/1973;0000;22.8;21.6;90;932.6;0;0;2;
83570;07/03/1973;1200;25;23;84;933.6;9;0.5;10;
83570;07/03/1973;1800;31;24.2;58;937.8;0;0;6;
83570;08/03/1973;0000;23.8;22.6;90;933.2;23;2.6;10;
83570;08/03/1973;1200;24;23;92;933.2;0;0;;
83570;08/03/1973;1800;30.4;24.6;63;935.6;0;0;8;
83570;09/03/1973;0000;22;21.8;98;934.2;0;0;10;
83570;09/03/1973;1200;23;22;92;933.1;0;0;10;
83570;09/03/1973;1800;30.4;24.2;61;935.1;27;2.6;6;
83570;10/03/1973;0000;21.6;20.6;92;931.6;18;1;10;
83570;10/03/1973;1200;23;22;92;932.6;0;0;10;
83570;10/03/1973;1800;22.8;22.2;95;931;5;2;10;
83570;11/03/1973;0000;22.4;22;97;933.1;5;1;10;
83570;11/03/1973;1200;21;20;91;935.5;0;0;10;
83570;11/03/1973;1800;26;23;78;931.5;0;0;10;
83570;12/03/1973;0000;20.4;20.2;98;934.8;9;0.5;10;
83570;12/03/1973;1200;21;20.8;98;935.5;0;0;10;
83570;12/03/1973;1800;23.2;22.2;92;935.5;0;0;10;
83570;13/03/1973;0000;23;21;84;935.4;0;0;10;
83570;13/03/1973;1200;23;21;84;937.4;0;0;4;
83570;13/03/1973;1800;29;22;55;934;23;1;6;
83570;14/03/1973;0000;23;20.4;79;935.5;14;1;1;
83570;14/03/1973;1200;23.8;21;78;936.2;0;0;6;
83570;14/03/1973;1800;28;23;66;935.1;0;0;8;
83570;15/03/1973;0000;22.4;20.8;87;936.4;0;0;1;
83570;15/03/1973;1200;25.2;21.2;71;937.5;0;0;2;
83570;15/03/1973;1800;29.8;23;57;936.6;0;0;6;
83570;16/03/1973;0000;24.2;21.2;77;935.5;14;1;4;
83570;16/03/1973;1200;25.2;22;76;939.1;0;0;6;
83570;16/03/1973;1800;30;26;73;935.8;0;0;4;
83570;17/03/1973;0000;24;21.4;80;936.3;0;0;1;
83570;17/03/1973;1200;26;22;72;938.3;0;0;2;
83570;17/03/1973;1800;30.2;23;53;936.7;0;0;6;
83570;18/03/1973;0000;26;21.2;66;938.6;0;0;1;
83570;18/03/1973;1200;22;20;83;939.8;0;0;10;
83570;18/03/1973;1800;29;23;61;935.6;0;0;6;
83570;19/03/1973;0000;22.4;21;88;936.7;0;0;1;
83570;19/03/1973;1200;23.8;21;78;938.3;0;0;10;
83570;19/03/1973;1800;30;23;56;935.1;0;0;6;
