<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83574</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : FRUTAL - MG (OMM: 83574)
Latitude  (graus) : -20.03
Longitude (graus) : -48.93
Altitude  (metros): 543.67
Esta��o Operante
Inicio de opera��o: 27/11/1913
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83574;01/01/1961;1200;23.6;22;86;951;36;5;10;
83574;01/01/1961;1800;28.5;24;68;947.1;32;2;8;
83574;02/01/1961;0000;21.7;21.2;96;949.2;5;1;10;
83574;02/01/1961;1200;23.6;21.8;84;948.4;5;5;10;
83574;02/01/1961;1800;25;23.2;86;944.8;18;3;10;
83574;03/01/1961;0000;21.4;21.2;98;949.5;0;0;10;
83574;03/01/1961;1200;23;22.4;95;949.4;36;1;10;
83574;03/01/1961;1800;24.2;23.2;92;946.6;5;1;8;
83574;04/01/1961;0000;22.4;21.8;94;948.4;5;1;6;
83574;04/01/1961;1200;22.4;21.8;94;947.4;36;3;10;
83574;04/01/1961;1800;23.2;22.6;95;945.4;36;3;10;
83574;05/01/1961;0000;21.4;21.2;98;947.9;5;3;10;
83574;05/01/1961;1200;23;22.7;98;952.6;36;1;10;
83574;05/01/1961;1800;28.3;24.4;71;952.3;32;3;6;
83574;06/01/1961;0000;24;22.6;88;947.6;5;1;8;
83574;06/01/1961;1200;23;22.5;96;950.3;36;3;10;
83574;06/01/1961;1800;24.4;23.8;95;950.2;36;2;10;
83574;07/01/1961;0000;21.6;21.4;98;950.2;5;1;10;
83574;07/01/1961;1200;23.8;22.6;90;950.4;36;1;6;
83574;07/01/1961;1800;26.7;23.6;76;948.4;27;3;8;
83574;08/01/1961;0000;24;23;91;949.8;9;2;4;
83574;08/01/1961;1200;24.2;23.2;92;951.1;5;1;10;
83574;08/01/1961;1800;30;24.8;65;948.4;36;2;6;
83574;09/01/1961;0000;23;22.5;96;950.6;0;0;10;
83574;09/01/1961;1200;24.8;23.2;87;950.2;9;3;8;
83574;09/01/1961;1800;32;25;55;948.6;5;2;6;
83574;10/01/1961;0000;23.9;23.2;94;948.6;9;1;10;
83574;10/01/1961;1200;23.4;22.8;94;951.1;9;3;10;
83574;10/01/1961;1800;29.2;24.6;69;948.4;5;1;6;
83574;11/01/1961;0000;23.8;23;93;950;27;1;8;
83574;11/01/1961;1200;27.6;24.4;76;950.2;5;1;8;
83574;11/01/1961;1800;30;25.4;68;948;9;3;10;
83574;12/01/1961;0000;20.8;20.6;98;950.7;5;1;10;
83574;12/01/1961;1200;22.6;21.6;91;951.3;9;1;10;
