<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83576</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : UBERABA - AEROPORTO - MG (OMM: 83576)
Latitude  (graus) : -19.76
Longitude (graus) : -47.96
Altitude  (metros): 809.00
Esta��o Operante
Inicio de opera��o: 00/00/0000
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83576;01/01/2015;0000;25.3;;65;923.8;0;0;10;
83576;01/01/2015;0600;22.6;;80;922.5;3;2.05776;0;
83576;01/01/2015;1200;28;;56;924.8;34;3.60108;3.75;
83576;01/01/2015;1800;32.1;;39;921.4;31;5.65884;6.25;
83576;02/01/2015;0000;23.6;;75;923.6;24;2.5722;8.75;
83576;02/01/2015;0600;23.3;;74;921.5;4;3.08664;1.25;
83576;02/01/2015;1200;28.6;;54;925.2;30;3.08664;6.25;
83576;02/01/2015;1800;32.2;;42;922.1;25;4.11552;7.5;
83576;03/01/2015;0000;24.3;;65;923.6;36;2.5722;10;
83576;03/01/2015;0600;23.1;;71;922;30;2.05776;7.5;
83576;03/01/2015;1200;27.8;;56;924.5;6;2.05776;8.75;
83576;03/01/2015;1800;29.8;;54;921.6;17;3.60108;10;
83576;04/01/2015;0000;23.3;;71;924.9;11;5.65884;10;
83576;04/01/2015;0600;20.9;;86;925.5;9;3.08664;10;
83576;04/01/2015;1200;20.5;;76;927.3;35;5.1444;10;
83576;04/01/2015;1800;28.3;;47;922.9;9;3.08664;5;
83576;05/01/2015;0000;26.1;;54;924.1;17;1.54332;8.75;
83576;05/01/2015;0600;22.8;;75;923.1;5;2.05776;8.75;
83576;05/01/2015;1200;26.4;;58;924.8;5;4.62996;5;
83576;05/01/2015;1800;24.6;;56;923.8;15;7.7166;10;
83576;06/01/2015;0000;21.2;;92;924.4;7;3.60108;10;
83576;06/01/2015;0600;19.8;;100;924.5;13;4.62996;8.75;
83576;06/01/2015;1200;25.7;;59;926;6;4.62996;8.75;
83576;06/01/2015;1800;30.3;;33;924.5;33;2.05776;10;
83576;07/01/2015;0000;25.9;;58;925.6;6;1.54332;7.5;
83576;07/01/2015;0600;23.7;;62;923.9;7;2.05776;2.5;
83576;07/01/2015;1200;27.5;;42;925.4;3;4.62996;3.75;
83576;07/01/2015;1800;31;;;922.9;5;2.05776;6.25;
83576;08/01/2015;0000;25.5;;55;924;17;3.08664;10;
83576;08/01/2015;0600;22.9;;68;924.2;18;2.5722;7.5;
83576;08/01/2015;1200;26.6;;47;925.9;6;4.62996;3.75;
83576;08/01/2015;1800;31.3;;29;923;14;3.08664;5;
83576;09/01/2015;0600;23.1;;56;923.8;2;1.54332;2.5;
83576;09/01/2015;1200;26.5;;40;926;5;4.11552;0;
83576;09/01/2015;1800;32.3;;;923.3;2;2.5722;6.25;
83576;10/01/2015;0000;28.3;;33;923.8;5;2.05776;0;
