<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83577</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : UBERABA - MG (OMM: 83577)
Latitude  (graus) : -19.73
Longitude (graus) : -47.95
Altitude  (metros): 737.00
Esta��o Operante
Inicio de opera��o: 11/10/1913
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83577;01/01/1961;1200;21.6;20.8;93;926.7;5;1;10;
83577;01/01/1961;1800;27;22.6;68;924;32;1;6;
83577;02/01/1961;0000;20.4;18.6;85;925.9;0;0;10;
83577;02/01/1961;1200;20.8;20.4;96;926.6;32;1;10;
83577;02/01/1961;1800;21.1;21;99;925.5;0;0;10;
83577;03/01/1961;0000;19.4;18.6;92;925.6;0;0;10;
83577;03/01/1961;1200;20.9;20.8;99;925.6;32;1;10;
83577;03/01/1961;1800;22.4;21.4;91;924.3;5;3;10;
83577;04/01/1961;0000;21.4;20.6;93;925.2;0;0;10;
83577;04/01/1961;1200;22.4;20.8;87;925.6;14;1;10;
83577;04/01/1961;1800;22.7;22.1;95;924.2;0;0;10;
83577;05/01/1961;0000;20.2;20.1;99;924.7;0;0;10;
83577;05/01/1961;1200;22.1;20.9;89;925.9;5;1;10;
83577;05/01/1961;1800;27.5;23.4;70;923.6;0;0;8;
83577;06/01/1961;0000;22;21;91;924.6;0;0;10;
83577;06/01/1961;1200;22;20.9;90;926.7;23;3;10;
83577;06/01/1961;1800;23.8;22.4;88;925;0;0;10;
83577;07/01/1961;0000;20.4;20;96;926.4;0;0;10;
83577;07/01/1961;1200;22.4;20.8;87;926.4;0;0;8;
83577;07/01/1961;1800;24.8;22.4;81;925.6;0;0;10;
83577;08/01/1961;0000;21.4;20;87;926.3;0;0;10;
83577;08/01/1961;1200;23.8;22.2;88;927.1;0;0;10;
83577;08/01/1961;1800;27.8;24.1;73;924.6;18;1;10;
83577;09/01/1961;0000;22.6;20.4;82;927.2;0;0;10;
83577;09/01/1961;1200;21.6;20.8;93;927.4;5;1;10;
83577;09/01/1961;1800;22.2;22;98;925.8;0;0;10;
83577;10/01/1961;0000;23;22.6;97;925.4;0;0;10;
83577;10/01/1961;1200;23.6;21.4;82;927;32;1;7;
83577;10/01/1961;1800;28.6;23.6;65;925.8;32;1;5;
83577;11/01/1961;0000;24.4;22.8;87;926.2;0;0;6;
83577;11/01/1961;1200;24.8;22.6;83;926.3;5;1;8;
83577;11/01/1961;1800;26.6;23.4;76;924.3;14;1;10;
83577;12/01/1961;0000;20.6;20.4;98;926.2;0;0;10;
83577;12/01/1961;1200;20.4;20.2;98;926.8;14;1;10;
83577;12/01/1961;1800;25.2;21.6;73;926.2;32;3;10;
83577;13/01/1961;0000;20.4;19.8;94;927.6;0;0;10;
83577;13/01/1961;1200;22.8;20;77;929.5;5;1;10;
83577;13/01/1961;1800;25;21.2;71;927.5;;;7;
83577;14/01/1961;0000;20.8;19.2;87;928.3;23;1;0;
83577;14/01/1961;1200;23.2;20.2;76;929.5;5;1;0;
83577;14/01/1961;1800;26.2;21.8;67;928.2;23;1;10;
83577;15/01/1961;0000;21.8;20.8;91;927.8;0;0;0;
83577;15/01/1961;1200;24;21.4;79;928.6;5;1;4;
83577;15/01/1961;1800;22.6;21;87;927.8;0;0;7;
83577;16/01/1961;0000;22.4;20.8;87;928.7;0;0;0;
83577;16/01/1961;1200;23.6;20.2;73;929.6;23;1;2;
83577;16/01/1961;1800;29.4;22.2;53;927.2;5;1;6;
