<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83581</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : FLORESTAL - MG (OMM: 83581)
Latitude  (graus) : -19.88
Longitude (graus) : -44.41
Altitude  (metros): 760.00
Esta��o Operante
Inicio de opera��o: 09/04/1960
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83581;01/01/1961;1200;22.4;20.8;86;926.2;27;3;10;
83581;01/01/1961;1800;24.9;22;77;923.1;27;1;7;
83581;02/01/1961;0000;21;20.6;96;925.4;32;1;10;
83581;02/01/1961;1200;22;21;91;926;36;5;10;
83581;02/01/1961;1800;25.4;22.2;75;923.6;32;3;10;
83581;03/01/1961;0000;19.9;19.8;99;924.8;0;0;10;
83581;03/01/1961;1200;21;20.6;96;924.6;32;5;10;
83581;03/01/1961;1800;26.3;23.4;78;921.8;32;3;8;
83581;04/01/1961;0000;21;20.4;94;924.2;32;3;10;
83581;04/01/1961;1200;21.9;21.3;94;924.6;32;1;10;
83581;04/01/1961;1800;21.4;21.4;100;923;32;3;10;
83581;05/01/1961;0000;20.5;20.5;99;924.4;0;0;10;
83581;05/01/1961;1200;20.2;19.9;97;925.6;32;1;10;
83581;05/01/1961;1800;22.6;21.1;87;923.6;5;1;10;
83581;06/01/1961;0000;20.6;19.8;93;924.6;0;0;10;
83581;06/01/1961;1200;20.9;20;92;926.4;32;3;10;
83581;06/01/1961;1800;26.8;22.8;69;923.4;36;3;9;
83581;07/01/1961;0000;20.3;20.2;99;925.8;0;0;10;
83581;07/01/1961;1200;21;20.8;98;926.2;32;1;10;
83581;07/01/1961;1800;25;22.4;79;924;0;0;9;
83581;08/01/1961;0000;21.4;21.1;97;925.9;0;0;10;
83581;08/01/1961;1200;23.2;21.9;88;926.7;0;0;10;
83581;08/01/1961;1800;23.1;22.4;94;925.5;32;1;10;
83581;09/01/1961;0000;20.8;20.4;96;926.2;0;0;10;
83581;09/01/1961;1200;21.3;20.6;94;927.6;32;3;10;
83581;09/01/1961;1800;27.8;23.2;67;924.8;32;3;9;
83581;10/01/1961;0000;21.8;21.4;96;925;0;0;10;
83581;10/01/1961;1200;24.4;22.4;83;926.2;0;0;10;
83581;10/01/1961;1800;24.4;23.7;95;923.6;36;1;10;
83581;11/01/1961;0000;20.9;20.8;99;925;5;1;10;
83581;11/01/1961;1200;20.5;20.1;96;926;5;3;10;
83581;11/01/1961;1800;24.2;21.2;76;924;23;3;8;
83581;12/01/1961;0000;21.4;21;96;925;0;0;10;
83581;12/01/1961;1200;19.6;19.4;98;928;0;0;10;
83581;12/01/1961;1800;21;19.4;85;927.9;32;3;10;
83581;13/01/1961;0000;19.6;19;95;929.1;5;1;10;
83581;13/01/1961;1200;20.1;19.2;92;930.2;0;0;10;
83581;13/01/1961;1800;22;20;82;928;32;3;10;
83581;14/01/1961;0000;19.8;19.7;99;928.6;0;0;10;
83581;14/01/1961;1200;23.1;20.2;76;929.1;5;1;8;
83581;14/01/1961;1800;23.8;21.2;79;927.1;5;3;8;
83581;15/01/1961;0000;19.6;19;95;927.8;9;3;10;
83581;15/01/1961;1200;22.6;19.8;76;929;32;1;3;
83581;15/01/1961;1800;29;22.8;58;926.3;36;1;9;
83581;16/01/1961;0000;18.7;18.5;98;928.8;0;0;3;
83581;16/01/1961;1200;23;20.2;77;930;0;0;10;
83581;16/01/1961;1800;20.4;19.7;93;928.4;0;0;10;
83581;17/01/1961;0000;17.4;17.2;98;929.6;14;1;10;
83581;17/01/1961;1200;23.8;20.8;75;931.9;32;3;5;
83581;17/01/1961;1800;30.5;22.8;50;929.6;5;3;3;
83581;18/01/1961;0000;19.8;19.6;98;930.4;0;0;2;
83581;18/01/1961;1200;24.6;21.7;77;932.6;32;1;2;
83581;18/01/1961;1800;31;23.7;53;929.9;36;1;6;
83581;19/01/1961;0000;20.6;20;95;930.2;0;0;3;
83581;19/01/1961;1200;25.8;22.4;73;919.2;14;3;7;
83581;19/01/1961;1800;25;22.3;78;930.2;27;3;10;
83581;20/01/1961;0000;21;20.4;94;930.2;0;0;10;
83581;20/01/1961;1200;22.5;20.6;84;931;14;1;10;
83581;20/01/1961;1800;28.8;23.4;62;927.2;0;0;7;
83581;21/01/1961;0000;19.8;19.4;96;929.5;14;1;10;
83581;21/01/1961;1200;22.6;20.6;83;929.6;36;1;7;
83581;21/01/1961;1800;27.6;23.3;68;925.9;0;0;6;
83581;22/01/1961;0000;22.3;20.8;87;927.4;0;0;8;
83581;22/01/1961;1200;22.8;20.2;78;929.5;36;1;9;
83581;22/01/1961;1800;28.2;22.6;61;926.2;5;1;4;
83581;23/01/1961;0000;20;19.9;99;926.7;0;0;2;
83581;23/01/1961;1200;22.2;20.8;87;928.6;36;5;10;
83581;23/01/1961;1800;29.6;23.4;58;925;32;3;8;
83581;24/01/1961;0000;22.4;21.8;94;926.4;0;0;9;
83581;24/01/1961;1200;22;21.2;93;928.3;36;1;10;
83581;24/01/1961;1800;27.9;23.2;67;925.6;32;3;9;
83581;25/01/1961;0000;20.4;20.2;98;927.6;5;1;10;
83581;25/01/1961;1200;21.2;20.8;96;927.5;14;1;10;
83581;25/01/1961;1800;24.8;22.8;83;925;5;1;10;
83581;26/01/1961;0000;20.7;20.6;99;926.8;0;0;10;
83581;26/01/1961;1200;20.9;20.6;97;925.8;32;3;10;
83581;26/01/1961;1800;22.1;21.5;94;924;32;2;10;
83581;27/01/1961;0000;18.9;18.6;97;925.2;14;1;10;
83581;27/01/1961;1200;19.3;18.6;93;927.6;14;3;10;
83581;27/01/1961;1800;21.7;20.1;86;925.8;14;3;10;
83581;28/01/1961;0000;18.7;18.2;96;927.4;14;3;10;
83581;28/01/1961;1200;19.2;19;98;927.4;14;1;10;
83581;28/01/1961;1800;25;22.2;78;926;32;1;10;
83581;29/01/1961;0000;20.8;20.6;98;928.6;36;1;10;
83581;29/01/1961;1200;22.6;21;86;929.6;32;5;10;
83581;29/01/1961;1800;23.4;22.2;90;927.6;0;0;9;
83581;30/01/1961;0000;20.8;20.4;96;929.5;18;1;10;
83581;30/01/1961;1200;22.6;20.8;84;929.8;36;1;10;
83581;30/01/1961;1800;26.2;22.8;74;927.1;23;1;9;
83581;31/01/1961;0000;21.2;21.1;99;928.8;0;0;10;
83581;31/01/1961;1200;23;21.4;86;929.1;0;0;10;
83581;31/01/1961;1800;27.7;23.8;71;925;0;0;10;
83581;01/02/1961;0000;19.8;19.7;99;929.1;0;0;10;
83581;01/02/1961;1200;24.2;21.8;80;929.2;5;1;2;
83581;01/02/1961;1800;30.8;23.8;55;926.7;32;1;8;
83581;02/02/1961;0000;22;21.2;93;928.6;14;1;8;
83581;02/02/1961;1200;25.4;22.4;76;930.3;5;1;1;
83581;02/02/1961;1800;28.3;23.7;67;927.5;27;3;7;
83581;03/02/1961;0000;21.7;19.5;80;929.6;14;1;10;
83581;03/02/1961;1200;24.8;22.2;79;930.8;5;1;8;
83581;03/02/1961;1800;31.4;25;59;928;32;1;8;
83581;04/02/1961;0000;20.8;20;93;929.6;0;0;10;
83581;04/02/1961;1200;25.5;21.8;71;930.8;5;3;7;
83581;04/02/1961;1800;30;23.5;57;928;5;1;6;
83581;05/02/1961;0000;21.6;20.9;94;928.6;0;0;10;
83581;05/02/1961;1200;25;21.4;72;930.2;5;1;3;
83581;05/02/1961;1800;31;23.6;53;927.4;36;3;7;
83581;06/02/1961;0000;21.4;20.8;94;928.2;0;0;3;
83581;06/02/1961;1200;24.6;21.4;74;931.1;5;1;1;
83581;06/02/1961;1800;31.1;23.2;50;929;0;0;4;
83581;07/02/1961;0000;20.6;20.2;97;929.2;14;1;0;
83581;07/02/1961;1200;25.1;22.2;77;932.4;36;1;1;
83581;07/02/1961;1800;31.8;23.2;47;929.4;5;1;3;
83581;08/02/1961;0000;21.7;21;94;930.3;0;0;8;
83581;08/02/1961;1200;25.6;21;65;931.5;0;0;3;
