<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83582</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : BAMBUI - MG (OMM: 83582)
Latitude  (graus) : -20.03
Longitude (graus) : -45
Altitude  (metros): 661.27
Esta��o Operante
Inicio de opera��o: 26/08/1926
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83582;01/01/1961;1200;;;;;9;2;10;
83582;01/01/1961;1800;;;;;27;3;10;
83582;02/01/1961;0000;;;;;0;0;10;
83582;02/01/1961;1200;;;;;9;2;10;
83582;02/01/1961;1800;;;;;9;2;10;
83582;03/01/1961;0000;;;;;0;0;10;
83582;03/01/1961;1200;;;;;9;3;10;
83582;03/01/1961;1800;;;;;9;2;10;
83582;04/01/1961;0000;;;;;9;1;10;
83582;04/01/1961;1200;;;;;18;2;10;
83582;04/01/1961;1800;;;;;18;2;10;
83582;05/01/1961;0000;;;;;9;2;10;
83582;05/01/1961;1200;;;;;14;3;10;
83582;05/01/1961;1800;;;;;32;4;10;
83582;06/01/1961;0000;;;;;9;2;10;
83582;06/01/1961;1200;;;;;9;3;10;
83582;06/01/1961;1800;;;;;27;3;8;
83582;07/01/1961;0000;;;;;0;0;10;
83582;07/01/1961;1200;;;;;9;1;9;
83582;07/01/1961;1800;;;;;9;2;9;
83582;08/01/1961;0000;;;;;0;0;10;
83582;08/01/1961;1200;;;;;14;2;10;
83582;08/01/1961;1800;;;;;9;2;9;
83582;09/01/1961;0000;;;;;14;1;10;
83582;09/01/1961;1200;;;;;9;3;9;
83582;09/01/1961;1800;;;;;9;2;6;
83582;10/01/1961;0000;;;;;0;0;7;
83582;10/01/1961;1200;;;;;14;1;8;
83582;10/01/1961;1800;;;;;27;3;9;
83582;11/01/1961;0000;;;;;18;2;10;
83582;11/01/1961;1200;;;;;18;1;10;
83582;11/01/1961;1800;;;;;14;2;8;
83582;12/01/1961;0000;;;;;14;1;9;
83582;12/01/1961;1200;;;;;14;3;10;
83582;12/01/1961;1800;;;;;23;3;10;
83582;13/01/1961;0000;;;;;18;2;10;
83582;13/01/1961;1200;;;;;9;3;10;
83582;13/01/1961;1800;;;;;9;3;10;
83582;14/01/1961;0000;;;;;14;2;8;
83582;14/01/1961;1200;;;;;14;1;10;
83582;14/01/1961;1800;;;;;14;3;8;
83582;15/01/1961;0000;;;;;14;1;8;
83582;15/01/1961;1200;;;;;14;3;9;
83582;15/01/1961;1800;;;;;18;2;7;
83582;16/01/1961;0000;;;;;9;3;4;
83582;16/01/1961;1200;;;;;14;2;8;
83582;16/01/1961;1800;;;;;9;2;9;
83582;17/01/1961;0000;;;;;9;2;10;
83582;17/01/1961;1200;;;;;14;2;5;
83582;17/01/1961;1800;;;;;18;3;6;
83582;18/01/1961;0000;;;;;18;2;0;
83582;18/01/1961;1200;;;;;18;1;3;
83582;18/01/1961;1800;;;;;18;2;4;
83582;19/01/1961;0000;;;;;18;1;5;
83582;19/01/1961;1200;;;;;14;2;5;
83582;19/01/1961;1800;;;;;27;3;8;
83582;20/01/1961;0000;;;;;23;3;10;
83582;20/01/1961;1200;;;;;14;1;10;
83582;20/01/1961;1800;;;;;27;3;7;
83582;21/01/1961;0000;;;;;18;1;8;
83582;21/01/1961;1200;;;;;18;1;9;
83582;21/01/1961;1800;;;;;9;2;5;
83582;22/01/1961;0000;;;;;14;1;2;
83582;22/01/1961;1200;;;;;9;2;9;
83582;22/01/1961;1800;;;;;9;2;6;
83582;23/01/1961;0000;;;;;14;1;3;
83582;23/01/1961;1200;;;;;14;1;9;
83582;23/01/1961;1800;;;;;14;2;8;
83582;24/01/1961;0000;;;;;18;3;10;
83582;24/01/1961;1200;;;;;14;1;10;
83582;24/01/1961;1800;;;;;9;2;8;
83582;25/01/1961;0000;;;;;9;1;10;
83582;25/01/1961;1200;;;;;14;3;10;
83582;25/01/1961;1800;;;;;9;2;10;
83582;26/01/1961;0000;;;;;9;2;10;
83582;26/01/1961;1200;;;;;9;1;10;
83582;26/01/1961;1800;;;;;18;3;10;
83582;27/01/1961;0000;;;;;0;0;10;
83582;27/01/1961;1200;;;;;18;3;10;
83582;27/01/1961;1800;;;;;18;2;10;
83582;28/01/1961;0000;;;;;18;1;10;
83582;28/01/1961;1200;;;;;14;3;10;
83582;28/01/1961;1800;;;;;14;2;10;
83582;29/01/1961;0000;;;;;0;0;10;
83582;29/01/1961;1200;;;;;9;2;10;
83582;29/01/1961;1800;;;;;23;3;10;
83582;30/01/1961;0000;;;;;18;2;10;
83582;30/01/1961;1200;;;;;18;2;10;
83582;30/01/1961;1800;;;;;18;3;10;
83582;31/01/1961;0000;;;;;0;0;10;
83582;31/01/1961;1200;;;;;18;1;10;
83582;31/01/1961;1800;;;;;9;2;9;
83582;01/02/1961;0000;;;;;9;1;10;
83582;01/02/1961;1200;;;;;9;2;10;
83582;01/02/1961;1800;;;;;9;2;0;
83582;02/02/1961;0000;;;;;23;3;0;
83582;02/02/1961;1200;;;;;18;1;5;
83582;02/02/1961;1800;;;;;18;2;8;
83582;03/02/1961;0000;;;;;18;2;9;
83582;03/02/1961;1200;;;;;18;1;8;
83582;03/02/1961;1800;;;;;14;1;4;
83582;04/02/1961;0000;;;;;23;2;8;
83582;04/02/1961;1200;;;;;18;1;7;
83582;04/02/1961;1800;;;;;18;2;8;
83582;05/02/1961;0000;;;;;18;1;10;
83582;05/02/1961;1200;;;;;18;1;10;
83582;05/02/1961;1800;;;;;23;3;7;
83582;06/02/1961;0000;;;;;14;1;4;
83582;06/02/1961;1200;;;;;14;1;3;
83582;06/02/1961;1800;;;;;18;2;6;
83582;07/02/1961;0000;;;;;0;0;5;
83582;07/02/1961;1200;;;;;18;1;4;
83582;07/02/1961;1800;;;;;18;2;8;
83582;08/02/1961;0000;;;;;14;1;9;
83582;08/02/1961;1200;;;;;14;1;8;
83582;08/02/1961;1800;;;;;14;2;6;
83582;09/02/1961;0000;;;;;0;0;10;
83582;09/02/1961;1200;;;;;18;3;9;
83582;09/02/1961;1800;;;;;23;3;7;
83582;10/02/1961;0000;;;;;9;1;9;
83582;10/02/1961;1200;;;;;18;2;9;
83582;10/02/1961;1800;;;;;18;2;7;
83582;11/02/1961;0000;;;;;18;1;10;
83582;11/02/1961;1200;;;;;0;0;9;
83582;11/02/1961;1800;;;;;18;2;9;
83582;12/02/1961;0000;;;;;0;0;9;
83582;12/02/1961;1200;;;;;0;0;8;
83582;12/02/1961;1800;;;;;9;3;10;
83582;13/02/1961;0000;;;;;9;2;10;
83582;13/02/1961;1200;;;;;9;1;10;
83582;13/02/1961;1800;;;;;27;3;10;
83582;14/02/1961;0000;;;;;18;2;10;
83582;14/02/1961;1200;;;;;18;2;10;
83582;14/02/1961;1800;;;;;18;4;10;
83582;15/02/1961;0000;;;;;18;3;10;
83582;15/02/1961;1200;;;;;14;1;10;
83582;15/02/1961;1800;;;;;9;3;10;
83582;16/02/1961;0000;;;;;14;1;10;
83582;16/02/1961;1200;;;;;9;2;10;
83582;16/02/1961;1800;;;;;18;2;10;
83582;17/02/1961;0000;;;;;23;2;10;
83582;17/02/1961;1200;;;;;0;0;10;
83582;17/02/1961;1800;;;;;18;2;9;
83582;18/02/1961;0000;;;;;0;0;10;
83582;18/02/1961;1200;;;;;14;1;10;
83582;18/02/1961;1800;;;;;18;2;10;
83582;19/02/1961;0000;;;;;18;2;10;
83582;19/02/1961;1200;;;;;14;2;10;
83582;19/02/1961;1800;;;;;18;2;10;
83582;20/02/1961;0000;;;;;0;0;10;
83582;20/02/1961;1200;;;;;9;3;9;
83582;20/02/1961;1800;;;;;9;2;10;
83582;21/02/1961;0000;;;;;0;0;8;
83582;21/02/1961;1200;;;;;14;1;10;
83582;21/02/1961;1800;;;;;9;2;9;
83582;22/02/1961;0000;;;;;14;3;10;
83582;22/02/1961;1200;;;;;14;1;9;
83582;22/02/1961;1800;;;;;14;2;10;
83582;23/02/1961;0000;;;;;14;1;8;
83582;23/02/1961;1200;;;;;14;1;10;
