<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83583</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : B HORIZONTE- AEROPORTO - MG (OMM: 83583)
Latitude  (graus) : -19.85
Longitude (graus) : -43.95
Altitude  (metros): 789.00
Esta��o Operante
Inicio de opera��o: 00/00/0000
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83583;01/01/2015;0000;26.7;;61;;8;3.08664;7.5;
83583;01/01/2015;0600;23.5;;71;;10;3.60108;5;
83583;01/01/2015;1800;31.6;;40;;25;3.60108;7.5;
83583;02/01/2015;0000;22.5;;82;;10;2.05776;8.75;
83583;02/01/2015;1200;28.5;;56;;12;2.05776;3.75;
83583;02/01/2015;1800;31.8;;41;;19;3.08664;10;
83583;03/01/2015;0000;24.6;;66;;7;2.5722;8.75;
83583;03/01/2015;0600;22.1;;77;;7;1.54332;3.75;
83583;03/01/2015;1200;29.9;;49;;6;2.5722;0;
83583;03/01/2015;1800;27.5;;63;;22;4.62996;7.5;
83583;04/01/2015;0000;26.2;;64;;6;2.5722;5;
83583;04/01/2015;0600;23.4;;73;;9;2.05776;6.25;
83583;04/01/2015;1200;24.5;;70;;26;3.60108;7.5;
83583;04/01/2015;1800;29.7;;45;;27;2.5722;8.75;
83583;05/01/2015;0000;25.6;;66;;9;3.08664;10;
83583;05/01/2015;0600;21.7;;76;;10;3.08664;7.5;
83583;05/01/2015;1200;26.6;;53;;7;4.11552;2.5;
83583;05/01/2015;1800;29.5;;42;;8;3.08664;6.25;
83583;06/01/2015;0000;25.4;;58;;8;4.11552;3.75;
83583;06/01/2015;0600;21.4;;78;;8;3.60108;0;
83583;06/01/2015;1200;26.2;;55;;7;3.60108;7.5;
83583;06/01/2015;1800;30.1;;42;;3;3.60108;6.25;
83583;07/01/2015;0000;24.6;;51;;11;5.1444;5;
83583;07/01/2015;0600;19.8;;71;;11;3.08664;0;
83583;07/01/2015;1200;24.4;;59;;7;6.17328;6.25;
83583;07/01/2015;1800;28.2;;47;;8;4.11552;5;
83583;08/01/2015;0600;19.9;;74;;10;2.05776;0;
83583;08/01/2015;1200;23.8;;58;;9;5.1444;3.75;
83583;08/01/2015;1800;30.5;;31;;9;3.60108;2.5;
83583;09/01/2015;0600;19.5;;65;;9;2.05776;0;
83583;09/01/2015;1200;25.3;;54;;5;3.60108;0;
83583;09/01/2015;1800;30.4;;30;;9;3.60108;5;
83583;10/01/2015;0000;25;;46;;6;2.5722;3.75;
83583;10/01/2015;0600;20.7;;69;;8;2.05776;0;
83583;10/01/2015;1200;25.9;;56;;12;5.1444;0;
83583;10/01/2015;1800;32.7;;34;;6;4.11552;2.5;
83583;11/01/2015;0000;25.8;;48;;9;4.62996;0;
83583;11/01/2015;0600;20.6;;70;;9;1.54332;0;
83583;11/01/2015;1200;27.7;;43;;6;3.08664;0;
83583;11/01/2015;1800;32.3;;25;;7;2.5722;0;
83583;12/01/2015;0000;26.4;;45;;10;4.11552;0;
83583;12/01/2015;0600;19.6;;70;;9;1.54332;0;
83583;12/01/2015;1200;28.3;;39;;6;3.08664;0;
83583;12/01/2015;1800;33.1;;26;;7;5.65884;0;
83583;13/01/2015;0000;27.3;;39;;10;5.1444;0;
83583;13/01/2015;0600;22.6;;64;;13;2.05776;0;
83583;13/01/2015;1200;28.1;;48;;7;4.11552;0;
83583;13/01/2015;1800;33.9;;29;;6;3.08664;2.5;
83583;14/01/2015;0000;26.5;;44;;8;4.11552;0;
83583;14/01/2015;0600;21.5;;65;;10;2.5722;0;
83583;14/01/2015;1200;27.5;;49;;6;2.5722;0;
83583;14/01/2015;1800;32.4;;36;;7;4.62996;0;
83583;15/01/2015;0000;25.2;;51;;8;3.08664;0;
83583;15/01/2015;0600;20.4;;69;;12;2.5722;0;
83583;15/01/2015;1200;25.7;;50;;9;4.62996;3.75;
83583;15/01/2015;1800;29.7;;34;;5;3.60108;6.25;
83583;16/01/2015;0000;25.1;;47;;8;3.60108;6.25;
83583;16/01/2015;0600;21.9;;62;;11;3.08664;5;
83583;16/01/2015;1200;26.5;;51;;1;2.05776;6.25;
83583;16/01/2015;1800;31.5;;30;;8;2.5722;2.5;
83583;17/01/2015;0000;25;;47;;10;3.08664;0;
83583;17/01/2015;0600;19.4;;72;;10;1.54332;0;
83583;17/01/2015;1200;26.5;;50;;6;3.08664;3.75;
83583;17/01/2015;1800;31.9;;28;;5;3.60108;2.5;
83583;18/01/2015;0000;26.3;;42;;9;3.60108;0;
83583;18/01/2015;0600;20.6;;65;;10;2.05776;0;
83583;18/01/2015;1200;26.5;;48;;8;2.5722;0;
83583;18/01/2015;1800;32.2;;25;;7;3.60108;0;
83583;19/01/2015;0000;26.3;;43;;11;3.08664;0;
83583;19/01/2015;0600;20.7;;64;;11;3.60108;0;
83583;19/01/2015;1200;26.7;;50;;9;4.11552;0;
83583;19/01/2015;1800;31.8;;30;;9;4.11552;1.25;
83583;20/01/2015;0000;26.9;;43;;10;4.11552;0;
83583;20/01/2015;0600;18.8;;72;;0;0;0;
83583;20/01/2015;1200;26.7;;49;;5;3.08664;0;
83583;20/01/2015;1800;32.4;;26;;30;1.54332;0;
83583;21/01/2015;0000;26.6;;42;;11;4.62996;0;
83583;21/01/2015;0600;21;;64;;11;2.5722;0;
83583;21/01/2015;1200;27.9;;44;;8;3.08664;0;
83583;21/01/2015;1800;33.7;;26;;9;1.54332;5;
83583;22/01/2015;0000;25;;55;;11;2.05776;0;
83583;22/01/2015;0600;22.3;;66;;10;3.08664;0;
83583;22/01/2015;1200;28;;49;;9;3.08664;5;
83583;22/01/2015;1800;33;;28;;9;4.11552;3.75;
83583;23/01/2015;0000;27.2;;49;;11;4.11552;7.5;
83583;23/01/2015;0600;22.7;;68;;10;5.65884;3.75;
83583;23/01/2015;1200;25.5;;57;;7;3.08664;6.25;
83583;23/01/2015;1800;29.4;;43;;6;3.08664;8.75;
83583;24/01/2015;0000;20.5;;71;;7;3.08664;10;
83583;24/01/2015;0600;17.1;;83;;10;2.05776;10;
83583;24/01/2015;1200;23.5;;68;;36;1.54332;8.75;
83583;24/01/2015;1800;23.5;;69;;7;4.11552;8.75;
83583;25/01/2015;0000;19.6;;89;;10;1.02888;10;
83583;25/01/2015;0600;19;;88;;7;2.5722;8.75;
83583;25/01/2015;1200;24.4;;64;;8;3.60108;6.25;
83583;25/01/2015;1800;21.1;;81;;31;4.11552;8.75;
83583;26/01/2015;0000;19.5;;91;;0;0;3.75;
83583;26/01/2015;0600;20;;90;;9;2.05776;5;
83583;26/01/2015;1200;25.4;;61;;8;2.05776;5;
83583;26/01/2015;1800;29.5;;42;;25;2.5722;5;
83583;27/01/2015;0000;19.9;;87;;25;5.65884;10;
83583;27/01/2015;0600;19.4;;90;;13;1.54332;10;
83583;27/01/2015;1200;24;;70;;14;1.02888;8.75;
83583;27/01/2015;1800;28.5;;51;;9;1.54332;8.75;
83583;28/01/2015;0000;18.8;;92;;3;1.02888;10;
83583;28/01/2015;0600;19;;91;;9;1.02888;8.75;
83583;28/01/2015;1200;24.7;;71;;9;3.08664;8.75;
83583;28/01/2015;1800;24.8;;74;;0;0;8.75;
83583;29/01/2015;0000;21.3;;82;;36;2.05776;10;
83583;29/01/2015;0600;19.9;;86;;0;0;7.5;
83583;29/01/2015;1200;26.3;;60;;8;3.60108;0;
83583;29/01/2015;1800;30.6;;39;;28;1.54332;5;
83583;30/01/2015;0000;25.8;;63;;0;0;3.75;
83583;30/01/2015;0600;21.6;;84;;0;0;6.25;
83583;30/01/2015;1200;29.1;;49;;7;2.05776;3.75;
83583;30/01/2015;1800;30.9;;40;;21;3.60108;8.75;
83583;31/01/2015;0000;25;;65;;6;1.02888;5;
83583;31/01/2015;0600;22.1;;79;;12;3.08664;3.75;
83583;31/01/2015;1200;27.8;;56;;11;5.1444;0;
83583;31/01/2015;1800;31.7;;40;;4;1.02888;3.75;
83583;01/02/2015;0000;25.7;;64;926.1;8;2.05776;0;
83583;01/02/2015;0600;22.5;;71;926.3;9;4.11552;0;
83583;01/02/2015;1200;25.4;;58;928.4;10;4.11552;7.5;
83583;01/02/2015;1800;31.1;;39;926.1;35;2.5722;5;
83583;02/02/2015;0000;25.4;;53;927;10;4.11552;5;
83583;02/02/2015;0600;21.6;;71;925.8;9;1.02888;6.25;
83583;02/02/2015;1200;26.4;;58;927.5;4;3.08664;7.5;
83583;02/02/2015;1800;31.2;;38;924.5;9;3.60108;5;
83583;03/02/2015;0000;26.2;;52;926;10;4.11552;0;
83583;03/02/2015;0600;22.4;;70;924.8;10;3.08664;6.25;
83583;03/02/2015;1200;24.7;;58;927.2;7;4.11552;6.25;
83583;03/02/2015;1800;29.5;;41;923.3;30;1.54332;8.75;
83583;04/02/2015;0000;21.6;;68;925.1;31;6.17328;8.75;
83583;04/02/2015;0600;19.6;;87;924.7;27;1.02888;7.5;
83583;04/02/2015;1200;25.7;;63;924.8;7;2.05776;8.75;
83583;04/02/2015;1800;29.4;;44;921.2;30;2.5722;8.75;
