<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83587</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : BELO HORIZONTE - MG (OMM: 83587)
Latitude  (graus) : -19.93
Longitude (graus) : -43.93
Altitude  (metros): 915.00
Esta��o Operante
Inicio de opera��o: 03/03/1910
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83587;01/01/1961;1200;20.8;20.4;96;909.2;0;0;10;
83587;01/01/1961;1800;22.8;21;85;906.3;0;0;9;
83587;02/01/1961;0000;20.4;20;96;909;0;0;10;
83587;02/01/1961;1200;20.4;20.2;98;909.1;0;0;10;
83587;02/01/1961;1800;22.2;21.6;94;907.2;0;0;10;
83587;03/01/1961;0000;19.3;19.2;99;908.4;0;0;10;
83587;03/01/1961;1200;19.5;19.4;99;908.2;32;2.2;10;
83587;03/01/1961;1800;22.6;21.8;93;906;0;0;8;
83587;04/01/1961;0000;20.8;20.6;98;907.6;5;1.2;10;
83587;04/01/1961;1200;20.4;20.2;98;907.5;0;0;10;
83587;04/01/1961;1800;19.4;19.2;98;907.1;0;0;10;
83587;05/01/1961;0000;19.6;19.5;99;907.6;5;2.6;10;
83587;05/01/1961;1200;19.4;19.4;100;908.7;0;0;10;
83587;05/01/1961;1800;21.4;20.4;91;907.1;0;0;10;
83587;06/01/1961;0000;20;19.5;95;908.4;0;0;10;
83587;06/01/1961;1200;19.2;18.8;96;909.8;5;2;10;
83587;06/01/1961;1800;25.2;21.4;71;906.6;32;2.5;8;
83587;07/01/1961;0000;19.8;19.4;96;909.1;0;0;10;
83587;07/01/1961;1200;20;19.8;98;909.2;0;0;10;
83587;07/01/1961;1800;26.4;22.4;70;906.8;0;0;8;
83587;08/01/1961;0000;22;21.2;93;909.4;0;0;9;
83587;08/01/1961;1200;22.6;21.4;89;909.9;0;0;10;
83587;08/01/1961;1800;20.4;20.2;98;908.6;0;0;10;
83587;09/01/1961;0000;19.9;19.8;99;910.3;0;0;10;
83587;09/01/1961;1200;22.4;21;88;910.4;0;0;8;
83587;09/01/1961;1800;27;22;64;908.4;5;4;8;
83587;10/01/1961;0000;23.2;21;82;908.7;5;2;10;
83587;10/01/1961;1200;22.6;21.6;91;909.8;0;0;9;
83587;10/01/1961;1800;23.6;21.8;85;907;0;0;9;
83587;11/01/1961;0000;19.2;19.2;100;908.3;9;2;10;
83587;11/01/1961;1200;20.6;19.6;91;909.1;5;2;10;
83587;11/01/1961;1800;26.4;21.6;65;907.4;5;3;6;
83587;12/01/1961;0000;20.6;20.2;97;909;0;0;10;
83587;12/01/1961;1200;18.4;18.1;97;911.1;5;2;10;
83587;12/01/1961;1800;19;18.2;92;910.8;5;3;10;
83587;13/01/1961;0000;18.4;18;96;912;0;0;10;
83587;13/01/1961;1200;19.6;18.6;91;913;0;0;10;
83587;13/01/1961;1800;23;20.6;81;911.2;5;5;9;
83587;14/01/1961;0000;18.6;18;94;912;0;0;10;
83587;14/01/1961;1200;25;20.7;67;912;5;2;7;
83587;14/01/1961;1800;20;19;91;911.2;5;3;10;
83587;15/01/1961;0000;19;18.4;94;911;0;0;7;
83587;15/01/1961;1200;23.8;20.8;76;912.2;0;0;8;
83587;15/01/1961;1800;23;20.7;82;911.2;0;0;10;
83587;16/01/1961;0000;19;18;90;912.7;0;0;8;
83587;16/01/1961;1200;23.4;20.6;78;912.8;5;2;7;
83587;16/01/1961;1800;22.8;21;86;912;0;0;10;
83587;17/01/1961;0000;19.2;17.6;85;912.7;0;0;0;
83587;17/01/1961;1200;23.8;20;70;914.8;9;5;6;
83587;17/01/1961;1800;29.8;22.6;53;913.8;0;0;5;
83587;18/01/1961;0000;23;20.6;81;913.9;0;0;0;
83587;18/01/1961;1200;25.6;21.6;70;915.8;5;2;8;
83587;18/01/1961;1800;30.6;23.4;53;914.2;5;4;5;
83587;19/01/1961;0000;24.2;20.8;73;914;0;0;3;
83587;19/01/1961;1200;25.8;21.2;65;916;5;1;9;
83587;19/01/1961;1800;25;21;69;913.9;5;4;8;
83587;20/01/1961;0000;22.5;19.6;76;913.6;18;4;10;
83587;20/01/1961;1200;23.1;20.2;77;913.9;5;2;10;
83587;20/01/1961;1800;27.4;22;62;911.4;5;3;5;
83587;21/01/1961;0000;20.2;20;98;912.3;0;0;10;
83587;21/01/1961;1200;21.2;19.4;84;912.8;0;0;10;
83587;21/01/1961;1800;28.4;23.2;64;909.8;0;0;7;
83587;22/01/1961;0000;20.2;18.2;82;911.2;9;4.5;3;
83587;22/01/1961;1200;23.2;20.2;76;912.6;0;0;8;
83587;22/01/1961;1800;22.2;20;82;910.2;5;3;8;
83587;23/01/1961;0000;21.4;19.2;82;910.4;0;0;2;
83587;23/01/1961;1200;21;19.8;89;911.9;9;2.5;10;
83587;23/01/1961;1800;28;22.6;62;909.5;9;3;8;
83587;24/01/1961;0000;23.2;21;82;910.3;0;0;6;
83587;24/01/1961;1200;20.6;20.2;97;912.2;36;2;10;
83587;24/01/1961;1800;23.7;22.5;90;909.6;0;0;10;
83587;25/01/1961;0000;19.6;18.6;91;910.6;0;0;10;
83587;25/01/1961;1200;21;20.1;92;911.4;0;0;10;
83587;25/01/1961;1800;24.8;22.4;81;908.6;5;4;10;
83587;26/01/1961;0000;19.8;19.6;98;909.9;5;2;10;
83587;26/01/1961;1200;19.8;19.6;98;909.1;32;2;10;
83587;26/01/1961;1800;20.8;20;93;907.2;32;4;10;
83587;27/01/1961;0000;18.8;18.5;97;909.1;0;0;10;
83587;27/01/1961;1200;18.8;17.6;88;910.2;0;0;10;
83587;27/01/1961;1800;22;19.7;81;908.4;0;0;10;
83587;28/01/1961;0000;18;17;90;910.2;5;3.4;10;
83587;28/01/1961;1200;18.8;18.4;96;910.4;9;2;10;
83587;28/01/1961;1800;21.2;20.4;92;909.4;9;3;10;
83587;29/01/1961;0000;19.6;19.4;98;912.3;0;0;10;
83587;29/01/1961;1200;20.2;20;98;912.8;9;3.4;10;
83587;29/01/1961;1800;22.8;20.8;84;910.8;27;5;10;
83587;30/01/1961;0000;19.6;18.6;91;912.3;0;0;10;
83587;30/01/1961;1200;21.4;20.4;91;912.8;5;2;8;
83587;30/01/1961;1800;25.8;22.8;77;910.4;5;3;10;
83587;31/01/1961;0000;20.9;20.6;97;911.9;0;0;10;
83587;31/01/1961;1200;21.3;20.6;94;912.2;0;0;10;
83587;31/01/1961;1800;26;23;77;909.9;5;4;10;
83587;01/02/1961;0000;19.8;19.4;96;912;0;0;10;
83587;01/02/1961;1200;23.8;20.8;76;912.6;0;0;8;
83587;01/02/1961;1800;29.2;23.2;59;910.7;5;3;8;
83587;02/02/1961;0000;22.2;20.4;85;912;0;0;10;
83587;02/02/1961;1200;26;21.8;68;913.6;9;3;7;
83587;02/02/1961;1800;29.4;24.2;65;911.1;0;0;8;
83587;03/02/1961;0000;22.8;20.8;84;913.2;23;3.8;10;
83587;03/02/1961;1200;26.6;22.6;71;913.8;0;0;7;
83587;03/02/1961;1800;29.6;23.8;61;912;0;0;9;
83587;04/02/1961;0000;23.2;21.2;84;913.5;23;3.5;10;
83587;04/02/1961;1200;26.4;21.1;62;913.9;9;3;8;
83587;04/02/1961;1800;29.8;23.4;57;912;9;3;5;
83587;05/02/1961;0000;23.4;20.6;78;912.7;0;0;10;
83587;05/02/1961;1200;26;22;70;913.4;0;0;6;
83587;05/02/1961;1800;29.7;23.4;57;911.8;5;5;5;
83587;06/02/1961;0000;23.2;20.8;80;911.9;9;2;0;
83587;06/02/1961;1200;25.2;21.4;71;914.4;9;2;5;
83587;06/02/1961;1800;30.9;22;45;912.6;0;0;6;
83587;07/02/1961;0000;24.2;20.2;69;912.8;0;0;0;
83587;07/02/1961;1200;26.6;21.5;62;915.5;9;3;1;
83587;07/02/1961;1800;29.9;22.9;53;913.5;9;2.5;6;
83587;08/02/1961;0000;24.2;20.2;69;913.8;0;0;5;
83587;08/02/1961;1200;26.4;20.2;57;915;5;3;6;
83587;08/02/1961;1800;30.6;21.7;45;911.9;5;3;4;
83587;09/02/1961;0000;24.6;20.8;70;912.3;0;0;10;
83587;09/02/1961;1200;25.8;21.8;69;913.1;9;2;8;
83587;09/02/1961;1800;26.2;22.3;71;910.8;9;4;10;
83587;10/02/1961;0000;22.2;20.5;86;912;0;0;10;
83587;10/02/1961;1200;25.4;21.6;71;912.7;5;4;8;
83587;10/02/1961;1800;25.8;22.6;76;909.8;5;2;8;
83587;11/02/1961;0000;23;21.3;86;911.5;9;1.9;8;
83587;11/02/1961;1200;26;22.4;73;911.5;5;3;8;
83587;11/02/1961;1800;26.2;22.6;74;908.2;0;0;8;
83587;12/02/1961;0000;20.3;20.2;99;911;0;0;10;
83587;12/02/1961;1200;22.6;20.6;84;909.2;5;1.5;9;
83587;12/02/1961;1800;22;20.7;89;907.8;0;0;10;
83587;13/02/1961;0000;19.5;19.4;99;909.6;9;1.5;10;
83587;13/02/1961;1200;19.6;19.4;98;909.8;0;0;10;
83587;13/02/1961;1800;25.6;22;73;907.2;5;2;8;
83587;14/02/1961;0000;19.9;19.6;97;908.8;9;2.4;9;
83587;14/02/1961;1200;20.2;19.8;96;910.8;0;0;10;
83587;14/02/1961;1800;20.4;20;96;909.4;0;0;10;
83587;15/02/1961;0000;17.7;16.9;92;912.4;14;5.4;10;
83587;15/02/1961;1200;17.3;17.3;100;915.6;0;0;10;
83587;15/02/1961;1800;19;18.8;98;914.6;9;2.4;10;
83587;16/02/1961;0000;18.2;17.4;92;914.6;9;2.7;10;
83587;16/02/1961;1200;20.4;18.9;87;914.6;9;4.5;10;
83587;16/02/1961;1800;26.6;21.6;63;911.8;9;3;8;
83587;17/02/1961;0000;21.2;18.4;76;912.7;9;3.5;0;
83587;17/02/1961;1200;22.4;19.6;77;914.3;5;2;10;
83587;17/02/1961;1800;26.6;20.8;58;917.9;0;0;8;
83587;18/02/1961;0000;21.4;18.2;73;912.7;5;2.8;4;
83587;18/02/1961;1200;21;17.8;72;914.7;5;3;10;
83587;18/02/1961;1800;26.5;20.5;58;912;0;0;9;
83587;19/02/1961;0000;21.8;19.2;79;913;9;0.9;9;
83587;19/02/1961;1200;22.1;19.1;75;913;9;3;8;
83587;19/02/1961;1800;27.9;21.4;55;909.6;0;0;9;
83587;20/02/1961;0000;22.6;19.8;77;911;0;0;10;
83587;20/02/1961;1200;19.2;19.2;100;912.6;0;0;10;
83587;20/02/1961;1800;21.6;20.4;89;911;0;0;9;
83587;21/02/1961;0000;20.1;18.4;85;911;0;0;4;
83587;21/02/1961;1200;21;19.4;86;912.6;5;2;10;
83587;21/02/1961;1800;27.8;22.2;60;909.4;0;0;8;
83587;22/02/1961;0000;21.6;20.5;90;911.1;0;0;10;
83587;22/02/1961;1200;23.6;20.6;76;912.8;9;4.4;2;
83587;22/02/1961;1800;27.8;22.2;60;911.2;5;9;8;
83587;23/02/1961;0000;22.4;19.8;78;911.5;0;0;6;
83587;23/02/1961;1200;24.2;20.9;74;913.4;5;2.5;10;
