<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83588</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : LAGOA SANTA - MG (OMM: 83588)
Latitude  (graus) : -19.66
Longitude (graus) : -43.89
Altitude  (metros): 852.00
Esta��o Operante
Inicio de opera��o: 01/01/1934
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83588;01/01/2015;0000;26.2;;58;918.9;12;3.08664;8.75;
83588;01/01/2015;1200;28;;51;920.3;0;0;0;
83588;01/01/2015;1800;32.1;;43;916.5;2;3.08664;6.25;
83588;02/01/2015;0000;23.1;;74;919.1;16;4.11552;5;
83588;02/01/2015;1200;29;;54;919.6;8;1.54332;0;
83588;02/01/2015;1800;25.9;;61;917.1;27;;6.25;
83588;03/01/2015;0000;22.8;;77;918.5;28;1.02888;7.5;
83588;03/01/2015;1200;27.9;;53;920.1;17;2.5722;0;
83588;03/01/2015;1800;33.4;;34;917;15;3.60108;6.25;
83588;04/01/2015;0000;26.9;;61;918.5;13;5.1444;8.75;
83588;04/01/2015;1200;26;;65;922.1;26;2.5722;7.5;
83588;04/01/2015;1800;30;;45;918.3;1;1.54332;5;
83588;05/01/2015;0000;24.9;;71;919.9;15;3.08664;3.75;
83588;05/01/2015;1200;25.2;;53;922;5;3.08664;0;
83588;05/01/2015;1800;29.9;;40;919.5;10;3.60108;7.5;
83588;06/01/2015;0000;25.1;;62;921.1;13;3.08664;3.75;
83588;06/01/2015;1200;25.6;;56;923.3;9;3.08664;3.75;
83588;06/01/2015;1800;29;;37;920.8;14;4.62996;3.75;
83588;07/01/2015;0000;24.2;;52;921.9;13;3.08664;0;
83588;07/01/2015;1200;25;;58;922.8;12;4.11552;5;
83588;07/01/2015;1800;27.1;;50;921.1;12;4.11552;7.5;
83588;08/01/2015;0000;22.3;;65;920.7;13;4.62996;0;
83588;08/01/2015;1200;24.4;;60;923;8;2.05776;0;
83588;08/01/2015;1800;29.7;;32;919.8;14;4.11552;2.5;
