<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83595</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : AIMORES - MG (OMM: 83595)
Latitude  (graus) : -19.49
Longitude (graus) : -41.07
Altitude  (metros): 82.74
Esta��o Operante
Inicio de opera��o: 01/06/1972
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83595;01/06/1972;1200;19.8;18;84;1011.6;36;1;8;
83595;01/06/1972;1800;27.2;19.2;47;1007.8;9;1;9;
83595;02/06/1972;0000;23;18.8;67;1009.5;14;3;10;
83595;02/06/1972;1200;22;19;76;1011;32;1;4;
83595;02/06/1972;1800;29;20.8;45;1006.4;32;1;4;
83595;03/06/1972;0000;19;17;82;1009;14;1;10;
83595;03/06/1972;1200;22.2;19.6;78;1011.4;32;1;5;
83595;03/06/1972;1800;30.8;22;47;1005.6;32;1;8;
83595;04/06/1972;0000;20.2;18.5;85;1008.6;23;1;10;
83595;04/06/1972;1200;23.8;21;78;1010.7;36;1;8;
83595;04/06/1972;1800;30.8;22;47;1007.4;32;1;6;
83595;05/06/1972;0000;25;22.5;81;1008.8;14;5;10;
83595;05/06/1972;1200;22;20;83;1010;32;1;4;
83595;05/06/1972;1800;29;22.4;57;1007.2;14;1;4;
83595;06/06/1972;0000;24;20.8;75;1008.6;14;3;10;
83595;06/06/1972;1200;21;18.8;81;1010.2;32;1;3;
83595;06/06/1972;1800;29;22;54;1005.8;36;1;8;
83595;07/06/1972;0000;24.5;21;73;1008.4;14;1;10;
83595;07/06/1972;1200;25.4;21.5;71;1009.6;9;1;7;
83595;07/06/1972;1800;25.8;21.8;71;1007;5;3;9;
83595;08/06/1972;0000;23;20;76;1008.7;14;1;10;
83595;08/06/1972;1200;23.5;21;80;1012.3;32;1;5;
83595;08/06/1972;1800;30;22.5;52;1007.2;32;1;6;
83595;09/06/1972;0000;23;20;76;1009.2;14;1;10;
83595;09/06/1972;1200;24.5;21.5;77;1010.3;5;1;5;
83595;09/06/1972;1800;29;21.8;53;1006.3;5;1;6;
83595;10/06/1972;0000;24;21.5;80;1008.7;14;3;10;
83595;10/06/1972;1200;23;20.8;82;1010.8;0;0;3;
83595;10/06/1972;1800;29.8;21.8;50;1005.2;5;1;5;
83595;11/06/1972;0000;24;21;77;1008.4;14;1;10;
83595;11/06/1972;1200;23;20.5;80;1010;5;1;3;
83595;11/06/1972;1800;30;22;50;1007.1;23;1;4;
83595;12/06/1972;0000;21;18.2;77;1009;18;1;10;
83595;12/06/1972;1200;20;18.5;87;1010.4;23;1;10;
83595;12/06/1972;1800;31;22.5;48;1006.3;36;1;4;
83595;13/06/1972;0000;24;20;69;1008.8;14;3;10;
83595;13/06/1972;1200;22;20;83;1010.8;32;1;6;
83595;13/06/1972;1800;30;21;44;1006.7;32;1;4;
83595;14/06/1972;0000;21.5;18.5;76;1008.6;32;1;10;
83595;14/06/1972;1200;22;19.8;82;1010.6;32;1;9;
83595;14/06/1972;1800;30;21;44;1009.9;36;1;7;
83595;15/06/1972;0000;23;20;76;1009.9;14;3;10;
83595;15/06/1972;1200;21;19.4;86;1013.6;32;1;9;
83595;15/06/1972;1800;22.3;21;89;1010.4;14;1;8;
83595;16/06/1972;0000;20;19;91;1012;14;1;10;
83595;16/06/1972;1200;21;18.5;78;1013.1;0;0;10;
83595;16/06/1972;1800;23;20;76;1008.7;14;3;9;
83595;17/06/1972;0000;21.5;19.5;83;1012.4;14;3;10;
83595;17/06/1972;1200;21.8;19.5;81;1013.1;23;1;8;
83595;17/06/1972;1800;28.5;22;56;1007.9;36;1;4;
83595;18/06/1972;0000;18.5;17;86;1009.4;9;1;10;
83595;18/06/1972;1200;19.2;18;89;1009.6;0;0;4;
83595;18/06/1972;1800;29;20;43;1004.4;32;2;8;
83595;19/06/1972;0000;19;16.5;78;1007.2;14;1;10;
83595;19/06/1972;1200;21;18;75;1007.4;0;0;4;
83595;19/06/1972;1800;31;21;40;1000.7;32;3;6;
83595;20/06/1972;0000;23;19;69;1004.7;14;1;10;
83595;20/06/1972;1200;22;19;76;1008.3;36;1;3;
83595;20/06/1972;1800;28;21;53;1003.8;0;0;7;
83595;21/06/1972;0000;22;18.5;72;1006.8;14;3;10;
83595;21/06/1972;1200;23;20.5;80;1009;36;1;7;
83595;21/06/1972;1800;28.5;22;56;1006;36;3;8;
