<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83597</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : LINHARES - ES (OMM: 83597)
Latitude  (graus) : -19.41
Longitude (graus) : -40.06
Altitude  (metros): 28.60
Esta��o Desativada
Inicio de opera��o: 16/06/1969
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83597;01/07/1970;1200;20.1;19.8;97;;0;0;9;
83597;01/07/1970;1800;21;20.1;92;;32;6;10;
83597;02/07/1970;0000;17.8;17.7;99;;0;0;0;
83597;02/07/1970;1200;21.4;20.1;88;;36;3;0;
83597;02/07/1970;1800;28.7;20.9;46;;36;4;8;
83597;03/07/1970;0000;20.8;19.3;86;;18;14;3;
83597;03/07/1970;1200;20.5;16.7;66;;18;14;9;
83597;03/07/1970;1800;22.5;17.5;58;;18;12;6;
83597;04/07/1970;0000;17.4;16.3;89;;23;1;0;
83597;04/07/1970;1200;21;18.3;76;;23;4;2;
83597;04/07/1970;1800;24;18.7;58;;18;7;5;
83597;05/07/1970;0000;15.4;15.3;99;;0;0;0;
83597;05/07/1970;1200;21.6;18.1;70;;23;4;3;
83597;05/07/1970;1800;24.3;17.8;49;;14;5;2;
83597;06/07/1970;0000;13.8;13.6;97;;0;0;0;
83597;06/07/1970;1200;20.7;17.9;74;;27;2;5;
83597;06/07/1970;1800;25.2;18.1;47;;9;2;3;
83597;07/07/1970;0000;15.2;14.5;92;;0;0;0;
83597;07/07/1970;1200;20.2;17.5;75;;27;2;0;
83597;07/07/1970;1800;27;19.1;45;;5;2;0;
83597;08/07/1970;0000;16.2;15.9;97;;0;0;0;
83597;08/07/1970;1200;22.2;20.4;84;;0;0;1;
83597;08/07/1970;1800;26.3;20.7;58;;5;2;3;
83597;09/07/1970;0000;18.2;17.7;95;;0;0;0;
83597;09/07/1970;1200;23.2;20.2;75;1018.4;23;4;5;
83597;09/07/1970;1800;25.2;19.9;59;1016.3;18;9;1;
83597;10/07/1970;0000;19.4;17.8;84;1019.6;18;6;0;
83597;10/07/1970;1200;18.4;18.2;98;1021;23;6;10;
83597;10/07/1970;1800;20.6;19;86;1019.1;9;8;10;
83597;11/07/1970;0000;18.4;17.7;93;1020.8;23;3;9;
83597;11/07/1970;1200;19.2;18.4;92;1020.7;23;1;9;
