<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83612</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CAMPO GRANDE - AEROPORTO - MS (OMM: 83612)
Latitude  (graus) : -20.46
Longitude (graus) : -54.67
Altitude  (metros): 559.00
Esta��o Operante
Inicio de opera��o: 00/00/0000
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83612;01/01/2015;0000;25.7;;74;946.8;2;2.5722;0;
83612;01/01/2015;0600;23.8;;81;946.8;36;3.08664;0;
83612;01/01/2015;1200;26.4;;70;948.2;34;8.74548;6.25;
83612;01/01/2015;1800;27.3;;73;947.2;34;5.1444;6.25;
83612;02/01/2015;0000;25.1;;79;946.6;2;1.54332;0;
83612;02/01/2015;0600;22.9;;78;947.4;35;2.05776;0;
83612;02/01/2015;1200;25.8;;72;951.3;32;5.1444;5;
83612;02/01/2015;1800;31.5;;52;948.4;32;7.7166;7.5;
83612;03/01/2015;0000;23.1;;88;950.2;15;2.05776;3.75;
83612;03/01/2015;0600;22.1;;89;948.9;6;2.05776;3.75;
83612;03/01/2015;1200;24;;84;952.2;23;2.05776;8.75;
83612;03/01/2015;1800;30.3;;58;950;24;4.62996;8.75;
83612;04/01/2015;0000;24.9;;80;951;4;1.54332;7.5;
83612;04/01/2015;0600;22.6;;80;950.7;6;3.08664;8.75;
83612;04/01/2015;1200;25.1;;79;953.1;33;4.11552;7.5;
83612;04/01/2015;1800;30.9;;59;949.5;26;3.60108;7.5;
83612;05/01/2015;0000;20.8;;92;950.2;13;6.17328;8.75;
83612;05/01/2015;0600;20.3;;92;949.9;2;2.05776;6.25;
83612;05/01/2015;1200;24.5;;77;951.7;6;2.05776;6.25;
83612;05/01/2015;1800;29;;62;949.1;29;4.62996;7.5;
83612;06/01/2015;0000;22.2;;89;949.3;9;2.5722;8.75;
83612;06/01/2015;0600;21.9;;91;949.1;9;2.5722;8.75;
83612;06/01/2015;1200;27.2;;66;951.2;36;2.5722;6.25;
83612;06/01/2015;1800;29.7;;59;950;33;4.62996;8.75;
83612;07/01/2015;0000;25.4;;71;949.2;35;2.5722;8.75;
83612;07/01/2015;0600;22.1;;85;949.1;8;2.5722;8.75;
83612;07/01/2015;1200;27.6;;68;951.2;35;3.60108;3.75;
83612;07/01/2015;1800;32.5;;45;948.5;33;6.68772;6.25;
83612;08/01/2015;0000;25.2;;73;948;12;2.5722;6.25;
83612;08/01/2015;0600;22.6;;86;949.4;5;2.05776;6.25;
83612;08/01/2015;1200;27.7;;66;951.7;4;4.11552;5;
83612;08/01/2015;1800;27.7;;71;948.5;19;4.11552;10;
83612;09/01/2015;0600;22.8;;76;949;9;3.60108;5;
83612;09/01/2015;1200;25.9;;65;951.8;6;3.08664;8.75;
83612;09/01/2015;1800;29.3;;56;950.3;36;3.60108;8.75;
