<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83615</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : AGUA CLARA - MS (OMM: 83615)
Latitude  (graus) : -20.43
Longitude (graus) : -52.86
Altitude  (metros): 316.45
Esta��o Fechada
Inicio de opera��o: 01/09/1971
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83615;01/07/1971;1200;20;18.5;87;;23;1;10;
83615;01/07/1971;1800;20.2;19.7;96;;5;1;10;
83615;02/07/1971;0000;19.3;18.7;95;;0;0;10;
83615;02/07/1971;1200;19.8;18.8;91;;0;0;8;
83615;02/07/1971;1800;22.3;20.1;82;;14;2;8;
83615;03/07/1971;0000;19.7;19.3;96;;0;0;4;
83615;03/07/1971;1200;17.1;16.8;97;;0;0;10;
83615;03/07/1971;1800;29.7;24.6;67;;32;3;7;
83615;04/07/1971;0000;21.9;20.8;91;;32;1;7;
83615;04/07/1971;1200;19.6;19.5;99;;0;0;10;
83615;04/07/1971;1800;19.3;19.2;99;;36;1;10;
83615;05/07/1971;0000;15.3;14.8;95;;23;3;10;
83615;05/07/1971;1200;12.2;10.8;85;;23;1;6;
83615;05/07/1971;1800;18.2;14.5;68;;18;5;1;
83615;06/07/1971;0000;9.7;9.3;95;;0;0;0;
83615;06/07/1971;1200;5.8;5.7;99;;0;0;10;
83615;06/07/1971;1800;20.1;15.2;60;;14;3;0;
83615;07/07/1971;0000;10;9.9;99;;0;0;0;
83615;07/07/1971;1200;9.4;8;83;;14;1;0;
83615;07/07/1971;1800;22.7;17.8;63;;14;1;0;
83615;08/07/1971;0000;10.9;10.7;98;;0;0;0;
83615;08/07/1971;1200;9.9;9.8;99;;14;1;0;
83615;08/07/1971;1800;26.6;21.1;63;;14;1;0;
83615;09/07/1971;0000;15.9;15.6;97;;0;0;1;
83615;09/07/1971;1200;13.6;12.8;92;;14;1;3;
83615;09/07/1971;1800;30.1;22;50;;5;1;0;
83615;10/07/1971;0000;21.1;19.6;87;;14;1;0;
83615;10/07/1971;1200;15.6;14.7;91;;0;0;0;
83615;10/07/1971;1800;29.4;23.6;62;;23;2;0;
83615;11/07/1971;0000;18.8;18.5;97;;0;0;0;
83615;11/07/1971;1200;14.7;14.2;95;;14;2;3;
83615;11/07/1971;1800;27.8;22.3;63;;32;3;4;
83615;12/07/1971;0000;19.2;18.6;95;;0;0;0;
83615;12/07/1971;1200;17.7;15.8;83;;14;2;0;
83615;12/07/1971;1800;29.8;21.7;50;;5;3;0;
83615;13/07/1971;0000;18.2;16.8;87;;14;1;0;
83615;13/07/1971;1200;16.3;15.1;88;;0;0;8;
83615;13/07/1971;1800;29.5;22.2;54;;36;2;3;
83615;14/07/1971;0000;16.8;16.3;95;;0;0;0;
83615;14/07/1971;1200;15.8;13.8;81;;0;0;1;
83615;14/07/1971;1800;28.7;19.3;42;;5;3;6;
83615;15/07/1971;0000;15.5;14.8;93;;0;0;0;
83615;15/07/1971;1200;13.3;12;86;;0;0;0;
83615;15/07/1971;1800;28.4;19.8;45;;5;2;3;
83615;16/07/1971;0000;14.7;14.5;98;;5;1;0;
83615;16/07/1971;1200;12.6;12.1;95;;23;1;0;
83615;16/07/1971;1800;27.9;19.6;47;;5;2;2;
83615;17/07/1971;0000;18.2;16.5;84;;0;0;0;
83615;17/07/1971;1200;12.2;11.2;89;;5;1;0;
83615;17/07/1971;1800;29.4;21.9;53;;5;2;2;
83615;18/07/1971;0000;19.3;18.2;90;;5;1;3;
83615;18/07/1971;1200;14.1;12.7;86;;0;0;2;
83615;18/07/1971;1800;29.9;21.6;49;;36;3;0;
83615;19/07/1971;0000;19.9;17.3;79;;5;1;0;
83615;19/07/1971;1200;10.9;10.6;97;;0;0;6;
83615;19/07/1971;1800;29.9;21.2;47;;36;3;4;
83615;20/07/1971;0000;18.7;16.7;82;;36;1;0;
83615;20/07/1971;1200;15.9;14.3;84;;14;1;4;
83615;20/07/1971;1800;29.5;19.9;42;;36;5;3;
83615;21/07/1971;0000;18.1;17.1;91;;14;1;0;
83615;21/07/1971;1200;14;12.5;86;;32;1;1;
83615;21/07/1971;1800;31.5;21;40;;32;5;2;
83615;22/07/1971;0000;17.7;16.4;88;;32;1;0;
83615;22/07/1971;1200;14;12.4;85;;32;1;0;
83615;22/07/1971;1800;31.3;19.7;34;;32;1;6;
83615;23/07/1971;0000;16.7;16.3;96;;32;1;0;
83615;23/07/1971;1200;12.8;11.7;88;;32;1;0;
83615;23/07/1971;1800;29.2;19;38;;5;3;0;
83615;24/07/1971;0000;16.4;15.3;89;;14;1;0;
83615;24/07/1971;1200;13.2;12.8;96;;36;1;0;
83615;24/07/1971;1800;30;18.8;35;;18;3;0;
83615;25/07/1971;0000;14.7;14.3;96;;32;1;0;
83615;25/07/1971;1200;13.2;11.1;79;;23;1;0;
83615;25/07/1971;1800;31.6;20.2;36;;32;1;0;
83615;26/07/1971;0000;17.7;16.2;86;;32;1;2;
83615;26/07/1971;1200;13.6;12.7;91;;32;1;3;
