<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83616</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : PRESIDENTE PRUDENTE - SP (OMM: 83616)
Latitude  (graus) : -22.17
Longitude (graus) : -51.41
Altitude  (metros): 450.00
Esta��o Operante
Inicio de opera��o: 00/00/0000
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83616;01/01/2015;0000;28.2;;59;959.1;4;2.5722;7.5;
83616;01/01/2015;0600;25.7;;73;958.8;3;6.17328;3.75;
83616;01/01/2015;1200;29.4;;56;961.3;36;3.60108;7.5;
83616;01/01/2015;1800;34.6;;37;957.8;31;6.17328;2.5;
83616;02/01/2015;0000;27.1;;64;958.6;6;3.08664;5;
83616;02/01/2015;0600;24.4;;77;958.9;5;1.02888;7.5;
83616;02/01/2015;1200;29.9;;52;962.4;29;4.62996;6.25;
83616;02/01/2015;1800;34.2;;34;959.5;29;5.1444;5;
83616;03/01/2015;0000;25.5;;69;961.5;17;1.54332;6.25;
83616;03/01/2015;0600;22.7;;89;960.9;21;1.02888;5;
83616;03/01/2015;1200;27.8;;66;963.2;7;2.05776;7.5;
83616;03/01/2015;1800;27.1;;56;961.3;28;6.17328;8.75;
83616;04/01/2015;0000;24.5;;69;962.1;12;1.54332;10;
83616;04/01/2015;0600;23.5;;77;962.1;35;2.05776;8.75;
83616;04/01/2015;1200;25.8;;64;965.7;4;4.62996;8.75;
83616;04/01/2015;1800;28.5;;60;963.2;23;3.08664;10;
83616;05/01/2015;0000;21.7;;92;962.5;0;0;10;
83616;05/01/2015;0600;20.8;;92;961.8;13;1.54332;8.75;
83616;05/01/2015;1200;24.7;;76;963.8;12;4.11552;10;
83616;05/01/2015;1800;31.6;;45;961.2;0;0;8.75;
83616;06/01/2015;0000;22.7;;91;962.4;4;4.62996;8.75;
83616;06/01/2015;0600;22;;92;961.8;7;5.1444;10;
83616;06/01/2015;1200;23.9;;75;964.9;6;3.60108;8.75;
83616;06/01/2015;1800;31.5;;48;962.6;1;3.08664;5;
83616;07/01/2015;0000;27.6;;65;962.1;5;2.5722;6.25;
83616;07/01/2015;0600;24;;77;961.5;8;3.60108;7.5;
83616;07/01/2015;1200;28.9;;55;963.3;3;4.11552;7.5;
83616;07/01/2015;1800;32;;49;961;20;2.5722;7.5;
83616;08/01/2015;0000;26.7;;67;961.3;12;3.60108;8.75;
83616;08/01/2015;0600;23.7;;73;962;10;3.60108;8.75;
83616;08/01/2015;1200;25.2;;68;964;5;4.11552;8.75;
83616;08/01/2015;1800;33.2;;35;960.9;3;3.60108;6.25;
83616;09/01/2015;0600;22.6;;77;962.6;16;4.11552;10;
83616;09/01/2015;1200;25.1;;68;964;11;2.05776;8.75;
83616;09/01/2015;1800;34.3;;31;961.6;29;3.08664;6.25;
83616;10/01/2015;0000;28;;61;961.6;0;0;5;
83616;10/01/2015;0600;23.6;;80;961.6;8;2.05776;3.75;
83616;10/01/2015;1200;30.5;;53;964.3;0;0;3.75;
83616;10/01/2015;1800;34.8;;31;960.9;0;0;2.5;
83616;11/01/2015;0000;28.7;;57;961.5;16;3.60108;2.5;
83616;11/01/2015;0600;25.6;;76;960.5;13;6.17328;3.75;
83616;11/01/2015;1200;30.6;;55;963;9;3.60108;2.5;
83616;11/01/2015;1800;35.4;;35;960.7;36;2.5722;7.5;
83616;12/01/2015;0000;25.8;;60;961.8;8;4.62996;8.75;
83616;12/01/2015;0600;25.3;;58;961.2;6;5.1444;10;
83616;12/01/2015;1200;29.6;;54;963.3;1;4.62996;7.5;
83616;12/01/2015;1800;35.5;;32;960.8;27;2.5722;2.5;
83616;13/01/2015;0000;28.7;;63;960.7;14;3.08664;0;
83616;13/01/2015;0600;26.8;;70;960.3;12;4.11552;3.75;
83616;13/01/2015;1200;31.2;;50;963.5;3;3.60108;6.25;
83616;13/01/2015;1800;36.2;;;959.5;2;2.05776;2.5;
83616;14/01/2015;0000;30.6;;38;959.8;8;2.5722;10;
83616;14/01/2015;0600;25.2;;57;960;8;2.05776;7.5;
83616;14/01/2015;1200;25.4;;64;965.1;15;5.65884;10;
