<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83629</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : USINA JUNQUEIRA - SP (OMM: 83629)
Latitude  (graus) : -20
Longitude (graus) : -47.76
Altitude  (metros): 560.00
Esta��o Fechada
Inicio de opera��o: 01/01/1928
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83629;01/01/1961;1200;23.8;21.8;83;947.6;0;0;10;
83629;01/01/1961;1800;26.8;22.4;66;944.8;18;1;10;
83629;02/01/1961;0000;21.6;20.8;93;946.3;0;0;10;
83629;02/01/1961;1200;23.6;21.8;84;947.1;0;0;10;
83629;02/01/1961;1800;21.8;21.2;95;945.5;9;3;10;
83629;03/01/1961;0000;21.4;20.6;93;945.6;0;0;10;
83629;03/01/1961;1200;22.6;21.8;93;945.8;0;0;10;
83629;03/01/1961;1800;23;22.4;95;944.4;14;7;10;
83629;04/01/1961;0000;22;21.4;94;945.5;0;0;10;
83629;04/01/1961;1200;24.6;22.4;82;945.5;14;3;10;
83629;04/01/1961;1800;25.4;23.4;84;943.6;14;1;10;
83629;05/01/1961;0000;22.2;21.4;92;945.1;0;0;10;
83629;05/01/1961;1200;24;22.6;88;946;0;0;10;
83629;05/01/1961;1800;26.8;23.8;76;943.1;0;0;10;
83629;06/01/1961;0000;22.8;22.2;95;944.6;0;0;10;
83629;06/01/1961;1200;24.6;22.2;81;947;14;3;10;
83629;06/01/1961;1800;25.8;23.2;80;944.6;0;0;10;
83629;07/01/1961;0000;22.6;22;95;946;14;5;10;
83629;07/01/1961;1200;26.6;23.4;75;946.7;0;0;8;
83629;07/01/1961;1800;23.2;22.4;93;944.8;9;10;10;
83629;08/01/1961;0000;22.6;21.6;91;946.3;0;0;10;
83629;08/01/1961;1200;25.8;23.6;83;947;0;0;10;
83629;08/01/1961;1800;28.4;24.2;70;944.3;23;1;8;
83629;09/01/1961;0000;22.8;21.2;87;946.2;0;0;10;
83629;09/01/1961;1200;24;22.8;89;947.6;0;0;10;
83629;09/01/1961;1800;27.8;24.4;74;945.1;23;1;8;
83629;10/01/1961;0000;23.2;22;89;946.4;0;0;10;
83629;10/01/1961;1200;26.6;23.2;74;947.9;9;1;6;
83629;10/01/1961;1800;29.4;24.4;66;945;5;5;4;
83629;11/01/1961;0000;25.2;23.2;84;946.3;5;1;10;
83629;11/01/1961;1200;25.4;22.4;76;946.7;0;0;10;
83629;11/01/1961;1800;30.6;23.8;56;944.2;5;3;8;
83629;12/01/1961;0000;22.2;20.8;87;946.3;0;0;10;
83629;12/01/1961;1200;24.2;22.4;85;947;0;0;10;
83629;12/01/1961;1800;22.8;22;93;946.3;27;3;10;
83629;13/01/1961;0000;21.6;20.6;91;948.2;27;1;10;
83629;13/01/1961;1200;22.8;20.4;80;950;23;1;10;
83629;13/01/1961;1800;27.4;22;62;947.2;14;5;4;
83629;14/01/1961;0000;22.6;20.2;80;948.7;27;1;0;
83629;14/01/1961;1200;26.6;21.6;63;949.6;27;1;8;
83629;14/01/1961;1800;24.8;22.4;80;946.6;9;1;10;
83629;15/01/1961;0000;22.4;21.2;90;947.9;0;0;0;
83629;15/01/1961;1200;26.4;22;68;949.4;0;0;6;
83629;15/01/1961;1800;30.2;23;53;946.8;27;1;8;
83629;16/01/1961;0000;23.4;21;80;948.4;0;0;8;
83629;16/01/1961;1200;26;21.8;68;950.2;23;1;4;
83629;16/01/1961;1800;32;23;45;946.3;0;0;4;
83629;17/01/1961;0000;24;21.6;80;948.6;0;0;10;
83629;17/01/1961;1200;27.2;22.8;67;951.5;23;1;6;
83629;17/01/1961;1800;27.4;22;62;949.6;5;7;10;
83629;18/01/1961;0000;23.4;21.8;86;951.5;0;0;0;
83629;18/01/1961;1200;27.6;23.4;68;952.8;0;0;0;
83629;18/01/1961;1800;31.4;22.6;45;950;9;5;8;
83629;19/01/1961;0000;25.6;22;73;951.4;0;0;0;
83629;19/01/1961;1200;28.2;23.4;66;953.4;0;0;0;
83629;19/01/1961;1800;32;23.6;48;950.3;5;3;10;
83629;20/01/1961;0000;25.4;23.4;84;951.1;0;0;10;
83629;20/01/1961;1200;27.6;23;67;952.3;0;0;4;
83629;20/01/1961;1800;30.6;24.2;58;949;36;5;10;
83629;21/01/1961;0000;24.6;21.8;77;950.4;36;5;10;
83629;21/01/1961;1200;26.2;22.8;74;950.3;0;0;6;
83629;21/01/1961;1800;30.2;24;59;947.2;0;0;8;
83629;22/01/1961;0000;24.2;22;82;948.8;0;0;10;
83629;22/01/1961;1200;25.6;20.4;61;949.2;18;1;8;
83629;22/01/1961;1800;28.8;23.8;65;946.2;0;0;8;
83629;23/01/1961;0000;23.4;22;88;947.5;27;3;10;
83629;23/01/1961;1200;28;24;70;948.8;0;0;6;
83629;23/01/1961;1800;28.8;24.2;68;945.6;0;0;8;
83629;24/01/1961;0000;24.2;22.8;88;947.1;0;0;10;
83629;24/01/1961;1200;27.4;24;74;948.2;0;0;10;
83629;24/01/1961;1800;24.6;23;87;946.3;27;1;10;
83629;25/01/1961;0000;23.2;22;89;947.6;0;0;6;
83629;25/01/1961;1200;26;23.4;79;948.9;23;1;10;
83629;25/01/1961;1800;23.6;22.6;92;946;0;0;10;
83629;26/01/1961;0000;23.4;22.8;94;946.4;0;0;10;
83629;26/01/1961;1200;24;22.8;89;946.2;9;1;10;
83629;26/01/1961;1800;24.2;22.4;85;944.6;0;0;10;
83629;27/01/1961;0000;22.2;21.4;92;947.1;0;0;10;
83629;27/01/1961;1200;22.2;19.6;78;948.6;27;1;10;
83629;27/01/1961;1800;22.4;21;88;947.6;0;0;10;
83629;28/01/1961;0000;20.8;19.8;91;949;0;0;10;
83629;28/01/1961;1200;22.6;20.6;83;949.4;0;0;10;
83629;28/01/1961;1800;25.6;22.4;75;947;0;0;10;
83629;29/01/1961;0000;20.8;20.2;95;948.8;0;0;10;
83629;29/01/1961;1200;23.6;21;78;951.5;0;0;10;
83629;29/01/1961;1800;23.8;21.8;83;949.8;0;0;10;
83629;30/01/1961;0000;22;21.2;93;951.2;0;0;10;
83629;30/01/1961;1200;25.6;22.4;75;951;0;0;8;
83629;30/01/1961;1800;26.4;22.6;72;948;14;5;10;
83629;31/01/1961;0000;23.2;21.8;87;949.8;0;0;10;
83629;31/01/1961;1200;24.8;21.8;75;950.3;0;0;8;
83629;31/01/1961;1800;23.8;22;85;947.5;9;1;10;
83629;01/02/1961;0000;23.2;21.4;84;949;0;0;10;
