<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83637</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : OLIVEIRA - MG (OMM: 83637)
Latitude  (graus) : -20.68
Longitude (graus) : -44.81
Altitude  (metros): 966.50
Esta��o Operante
Inicio de opera��o: 05/07/1913
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83637;03/05/1962;1200;18.2;17.9;96;909.9;0;0;10;
83637;03/05/1962;1800;23.9;19.8;67;907.5;27;3;6;
83637;04/05/1962;0000;17.4;17.1;97;909.6;0;0;2;
83637;04/05/1962;1200;18.3;16.2;80;911.4;14;3;4;
83637;04/05/1962;1800;24.1;18;54;909.5;18;2;3;
83637;05/05/1962;0000;15.9;13.5;76;910.7;14;1;0;
83637;05/05/1962;1200;15.6;13.4;77;911.2;0;0;0;
83637;05/05/1962;1800;22.9;17.3;56;907.6;32;3;6;
83637;06/05/1962;0000;16.5;15;84;908.4;0;0;0;
83637;06/05/1962;1200;13.8;12;80;910;14;1;0;
83637;06/05/1962;1800;23.7;13.1;25;907.4;27;4;0;
83637;07/05/1962;0000;14.8;11.3;65;909.6;0;0;0;
83637;07/05/1962;1200;16.2;12.4;63;912.3;18;1;0;
83637;07/05/1962;1800;23.8;14;30;910.3;23;3;0;
83637;08/05/1962;0000;13.7;9.7;59;912;18;2;0;
83637;08/05/1962;1200;14.5;11.6;70;915.4;14;3;2;
83637;08/05/1962;1800;19.9;13.4;46;913.2;14;2;2;
83637;09/05/1962;0000;13;10.6;73;908.3;14;2;0;
83637;09/05/1962;1200;15.3;12.2;68;916.8;14;1;4;
83637;09/05/1962;1800;19.1;13.1;48;913.6;0;0;5;
83637;10/05/1962;0000;13.2;10.7;72;915.4;14;3;3;
83637;10/05/1962;1200;13.9;10.6;65;917.6;14;2;7;
83637;10/05/1962;1800;19.5;13.3;46;915.4;9;2;7;
83637;11/05/1962;0000;13.7;11.1;73;916.8;9;1;0;
83637;11/05/1962;1200;14.9;12;70;917.6;9;2;3;
83637;11/05/1962;1800;21.1;14.4;45;914.6;0;0;7;
83637;12/05/1962;0000;15.2;12.4;72;916.6;0;0;4;
83637;12/05/1962;1200;16.1;13.8;76;916.3;0;0;8;
83637;12/05/1962;1800;19.6;15.1;61;914.2;0;0;10;
83637;13/05/1962;0000;14.8;13.6;88;914.4;0;0;9;
83637;13/05/1962;1200;17.8;13.9;64;914.3;9;3;9;
83637;13/05/1962;1800;22.8;15.8;46;911.5;14;1;7;
83637;14/05/1962;0000;15.6;12.9;73;912.4;0;0;2;
