<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83638</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : OURO BRANCO - MG (OMM: 83638)
Latitude  (graus) : -20.5
Longitude (graus) : -43.7
Altitude  (metros): 1072.17
Esta��o Desativada
Inicio de opera��o: 14/08/1977
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83638;01/06/1978;1200;11.2;10;87;897.1;27;1;7;
83638;01/06/1978;1800;17.4;13;62;894.2;27;5;6;
83638;02/06/1978;1200;10.2;10.2;100;898;0;0;8;
83638;02/06/1978;1800;20.8;15.6;60;895.1;32;7;6;
83638;03/06/1978;1200;14.6;13.9;94;898.8;23;1;7;
83638;03/06/1978;1800;22.4;19;74;895.9;32;9;6;
83638;04/06/1978;1200;19.3;17;81;900.4;27;2;3;
83638;04/06/1978;1800;22;17.6;66;896.3;23;3;8;
83638;05/06/1978;1200;14;13.3;94;901.9;9;3;8;
83638;05/06/1978;1800;18.6;16.6;83;899.4;18;3;9;
83638;06/06/1978;1200;12;12;100;903.1;14;5;10;
83638;06/06/1978;1800;13.8;13.4;96;900.7;14;7;10;
83638;07/06/1978;1200;16.6;15.4;89;895.4;32;3;5;
83638;07/06/1978;1800;22.2;18.8;74;897.9;32;5;5;
83638;08/06/1978;1200;17.6;16.2;87;897.5;32;7;5;
83638;08/06/1978;1800;22.5;20;81;894.8;32;9;4;
83638;09/06/1978;1200;20;18.6;88;897.4;32;5;7;
83638;09/06/1978;1800;24.2;20.8;75;895.4;27;5;6;
83638;10/06/1978;1200;17.4;16.8;94;899.4;18;1;7;
83638;10/06/1978;1800;20.6;18.4;81;898;18;5;7;
83638;11/06/1978;1200;15;13.8;89;902.3;9;5;3;
83638;11/06/1978;1800;18.6;16.8;85;901;9;3;4;
83638;12/06/1978;1200;12.6;12.4;98;903.6;18;1;10;
83638;12/06/1978;1800;16.6;14.8;83;901.9;18;7;7;
83638;13/06/1978;1200;11.6;11.6;99;903.5;14;1;10;
