<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83639</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CAPARAO - MG (OMM: 83639)
Latitude  (graus) : -20.51
Longitude (graus) : -41.9
Altitude  (metros): 843.18
Esta��o Operante
Inicio de opera��o: 17/11/1972
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83639;19/02/1973;1200;25;21.5;75;923.1;5;1.5;3;
83639;19/02/1973;1800;29.6;21.5;51;920.8;9;2.1;5;
83639;20/02/1973;0000;22.8;19.2;73;922.6;27;2.6;2;
83639;20/02/1973;1200;24.1;21.1;78;923.2;0;0;4;
83639;20/02/1973;1800;27;22.2;67;920;23;4.6;8;
83639;21/02/1973;0000;20.4;19.5;92;921.2;0;0;10;
83639;21/02/1973;1200;22.8;21.4;89;921.9;32;2.6;9;
83639;21/02/1973;1800;29.6;22.6;57;920.4;23;2.1;6;
83639;22/02/1973;0000;23.6;21.6;85;920.6;0;0;5;
83639;22/02/1973;1200;23;20.4;79;922.4;32;3.6;8;
83639;22/02/1973;1800;29.4;21.9;51;919.2;32;4.1;3;
83639;23/02/1973;0000;20.5;19;87;920.4;0;0;0;
83639;23/02/1973;1200;22.5;20;81;922.4;32;2.6;8;
83639;23/02/1973;1800;29.8;22.2;54;918.6;0;0;6;
83639;24/02/1973;0000;24.6;21.3;76;920.2;36;3.6;4;
83639;24/02/1973;1200;23.6;20.8;79;921;0;0;4;
83639;24/02/1973;1800;26.6;22.4;68;918.4;36;3.6;4;
83639;25/02/1973;0000;24.4;21.2;76;920.8;14;1.5;0;
83639;25/02/1973;1200;24.1;20.5;73;921.2;32;2.1;3;
83639;25/02/1973;1800;24;20.8;76;918.2;23;2.6;7;
83639;26/02/1973;0000;21.8;19.8;84;920.4;0;0;8;
83639;26/02/1973;1200;23;20.4;79;922.4;36;2.6;8;
83639;26/02/1973;1800;24;20;70;919.9;9;4.6;10;
83639;27/02/1973;0000;19;18.9;99;921.4;32;2.1;3;
