<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83645</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : ALEGRE - ES (OMM: 83645)
Latitude  (graus) : -20.75
Longitude (graus) : -41.49
Altitude  (metros): 150.00
Esta��o Fechada
Inicio de opera��o: 01/07/1975
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83645;01/07/1975;1200;19.4;18.2;88;;0;0;6;
83645;01/07/1975;1800;21.8;19;76;;18;5;7;
83645;02/07/1975;0000;18.9;17;82;;0;0;0;
83645;02/07/1975;1200;21.4;17.4;65;;0;0;0;
83645;02/07/1975;1800;25.2;19.4;56;;0;0;3;
83645;03/07/1975;0000;18.9;17;82;;0;0;0;
83645;03/07/1975;1200;18.5;16.4;79;;0;0;5;
83645;03/07/1975;1800;27.8;21.5;55;;0;0;3;
83645;04/07/1975;0000;19.8;18.7;90;;0;0;0;
83645;04/07/1975;1200;17.5;16.8;93;;0;0;9;
83645;04/07/1975;1800;17.2;15.4;82;;0;0;9;
83645;05/07/1975;0000;16.2;16;98;;0;0;0;
83645;05/07/1975;1200;17;15.8;88;;0;0;0;
83645;05/07/1975;1800;25.4;19.5;56;;0;0;0;
83645;06/07/1975;0000;16.2;15.2;89;;0;0;0;
83645;06/07/1975;1200;18.6;17.2;87;;0;0;8;
83645;06/07/1975;1800;21.4;18.8;77;;5;5;7;
83645;07/07/1975;0000;17.2;15.9;87;;0;0;0;
83645;07/07/1975;1200;14.4;13;85;;0;0;0;
83645;07/07/1975;1800;22.4;15.9;47;;0;0;0;
83645;08/07/1975;0000;15.4;13.6;81;;0;0;0;
83645;08/07/1975;1200;14.8;12.8;78;;0;0;0;
83645;08/07/1975;1800;21.8;16;51;;0;0;1;
83645;09/07/1975;0000;15.6;14.5;88;;0;0;0;
83645;09/07/1975;1200;16.1;14.2;80;;0;0;1;
83645;09/07/1975;1800;22.6;17.3;56;;9;3;2;
83645;10/07/1975;0000;15.6;14.8;91;;0;0;0;
83645;10/07/1975;1200;15.9;14.8;88;;0;0;8;
83645;10/07/1975;1800;23.6;19.9;70;;0;0;3;
83645;11/07/1975;0000;17.4;16.5;91;;0;0;6;
83645;11/07/1975;1200;16.6;15;84;;0;0;4;
83645;11/07/1975;1800;24.8;18.2;50;;0;0;1;
83645;12/07/1975;0000;16.8;15.9;91;;0;0;0;
83645;12/07/1975;1200;17.4;14.8;74;;0;0;0;
83645;12/07/1975;1800;26;17.2;37;;0;0;0;
83645;13/07/1975;0000;16.2;14.8;85;;0;0;0;
83645;13/07/1975;1200;18.8;15.9;73;;0;0;0;
83645;13/07/1975;1800;27.4;18.6;40;;0;0;0;
83645;14/07/1975;0000;17;15;80;;0;0;0;
83645;14/07/1975;1200;16;14.8;87;;0;0;0;
83645;14/07/1975;1800;25.5;18.4;47;;9;3;3;
83645;15/07/1975;0000;17.6;16.2;86;;0;0;0;
83645;15/07/1975;1200;20.4;17.2;72;;0;0;0;
83645;15/07/1975;1800;27.4;19.1;43;;5;3;1;
83645;16/07/1975;0000;18.7;16.7;81;;0;0;0;
83645;16/07/1975;1200;20.6;17.8;74;;0;0;0;
83645;16/07/1975;1800;26.1;19.2;49;;36;3;0;
83645;17/07/1975;0000;18.4;16.4;80;;0;0;0;
83645;17/07/1975;1200;20.5;17.2;71;;0;0;2;
83645;17/07/1975;1800;27.2;20;49;;9;3;3;
83645;18/07/1975;0000;20.4;18.7;85;;0;0;9;
83645;18/07/1975;1200;16;14.3;82;;5;3;9;
83645;18/07/1975;1800;17.4;14.7;73;;0;0;9;
83645;19/07/1975;0000;13.8;12.1;81;;0;0;9;
83645;19/07/1975;1200;15;12.4;72;;0;0;9;
83645;19/07/1975;1800;18.3;14;60;;0;0;9;
83645;20/07/1975;0000;16.4;13.8;73;;0;0;9;
83645;20/07/1975;1200;16.2;14.2;79;;0;0;9;
83645;20/07/1975;1800;18.8;15.6;70;;0;0;9;
83645;21/07/1975;0000;17.1;15;79;;0;0;9;
83645;21/07/1975;1200;15.6;14.2;85;;0;0;9;
83645;21/07/1975;1800;21.6;16.2;55;;0;0;9;
83645;22/07/1975;0000;15.1;13.8;86;;0;0;9;
83645;22/07/1975;1200;16;13.5;74;;0;0;4;
83645;22/07/1975;1800;20.5;15.4;55;;0;0;7;
83645;23/07/1975;0000;14.8;12.8;78;;0;0;6;
83645;23/07/1975;1200;14.8;13.9;90;;0;0;9;
83645;23/07/1975;1800;18.8;15.5;69;;0;0;9;
83645;24/07/1975;0000;17;15;80;;0;0;9;
83645;24/07/1975;1200;16.9;15;81;;0;0;7;
83645;24/07/1975;1800;24.8;18.4;51;;5;3;5;
83645;25/07/1975;0000;19;17.2;83;;0;0;9;
83645;25/07/1975;1200;20.6;17.9;75;;0;0;9;
83645;25/07/1975;1800;25.2;18.5;50;;0;0;9;
83645;26/07/1975;0000;17;15;80;;0;0;9;
83645;26/07/1975;1200;19.2;16.4;73;;0;0;0;
83645;26/07/1975;1800;25.5;19.2;53;;9;3;7;
83645;27/07/1975;0000;19.1;17.5;84;;0;0;8;
83645;27/07/1975;1200;18.7;16.7;81;;0;0;7;
83645;27/07/1975;1800;23;17.7;57;;0;0;5;
83645;28/07/1975;0000;16.9;16.4;95;;0;0;3;
83645;28/07/1975;1200;16.5;15.6;91;;0;0;7;
83645;28/07/1975;1800;21.2;16.2;58;;5;3;7;
83645;29/07/1975;0000;17.5;15.3;78;;0;0;8;
83645;29/07/1975;1200;18.7;16.3;77;;0;0;3;
83645;29/07/1975;1800;24.5;17.6;47;;0;0;2;
83645;30/07/1975;0000;16.7;15.2;85;;0;0;0;
83645;30/07/1975;1200;16.9;14.8;79;;0;0;0;
83645;30/07/1975;1800;24.4;16.8;43;;14;3;4;
83645;31/07/1975;0000;16.4;15;85;;0;0;0;
83645;31/07/1975;1200;17.2;14.8;76;;0;0;8;
83645;31/07/1975;1800;25.2;18.6;51;;0;0;4;
83645;01/08/1975;0000;18;16.9;89;;0;0;3;
83645;01/08/1975;1200;20.2;18;79;;0;0;7;
83645;01/08/1975;1800;25.4;18.4;48;;36;5;9;
83645;02/08/1975;0000;20.1;17.8;78;;0;0;6;
83645;02/08/1975;1200;21.2;17.4;67;;0;0;4;
83645;02/08/1975;1800;26.7;17.4;35;;0;0;7;
83645;03/08/1975;0000;17.4;15.2;78;;0;0;0;
83645;03/08/1975;1200;22.4;18.2;65;;0;0;0;
83645;03/08/1975;1800;28.5;19;37;;36;3;1;
83645;04/08/1975;0000;19;16.8;78;;0;0;0;
83645;04/08/1975;1200;19.6;17.4;79;;0;0;9;
83645;04/08/1975;1800;29.4;19.6;36;;0;0;4;
83645;05/08/1975;0000;20.7;17.6;72;;0;0;0;
83645;05/08/1975;1200;23.3;18.9;64;;0;0;0;
83645;05/08/1975;1800;29.3;19.9;38;;0;0;1;
83645;06/08/1975;0000;19.9;17.2;76;;0;0;0;
83645;06/08/1975;1200;22.4;18.8;69;;0;0;1;
83645;06/08/1975;1800;30.8;21.4;40;;0;0;0;
83645;07/08/1975;0000;21.1;19;81;;0;0;0;
83645;07/08/1975;1200;21.9;18.3;69;;0;0;1;
83645;07/08/1975;1800;29.6;19.9;37;;0;0;2;
83645;08/08/1975;0000;21.2;19.2;82;;0;0;0;
83645;08/08/1975;1200;21.9;18.3;69;;0;0;1;
83645;08/08/1975;1800;30;20.2;37;;0;0;0;
83645;09/08/1975;0000;20.2;18.5;84;;0;0;0;
83645;09/08/1975;1200;20.2;17.9;78;;0;0;3;
83645;09/08/1975;1800;26.5;20.2;54;;36;3;4;
83645;10/08/1975;0000;20.2;18.2;81;;0;0;8;
83645;10/08/1975;1200;20.2;17.4;74;;0;0;3;
83645;10/08/1975;1800;24;18.6;58;;36;5;7;
83645;11/08/1975;0000;20.6;17.7;74;;0;0;7;
83645;11/08/1975;1200;19;16.9;80;;0;0;6;
83645;11/08/1975;1800;26.7;18.4;41;;5;3;8;
83645;12/08/1975;0000;19.2;16.6;75;;0;0;3;
83645;12/08/1975;1200;22.6;18.4;65;;0;0;4;
83645;12/08/1975;1800;28.8;19;36;;0;0;3;
83645;13/08/1975;0000;20.2;17.6;76;;0;0;0;
83645;13/08/1975;1200;22.4;18.4;66;;0;0;2;
83645;13/08/1975;1800;29.4;20;38;;0;0;6;
83645;14/08/1975;0000;20;17.6;78;;0;0;0;
83645;14/08/1975;1200;20.8;16.9;66;;0;0;5;
83645;14/08/1975;1800;26.5;19.5;49;;0;0;5;
83645;15/08/1975;0000;19.9;17.5;78;;0;0;8;
83645;15/08/1975;1200;17.8;16.6;88;;0;0;9;
83645;15/08/1975;1800;21.7;18.8;74;;0;0;8;
83645;16/08/1975;0000;19.6;18.4;89;;0;0;3;
83645;16/08/1975;1200;20.8;17.9;74;;0;0;4;
83645;16/08/1975;1800;26.6;19;46;;0;0;0;
83645;17/08/1975;0000;18.8;17.5;87;;0;0;0;
83645;17/08/1975;1200;21.4;17.1;63;;0;0;0;
83645;17/08/1975;1800;28.2;18.2;33;;5;3;1;
83645;18/08/1975;0000;19.6;17.4;79;;0;0;0;
83645;18/08/1975;1200;17.4;14.5;71;;0;0;6;
83645;18/08/1975;1800;27.1;17.3;34;;0;0;7;
83645;19/08/1975;0000;19.9;17.2;76;;0;0;0;
83645;19/08/1975;1200;21.6;16.9;60;;0;0;0;
83645;19/08/1975;1800;28.6;18.1;32;;0;0;3;
83645;20/08/1975;0000;19.6;17;76;;0;0;0;
83645;20/08/1975;1200;21.2;16.9;63;;0;0;0;
83645;20/08/1975;1800;28;19.9;44;;0;0;5;
83645;21/08/1975;0000;19.4;17;78;;0;0;0;
83645;21/08/1975;1200;22.2;17.4;60;;0;0;0;
83645;21/08/1975;1800;29.4;21.5;47;;9;3;0;
83645;22/08/1975;0000;19.8;16.9;74;;0;0;0;
83645;22/08/1975;1200;21.4;16.8;60;;0;0;0;
83645;22/08/1975;1800;27.9;18.7;37;;0;0;7;
83645;23/08/1975;0000;19.6;17.6;81;;0;0;0;
83645;23/08/1975;1200;22.3;17.6;61;;5;3;4;
83645;23/08/1975;1800;28.5;18.2;32;;36;5;4;
83645;24/08/1975;0000;20;16.9;72;;0;0;1;
83645;24/08/1975;1200;24.2;18.3;54;;32;5;8;
83645;24/08/1975;1800;30;19.9;35;;36;5;4;
83645;25/08/1975;0000;20.6;16.6;65;;0;0;0;
83645;25/08/1975;1200;20.8;17.5;71;;0;0;0;
83645;25/08/1975;1800;28.3;18.2;33;;5;3;3;
83645;26/08/1975;0000;20;16.7;70;;0;0;0;
83645;26/08/1975;1200;22.8;18.2;62;;0;0;0;
83645;26/08/1975;1800;31;19.2;28;;0;0;0;
83645;27/08/1975;0000;21.8;18.5;72;;18;3;0;
83645;27/08/1975;1200;15.2;14.6;93;;0;0;9;
83645;27/08/1975;1800;26.6;19.7;50;;5;3;1;
83645;28/08/1975;0000;21.2;19;80;;0;0;9;
83645;28/08/1975;1200;22.8;19.3;70;;0;0;5;
83645;28/08/1975;1800;28.9;20.4;42;;0;0;6;
83645;29/08/1975;0000;21.4;19.4;82;;0;0;6;
83645;29/08/1975;1200;22.7;17.6;58;;0;0;0;
83645;29/08/1975;1800;29.5;19.1;33;;5;5;3;
83645;30/08/1975;0000;21.7;17.1;61;;0;0;0;
83645;30/08/1975;1200;23.3;17.8;55;;5;3;0;
83645;30/08/1975;1800;30.6;19;29;;0;0;0;
83645;31/08/1975;0000;20.4;18;78;;0;0;0;
83645;31/08/1975;1200;22.4;17.9;62;;0;0;2;
83645;31/08/1975;1800;28.8;19.2;37;;0;0;3;
83645;01/09/1975;0000;21.3;18.5;76;;0;0;0;
83645;01/09/1975;1200;20.4;17.9;77;;0;0;0;
83645;01/09/1975;1800;30;20;36;;0;0;1;
83645;02/09/1975;0000;21;18.5;78;;0;0;0;
83645;02/09/1975;1200;22.2;17.5;61;;0;0;0;
83645;02/09/1975;1800;23.9;19;61;;0;0;9;
83645;03/09/1975;0000;21;17.5;69;;0;0;5;
83645;03/09/1975;1200;21.6;17;61;;0;0;8;
83645;03/09/1975;1800;24.4;18;51;;0;0;6;
83645;04/09/1975;0000;19.1;16.1;72;;0;0;6;
83645;04/09/1975;1200;19.6;16.4;70;;0;0;5;
83645;04/09/1975;1800;25.6;17.2;39;;0;0;1;
83645;05/09/1975;0000;17.4;16.8;94;;0;0;0;
83645;05/09/1975;1200;19.6;15.3;61;;0;0;0;
83645;05/09/1975;1800;27.4;19.3;44;;9;5;1;
83645;06/09/1975;0000;20.4;18.6;84;;0;0;0;
83645;06/09/1975;1200;21.6;17.5;65;;0;0;5;
83645;06/09/1975;1800;27.4;19.7;46;;5;3;4;
83645;07/09/1975;0000;21.4;18.4;74;;0;0;0;
83645;07/09/1975;1200;25.4;19.4;55;;32;3;0;
83645;07/09/1975;1800;32.8;19.7;25;;0;0;2;
83645;08/09/1975;0000;23.3;18.4;60;;0;0;0;
83645;08/09/1975;1200;22.2;18.8;71;;0;0;4;
83645;08/09/1975;1800;30.4;21.8;44;;0;0;0;
83645;09/09/1975;0000;22.9;21;84;;0;0;0;
83645;09/09/1975;1200;23.9;19.1;62;;0;0;0;
83645;09/09/1975;1800;30.4;19.6;32;;0;0;4;
83645;10/09/1975;0000;22.2;19.8;79;;0;0;0;
83645;10/09/1975;1200;24;17.4;48;;5;3;1;
83645;10/09/1975;1800;30.6;19.9;33;;36;3;1;
83645;11/09/1975;0000;23.4;18.3;59;;0;0;0;
83645;11/09/1975;1200;24.7;19.3;58;;0;0;4;
83645;11/09/1975;1800;30.4;19.6;32;;36;5;1;
83645;12/09/1975;0000;23.2;20.2;75;;0;0;0;
83645;12/09/1975;1200;24;18.6;58;;0;0;4;
83645;12/09/1975;1800;30;19;31;;0;0;1;
83645;13/09/1975;0000;21;18.2;75;;0;0;0;
83645;13/09/1975;1200;22.9;17.2;54;;0;0;0;
83645;13/09/1975;1800;29.9;18.8;30;;9;3;0;
83645;14/09/1975;0000;20.2;18.2;81;;0;0;0;
83645;14/09/1975;1200;22.7;17.4;56;;0;0;1;
83645;14/09/1975;1800;29.9;19.3;32;;0;0;5;
83645;15/09/1975;0000;21.2;18.8;78;;0;0;4;
83645;15/09/1975;1200;22;17.4;61;;32;5;0;
83645;15/09/1975;1800;31.9;20;29;;5;5;3;
83645;16/09/1975;0000;21.8;18;67;;0;0;8;
83645;16/09/1975;1200;22.2;19;73;;0;0;6;
83645;16/09/1975;1800;27.8;19;40;;9;3;5;
83645;17/09/1975;0000;21.3;19;80;;5;3;8;
83645;17/09/1975;1200;22;19.2;76;;0;0;5;
83645;17/09/1975;1800;28.4;19.1;38;;0;0;4;
83645;18/09/1975;0000;22.2;18.8;71;;9;3;9;
83645;18/09/1975;1200;19.9;18.8;90;;0;0;9;
83645;18/09/1975;1800;22.2;19.7;79;;0;0;8;
83645;19/09/1975;0000;19.4;18.6;92;;0;0;9;
83645;19/09/1975;1200;19.2;18.6;94;;0;0;9;
83645;19/09/1975;1800;18.8;16.9;82;;9;3;9;
83645;20/09/1975;0000;16.6;15.8;92;;0;0;9;
83645;20/09/1975;1200;17.7;16.2;85;;0;0;9;
83645;20/09/1975;1800;19.7;16.8;73;;0;0;9;
83645;21/09/1975;0000;18.2;16.5;83;;0;0;9;
83645;21/09/1975;1200;20;16.6;69;;0;0;1;
83645;21/09/1975;1800;25.1;18;46;;5;5;1;
83645;22/09/1975;0000;18.2;17.1;89;;0;0;0;
83645;22/09/1975;1200;18;16.3;83;;0;0;0;
83645;22/09/1975;1800;27;17.4;34;;5;3;2;
83645;23/09/1975;0000;19.9;16.4;68;;0;0;0;
83645;23/09/1975;1200;22.4;17.8;61;;0;0;0;
83645;23/09/1975;1800;28;18.6;37;;5;3;6;
83645;24/09/1975;0000;21.6;18;69;;0;0;0;
83645;24/09/1975;1200;23.6;19;63;;0;0;4;
83645;24/09/1975;1800;30.4;21.2;41;;9;5;8;
83645;25/09/1975;0000;23.5;20.3;73;;0;0;9;
83645;25/09/1975;1200;24.2;20.3;69;;0;0;7;
83645;25/09/1975;1800;26.3;21.3;62;;5;5;9;
83645;26/09/1975;0000;19.4;17.2;80;;18;5;8;
83645;26/09/1975;1200;17.8;15.5;78;;18;3;9;
83645;26/09/1975;1800;17.2;14.5;73;;9;3;9;
83645;27/09/1975;0000;15.4;14.9;95;;0;0;9;
83645;27/09/1975;1200;15.2;14.6;93;;0;0;9;
83645;27/09/1975;1800;17.2;16.1;89;;0;0;9;
83645;28/09/1975;0000;16.4;15.7;93;;0;0;9;
83645;28/09/1975;1200;17.4;16.8;94;;0;0;8;
83645;28/09/1975;1800;21.6;19;77;;0;0;9;
83645;29/09/1975;0000;19.6;19;95;;0;0;7;
83645;29/09/1975;1200;21.2;19.6;85;;0;0;9;
83645;29/09/1975;1800;28.4;22;55;;14;3;4;
83645;30/09/1975;0000;20.9;20.5;96;;0;0;0;
83645;30/09/1975;1200;24;19.6;65;;0;0;9;
83645;30/09/1975;1800;28.9;21.2;47;;5;5;6;
83645;01/10/1975;0000;23.3;20.2;75;;0;0;9;
83645;01/10/1975;1200;24.5;20.9;74;;0;0;8;
83645;01/10/1975;1800;28.9;22.9;58;;9;3;6;
83645;02/10/1975;0000;23;20.9;82;;0;0;9;
83645;02/10/1975;1200;27.1;21.5;58;;32;3;8;
83645;02/10/1975;1800;32.2;24;48;;5;6;9;
83645;03/10/1975;0000;25.9;21.5;66;;0;0;0;
83645;03/10/1975;1200;24.8;21.9;76;;0;0;9;
83645;03/10/1975;1800;31.4;24;52;;18;4;9;
83645;04/10/1975;0000;22.4;20.2;81;;9;2;7;
83645;04/10/1975;1200;21.1;19.9;89;;0;0;9;
83645;04/10/1975;1800;23;19.9;74;;0;0;9;
83645;05/10/1975;0000;20.9;19.8;90;;0;0;9;
83645;05/10/1975;1200;20.8;20;93;;0;0;9;
83645;05/10/1975;1800;22.4;20.8;86;;0;0;9;
