<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83647</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : SANTA TERESA - ES (OMM: 83647)
Latitude  (graus) : -19.93
Longitude (graus) : -40.58
Altitude  (metros): 648.00
Esta��o Fechada
Inicio de opera��o: 01/11/1976
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83647;01/11/1976;1200;;;;;;;10;
83647;01/11/1976;1800;;;;;;;10;
83647;02/11/1976;0000;;;;;;;10;
83647;02/11/1976;1200;;;;;;;8;
83647;02/11/1976;1800;;;;;;;9;
83647;03/11/1976;0000;;;;;;;1;
83647;03/11/1976;1200;;;;;;;4;
83647;03/11/1976;1800;;;;;;;4;
83647;04/11/1976;0000;;;;;;;9;
83647;04/11/1976;1200;;;;;;;7;
83647;04/11/1976;1800;;;;;;;3;
83647;05/11/1976;0000;;;;;;;10;
83647;05/11/1976;1200;;;;;;;4;
83647;05/11/1976;1800;;;;;;;9;
83647;06/11/1976;0000;;;;;;;9;
83647;06/11/1976;1200;;;;;;;9;
83647;06/11/1976;1800;;;;;;;5;
83647;07/11/1976;0000;;;;;;;10;
83647;07/11/1976;1200;;;;;;;10;
83647;07/11/1976;1800;;;;;;;10;
83647;08/11/1976;0000;;;;;;;10;
83647;08/11/1976;1200;;;;;;;10;
83647;08/11/1976;1800;;;;;;;10;
83647;09/11/1976;0000;;;;;;;10;
83647;09/11/1976;1200;;;;;;;10;
83647;09/11/1976;1800;;;;;;;10;
83647;10/11/1976;0000;;;;;;;10;
83647;10/11/1976;1200;;;;;;;10;
83647;10/11/1976;1800;;;;;;;10;
83647;11/11/1976;0000;;;;;;;10;
83647;11/11/1976;1200;;;;;;;10;
83647;11/11/1976;1800;;;;;;;5;
83647;12/11/1976;0000;;;;;;;10;
83647;12/11/1976;1200;;;;;;;8;
83647;12/11/1976;1800;;;;;;;10;
83647;13/11/1976;0000;;;;;;;10;
83647;13/11/1976;1200;;;;;;;10;
83647;13/11/1976;1800;;;;;;;10;
83647;14/11/1976;0000;;;;;;;10;
83647;14/11/1976;1200;;;;;;;8;
83647;14/11/1976;1800;;;;;;;8;
83647;15/11/1976;0000;;;;;;;9;
83647;15/11/1976;1200;;;;;;;8;
83647;15/11/1976;1800;;;;;;;9;
83647;16/11/1976;0000;;;;;;;5;
83647;16/11/1976;1200;;;;;;;10;
83647;16/11/1976;1800;;;;;;;6;
83647;17/11/1976;0000;;;;;;;10;
83647;17/11/1976;1200;;;;;;;6;
83647;17/11/1976;1800;;;;;;;9;
83647;18/11/1976;0000;;;;;;;10;
83647;18/11/1976;1200;;;;;;;10;
83647;18/11/1976;1800;;;;;;;10;
83647;19/11/1976;0000;;;;;;;10;
83647;19/11/1976;1200;;;;;;;6;
83647;19/11/1976;1800;;;;;;;8;
83647;20/11/1976;0000;;;;;;;8;
83647;20/11/1976;1200;;;;;;;8;
83647;20/11/1976;1800;;;;;;;8;
83647;21/11/1976;0000;;;;;;;8;
83647;21/11/1976;1200;;;;;;;10;
83647;21/11/1976;1800;;;;;;;7;
83647;22/11/1976;0000;;;;;;;10;
83647;22/11/1976;1200;;;;;;;7;
83647;22/11/1976;1800;;;;;;;10;
83647;23/11/1976;0000;;;;;;;10;
83647;23/11/1976;1200;;;;;;;10;
83647;23/11/1976;1800;;;;;;;10;
83647;24/11/1976;0000;;;;;;;9;
83647;24/11/1976;1200;;;;;;;8;
83647;24/11/1976;1800;;;;;;;9;
83647;25/11/1976;0000;;;;;;;7;
83647;25/11/1976;1200;;;;;;;7;
83647;25/11/1976;1800;;;;;;;6;
83647;26/11/1976;0000;;;;;;;0;
83647;26/11/1976;1200;;;;;;;1;
83647;26/11/1976;1800;;;;;;;6;
83647;27/11/1976;0000;;;;;;;10;
83647;27/11/1976;1200;;;;;;;9;
83647;27/11/1976;1800;;;;;;;7;
83647;28/11/1976;0000;;;;;;;10;
83647;28/11/1976;1200;;;;;;;10;
83647;28/11/1976;1800;;;;;;;8;
83647;29/11/1976;0000;;;;;;;6;
83647;29/11/1976;1200;;;;;;;9;
83647;29/11/1976;1800;;;;;;;9;
83647;30/11/1976;0000;;;;;;;8;
83647;30/11/1976;1200;;;;;;;7;
83647;30/11/1976;1800;;;;;;;9;
83647;01/12/1976;0000;;;;;;;10;
83647;01/12/1976;1200;;;;;;;8;
83647;01/12/1976;1800;;;;;;;8;
83647;02/12/1976;0000;;;;;;;6;
83647;02/12/1976;1200;;;;;;;10;
83647;02/12/1976;1800;;;;;;;8;
83647;03/12/1976;0000;;;;;;;10;
83647;03/12/1976;1200;;;;;;;10;
83647;03/12/1976;1800;;;;;;;10;
83647;04/12/1976;0000;;;;;;;10;
83647;04/12/1976;1200;;;;;;;10;
83647;04/12/1976;1800;;;;;;;6;
83647;05/12/1976;0000;;;;;;;8;
83647;05/12/1976;1200;;;;;;;7;
83647;05/12/1976;1800;;;;;;;8;
83647;06/12/1976;0000;;;;;;;10;
83647;06/12/1976;1200;;;;;;;10;
83647;06/12/1976;1800;;;;;;;10;
83647;07/12/1976;0000;;;;;;;10;
83647;07/12/1976;1200;;;;;;;9;
83647;07/12/1976;1800;;;;;;;6;
83647;08/12/1976;0000;;;;;;;4;
83647;08/12/1976;1200;;;;;;;10;
83647;08/12/1976;1800;;;;;;;9;
83647;09/12/1976;0000;;;;;;;10;
83647;09/12/1976;1200;;;;;;;10;
83647;09/12/1976;1800;;;;;;;10;
83647;10/12/1976;0000;;;;;;;10;
83647;10/12/1976;1200;;;;;;;10;
83647;10/12/1976;1800;;;;;;;10;
83647;11/12/1976;0000;;;;;;;10;
83647;11/12/1976;1200;;;;;;;10;
83647;11/12/1976;1800;;;;;;;10;
83647;12/12/1976;0000;;;;;;;10;
83647;12/12/1976;1200;;;;;;;8;
83647;12/12/1976;1800;;;;;;;10;
83647;13/12/1976;1200;;;;;;;9;
83647;13/12/1976;1800;;;;;;;10;
83647;14/12/1976;0000;;;;;;;8;
83647;14/12/1976;1200;;;;;;;8;
83647;14/12/1976;1800;;;;;;;8;
83647;15/12/1976;0000;;;;;;;10;
83647;15/12/1976;1200;;;;;;;8;
83647;15/12/1976;1800;;;;;;;6;
83647;16/12/1976;0000;;;;;;;5;
83647;16/12/1976;1200;;;;;;;10;
83647;16/12/1976;1800;;;;;;;6;
83647;17/12/1976;0000;;;;;;;10;
83647;17/12/1976;1200;;;;;;;6;
83647;17/12/1976;1800;;;;;;;9;
83647;18/12/1976;0000;;;;;;;7;
83647;18/12/1976;1200;;;;;;;10;
83647;18/12/1976;1800;;;;;;;10;
83647;19/12/1976;0000;;;;;;;10;
83647;19/12/1976;1200;;;;;;;10;
83647;19/12/1976;1800;;;;;;;10;
83647;20/12/1976;0000;;;;;;;10;
83647;20/12/1976;1200;;;;;;;9;
83647;20/12/1976;1800;;;;;;;9;
83647;21/12/1976;0000;;;;;;;4;
83647;21/12/1976;1200;;;;;;;7;
83647;21/12/1976;1800;;;;;;;9;
83647;22/12/1976;0000;;;;;;;8;
83647;22/12/1976;1200;;;;;;;8;
83647;22/12/1976;1800;;;;;;;8;
83647;23/12/1976;0000;;;;;;;10;
83647;23/12/1976;1200;;;;;;;9;
83647;23/12/1976;1800;;;;;;;7;
83647;24/12/1976;0000;;;;;;;9;
83647;24/12/1976;1200;;;;;;;7;
83647;24/12/1976;1800;;;;;;;6;
83647;25/12/1976;0000;;;;;;;7;
83647;25/12/1976;1200;;;;;;;4;
83647;25/12/1976;1800;;;;;;;8;
83647;26/12/1976;0000;;;;;;;10;
83647;26/12/1976;1200;;;;;;;6;
83647;26/12/1976;1800;;;;;;;10;
83647;27/12/1976;0000;;;;;;;10;
83647;27/12/1976;1200;;;;;;;6;
83647;27/12/1976;1800;;;;;;;10;
83647;28/12/1976;0000;;;;;;;10;
83647;28/12/1976;1200;;;;;;;8;
83647;28/12/1976;1800;;;;;;;9;
83647;29/12/1976;0000;;;;;;;10;
83647;29/12/1976;1200;;;;;;;10;
83647;29/12/1976;1800;;;;;;;10;
83647;30/12/1976;0000;;;;;;;10;
83647;30/12/1976;1200;;;;;;;10;
83647;30/12/1976;1800;;;;;;;10;
83647;31/12/1976;0000;;;;;;;9;
83647;31/12/1976;1200;;;;;;;7;
83647;31/12/1976;1800;;;;;;;10;
83647;01/01/1977;0000;;;;;;;8;
83647;01/01/1977;1200;;;;;;;8;
83647;01/01/1977;1800;;;;;;;7;
83647;02/01/1977;0000;;;;;;;10;
83647;02/01/1977;1200;;;;;;;9;
83647;02/01/1977;1800;;;;;;;6;
83647;03/01/1977;0000;;;;;;;4;
83647;03/01/1977;1200;;;;;;;1;
83647;03/01/1977;1800;;;;;;;6;
83647;04/01/1977;0000;;;;;;;7;
83647;04/01/1977;1200;;;;;;;4;
83647;04/01/1977;1800;;;;;;;4;
83647;05/01/1977;0000;;;;;;;2;
83647;05/01/1977;1200;;;;;;;4;
83647;05/01/1977;1800;;;;;;;6;
83647;06/01/1977;0000;;;;;;;2;
83647;06/01/1977;1200;;;;;;;1;
83647;06/01/1977;1800;;;;;;;4;
83647;07/01/1977;0000;;;;;;;1;
83647;07/01/1977;1200;;;;;;;3;
83647;07/01/1977;1800;;;;;;;1;
83647;08/01/1977;0000;;;;;;;7;
83647;08/01/1977;1200;;;;;;;5;
83647;08/01/1977;1800;;;;;;;10;
83647;09/01/1977;0000;;;;;;;7;
