<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83648</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : VITORIA - ES (OMM: 83648)
Latitude  (graus) : -20.31
Longitude (graus) : -40.31
Altitude  (metros): 36.20
Esta��o Operante
Inicio de opera��o: 20/11/1923
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83648;01/01/1961;1200;27.7;22.9;65;1007.6;36;4;8;
83648;01/01/1961;1800;30.1;25.3;66;1005.4;9;3;8;
83648;02/01/1961;0000;25.2;22.8;81;1006.3;36;4;6;
83648;02/01/1961;1200;25;23.2;86;1007.2;36;2;8;
83648;02/01/1961;1800;25.1;23.6;88;1004.7;5;4;8;
83648;03/01/1961;0000;24.1;23.2;92;1005.9;5;4;8;
83648;03/01/1961;1200;23.9;22.6;89;1005.6;5;4;8;
83648;03/01/1961;1800;28.2;24.8;75;1002;5;3;8;
83648;04/01/1961;0000;24.4;22.5;84;1004.4;5;6;8;
83648;04/01/1961;1200;24;22.8;89;1005.4;5;3;8;
83648;04/01/1961;1800;27.6;24.5;77;1002.4;5;2;8;
83648;05/01/1961;0000;24.4;23.6;94;1005.6;5;3;8;
83648;05/01/1961;1200;26.3;24.3;84;1006.3;36;2;8;
83648;05/01/1961;1800;27;24.6;82;1004.2;5;2;8;
83648;06/01/1961;0000;24.9;24;93;1005;36;1;8;
83648;06/01/1961;1200;26.4;24.2;83;1006.6;36;3;8;
83648;06/01/1961;1800;27.6;24.6;78;1005.5;5;4;6;
83648;07/01/1961;0000;25.2;23.7;88;1005.5;36;2;0;
83648;07/01/1961;1200;28;24.2;72;1006.2;36;3;8;
83648;07/01/1961;1800;31.4;26.1;65;1003.1;5;6;3;
83648;08/01/1961;0000;25.4;23.5;85;1005.2;36;4;8;
83648;08/01/1961;1200;28.9;24.2;67;1007.9;5;2;3;
83648;08/01/1961;1800;30.6;25.9;67;1005.4;5;4;0;
83648;09/01/1961;0000;25.4;23.6;86;1006.4;5;3;6;
83648;09/01/1961;1200;28.2;24.9;75;1007.6;36;3;5;
83648;09/01/1961;1800;28.4;24.9;74;1004.2;5;5;6;
83648;10/01/1961;0000;25.1;23.3;85;1007;5;4;4;
83648;10/01/1961;1200;27.4;24.2;76;1006.4;5;2;6;
83648;10/01/1961;1800;27.8;24.8;77;1004.4;5;3;8;
83648;11/01/1961;0000;24.3;23.3;92;1006.8;5;4;0;
83648;11/01/1961;1200;27.8;24;71;1006.3;36;4;8;
83648;11/01/1961;1800;26.8;24.4;81;1005.5;5;3;5;
83648;12/01/1961;0000;22.6;21.8;93;1008.8;32;2;8;
83648;12/01/1961;1200;24.4;23.2;90;1010.4;0;0;8;
