<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83654</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : PORTO MURTINHO - MS (OMM: 83654)
Latitude  (graus) : -21.71
Longitude (graus) : -57.88
Altitude  (metros): 96.93
Esta��o Desativada
Inicio de opera��o: 08/08/1977
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83654;01/09/1977;1200;16;15.6;96;1013.8;18;12;10;
83654;01/09/1977;1800;17.6;14.7;72;1013.9;23;7;3;
83654;02/09/1977;0000;17.2;13.7;65;1015.5;18;12;0;
83654;02/09/1977;1200;14.6;11.7;69;1013.9;14;4;7;
83654;02/09/1977;1800;24.2;18.9;58;1012.4;27;3;4;
83654;03/09/1977;0000;21.1;18.2;74;1011.6;23;3;0;
83654;03/09/1977;1200;18.3;16.4;81;1011.6;14;3;0;
83654;03/09/1977;1800;28.6;21.8;53;1007.4;27;3;2;
83654;04/09/1977;0000;21.2;19.9;88;1008.2;23;1;0;
83654;04/09/1977;1200;20;17.6;78;1009.1;27;1;10;
83654;04/09/1977;1800;30.1;21;41;1007;27;3;0;
83654;05/09/1977;0000;23.4;18;57;1007.1;14;3;0;
83654;05/09/1977;1200;21.4;17;62;1009.4;9;3;0;
83654;05/09/1977;1800;30.4;20.2;35;1005.8;23;5;6;
83654;06/09/1977;0000;24.8;18.2;50;1007.6;23;1;0;
83654;06/09/1977;1200;18.9;15.2;66;1008.8;9;4;10;
83654;06/09/1977;1800;20;17.4;76;1008;9;3;10;
83654;07/09/1977;0000;18;16.6;86;1006.4;9;1;0;
83654;07/09/1977;1200;19.3;17.6;84;1006.4;9;1;8;
83654;07/09/1977;1800;29.7;23.4;56;1002;27;3;4;
83654;08/09/1977;0000;25;22;76;1002.6;32;1;0;
83654;08/09/1977;1200;25;22.4;79;1002.2;36;7;0;
83654;08/09/1977;1800;33.4;24.5;46;999.4;36;12;0;
83654;09/09/1977;0000;29.6;23.4;57;998.8;36;12;0;
83654;09/09/1977;1200;28.5;23.4;63;1003.1;36;9;0;
83654;09/09/1977;1800;35;25.5;44;1000.6;36;9;0;
83654;10/09/1977;0000;30.6;23.6;54;1001;5;3;0;
83654;10/09/1977;1200;28.1;24.7;74;1005.4;5;1;0;
83654;10/09/1977;1800;36.1;26.1;43;1002.3;32;5;0;
83654;11/09/1977;0000;29.6;24.4;63;1003.2;32;3;0;
83654;11/09/1977;1200;28;21.6;55;1003.6;5;7;0;
83654;11/09/1977;1800;36.4;25;37;999.8;27;3;0;
83654;12/09/1977;0000;27.2;21.8;60;1000.6;27;3;0;
83654;12/09/1977;1200;28.3;22;55;1001.8;36;9;0;
83654;12/09/1977;1800;35.4;24.5;38;1001.8;36;9;0;
83654;13/09/1977;0000;30;22.2;48;997;5;3;0;
83654;13/09/1977;1200;28.1;22.4;58;992.8;36;9;0;
83654;13/09/1977;1800;35.8;24.8;38;997.4;36;12;7;
83654;14/09/1977;0000;27.4;23.1;69;997.1;27;1;0;
83654;14/09/1977;1200;28.2;23.3;65;1001.1;32;5;0;
83654;14/09/1977;1800;29.6;25;67;1000.3;5;3;8;
83654;15/09/1977;0000;27.2;24.2;78;1000.2;5;3;0;
83654;15/09/1977;1200;28.2;23.6;67;1002.8;32;5;0;
83654;15/09/1977;1800;35;24.6;40;1001.2;36;;0;
83654;16/09/1977;0000;29.4;23.8;61;999.8;32;3;0;
83654;16/09/1977;1200;28.6;24.2;68;1004.2;5;3;8;
83654;16/09/1977;1800;37.2;26;38;999.8;32;7;4;
83654;17/09/1977;0000;30.6;24.1;57;997.2;5;3;0;
83654;17/09/1977;1200;28.6;25.3;75;999.6;27;3;2;
83654;17/09/1977;1800;34.4;26.4;51;998.7;23;3;6;
83654;18/09/1977;0000;25.6;22.6;77;1000.3;18;12;7;
83654;18/09/1977;1200;23.7;22.5;90;1001.1;14;5;10;
83654;18/09/1977;1800;25.2;23.6;87;999.5;23;3;8;
83654;19/09/1977;0000;23.6;21.8;84;1002.2;14;5;0;
83654;19/09/1977;1200;23.7;22.2;87;1002;9;5;8;
83654;19/09/1977;1800;31;26;66;998.2;27;1;10;
83654;20/09/1977;0000;24.2;22;82;999.9;36;12;0;
83654;20/09/1977;1200;24.4;22.2;82;1005.4;9;7;6;
