<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83666</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : TAMOIO - SP (OMM: 83666)
Latitude  (graus) : -21.78
Longitude (graus) : -48.16
Altitude  (metros): 780.00
Esta��o Desativada
Inicio de opera��o: 01/01/1942
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83666;01/01/1961;1200;21.6;20.6;91;;36;4;10;
83666;01/01/1961;1800;22.6;21.4;89;;0;0;8;
83666;02/01/1961;0000;21;20.4;94;;0;0;10;
83666;02/01/1961;1200;21.4;20.4;91;;36;6;10;
83666;02/01/1961;1800;21.6;20.8;93;;27;4;10;
83666;03/01/1961;0000;21;20;91;;0;0;8;
83666;03/01/1961;1200;24;21.4;79;;27;2;6;
83666;03/01/1961;1800;29;23.4;61;;27;4;6;
83666;04/01/1961;0000;22;21.2;93;;0;0;4;
83666;04/01/1961;1200;21.4;21;96;;0;0;10;
83666;04/01/1961;1800;26.6;22;66;;36;2;8;
83666;05/01/1961;0000;22.6;21.6;91;;5;4;4;
83666;05/01/1961;1200;23.4;21.4;84;;0;0;10;
83666;05/01/1961;1800;29.8;23.6;59;;0;0;6;
83666;06/01/1961;0000;21.8;21;93;;0;0;4;
83666;06/01/1961;1200;21.8;21.4;96;;36;4;10;
83666;06/01/1961;1800;24;22.4;87;;27;4;10;
83666;07/01/1961;0000;20;20;100;;0;0;10;
83666;07/01/1961;1200;22.8;21.8;91;;36;4;8;
83666;07/01/1961;1800;22;21.4;94;;0;0;10;
83666;08/01/1961;0000;22;21;91;;0;0;10;
83666;08/01/1961;1200;23;21.2;86;;0;0;8;
83666;08/01/1961;1800;27.4;23.4;71;;23;2;8;
83666;09/01/1961;0000;22;21;91;;0;0;2;
83666;09/01/1961;1200;24.4;22;81;;5;4;6;
83666;09/01/1961;1800;28;23.6;69;;32;2;4;
83666;10/01/1961;0000;22;21.4;94;;27;4;4;
83666;10/01/1961;1200;23.6;22.2;88;;36;2;10;
83666;10/01/1961;1800;29.4;24;63;;27;2;4;
83666;11/01/1961;0000;20;20;100;;18;2;10;
83666;11/01/1961;1200;26.6;23;73;;0;0;4;
83666;11/01/1961;1800;22.4;20;80;;36;4;10;
83666;12/01/1961;0000;21;20.6;96;;18;2;2;
83666;12/01/1961;1200;26;21.6;67;;9;2;0;
83666;12/01/1961;1800;29.8;22.4;51;;36;2;4;
83666;13/01/1961;0000;22;20.6;88;;9;2;6;
83666;13/01/1961;1200;21.4;20.4;91;;36;4;10;
83666;13/01/1961;1800;23;21.6;88;;18;2;10;
83666;14/01/1961;0000;22;21;91;;0;0;2;
83666;14/01/1961;1200;23.4;20;73;;5;4;4;
83666;14/01/1961;1800;27.6;22;60;;0;0;4;
83666;15/01/1961;0000;22.6;21.6;91;;18;2;0;
83666;15/01/1961;1200;25;21.8;75;;5;4;4;
83666;15/01/1961;1800;30.4;23;52;;0;0;4;
83666;16/01/1961;0000;23.8;21.6;83;;0;0;2;
83666;16/01/1961;1200;24.2;21;75;;36;4;2;
83666;16/01/1961;1800;29.4;22.4;54;;36;4;4;
83666;17/01/1961;0000;24;21.4;79;;5;2;2;
83666;17/01/1961;1200;26;21.4;65;;5;4;0;
83666;17/01/1961;1800;23;21;84;;18;4;10;
83666;18/01/1961;0000;20.6;20;95;;0;0;6;
83666;18/01/1961;1200;26;22;70;;0;0;4;
83666;18/01/1961;1800;31;22.8;49;;27;4;4;
83666;19/01/1961;0000;23.8;22.2;88;;27;2;2;
83666;19/01/1961;1200;26.2;22.4;72;;5;4;2;
83666;19/01/1961;1800;24.6;20.6;69;;18;2;10;
83666;20/01/1961;0000;20.8;19.4;87;;18;4;10;
83666;20/01/1961;1200;23.4;21.2;83;;5;2;6;
83666;20/01/1961;1800;29;23.2;60;;0;0;8;
83666;21/01/1961;0000;20;19;91;;27;2;6;
83666;21/01/1961;1200;21.8;20.8;91;;5;2;10;
83666;21/01/1961;1800;28.6;23.2;62;;36;4;4;
83666;22/01/1961;0000;22;21;91;;18;2;2;
83666;22/01/1961;1200;23.6;21.2;81;;5;4;6;
83666;22/01/1961;1800;29;23.4;61;;36;4;6;
83666;23/01/1961;0000;23;21;84;;18;2;4;
83666;23/01/1961;1200;24;21.6;81;;0;0;6;
83666;23/01/1961;1800;29;22.4;56;;5;4;8;
83666;24/01/1961;0000;22;21;91;;14;4;0;
83666;24/01/1961;1200;24.6;21.4;75;;14;6;4;
83666;24/01/1961;1800;30;23;54;;18;2;4;
83666;25/01/1961;0000;23.4;21.6;86;;0;0;2;
83666;25/01/1961;1200;25.4;22;74;;5;2;4;
83666;25/01/1961;1800;29.4;23.4;59;;23;4;4;
83666;26/01/1961;0000;24;21;76;;5;4;6;
83666;26/01/1961;1200;23.4;20;73;;9;4;2;
83666;26/01/1961;1800;26;20;57;;14;6;8;
83666;27/01/1961;0000;21.4;17.4;66;;18;8;8;
83666;27/01/1961;1200;20.4;17.4;74;;14;6;8;
83666;27/01/1961;1800;20.2;19;89;;18;4;10;
83666;28/01/1961;0000;19;16.4;76;;18;14;10;
83666;28/01/1961;1200;18.8;17;84;;14;4;10;
83666;28/01/1961;1800;22.6;19.6;76;;9;4;10;
83666;29/01/1961;0000;19.6;18.6;91;;9;6;4;
83666;29/01/1961;1200;21;19.6;87;;5;2;6;
83666;29/01/1961;1800;25;21;69;;5;2;6;
83666;30/01/1961;0000;20;18.8;89;;0;0;10;
83666;30/01/1961;1200;22.4;20.4;84;;36;2;10;
83666;30/01/1961;1800;28.2;22.2;58;;32;2;4;
83666;31/01/1961;0000;21.6;20.2;88;;0;0;10;
83666;31/01/1961;1200;25.4;21.8;72;;32;4;4;
83666;31/01/1961;1800;29.2;22.4;55;;0;0;4;
83666;01/02/1961;0000;21.4;19.8;86;;5;6;8;
83666;01/02/1961;1200;24;21.2;78;;0;0;2;
83666;01/02/1961;1800;28.6;22;56;;5;2;4;
83666;02/02/1961;0000;23.4;21.6;86;;5;4;2;
83666;02/02/1961;1200;26;21.8;68;;0;0;0;
83666;02/02/1961;1800;31.6;23.6;50;;0;0;6;
83666;03/02/1961;0000;21.2;19.8;87;;27;4;6;
83666;03/02/1961;1200;24.8;20.6;68;;5;2;2;
83666;03/02/1961;1800;24.6;21.6;77;;0;0;8;
83666;04/02/1961;0000;22.4;21.2;90;;18;2;0;
83666;04/02/1961;1200;27.6;22.4;62;;0;0;2;
83666;04/02/1961;1800;22.4;21;88;;0;0;10;
83666;05/02/1961;0000;22;20;83;;5;6;4;
83666;05/02/1961;1200;21;19.8;89;;5;4;8;
83666;05/02/1961;1800;26.4;22.4;70;;27;2;8;
83666;06/02/1961;0000;23;22;91;;0;0;2;
83666;06/02/1961;1200;22.6;20.4;82;;5;6;4;
83666;06/02/1961;1800;29.2;22.4;55;;27;2;6;
83666;07/02/1961;0000;22.6;20;79;;18;4;0;
83666;07/02/1961;1200;26.6;22;66;;5;2;0;
83666;07/02/1961;1800;33;24;47;;0;0;2;
83666;08/02/1961;0000;24.4;22;81;;0;0;2;
83666;08/02/1961;1200;25.8;22;71;;36;2;0;
83666;08/02/1961;1800;31.8;24.8;56;;27;2;8;
83666;09/02/1961;0000;23.4;21.6;86;;0;0;0;
83666;09/02/1961;1200;26.4;22.4;70;;5;2;0;
83666;09/02/1961;1800;27;23;71;;18;4;4;
