<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83667</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : SERTAOZINHO - SP (OMM: 83667)
Latitude  (graus) : -21.13
Longitude (graus) : -47.98
Altitude  (metros): 548.00
Esta��o Desativada
Inicio de opera��o: 01/01/1937
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83667;01/01/1961;1200;24;22;83;;36;4;10;
83667;01/01/1961;1800;27;22;64;;0;0;10;
83667;02/01/1961;0000;22;21;91;;0;0;10;
83667;02/01/1961;1200;22;22;100;;32;4;10;
83667;02/01/1961;1800;22.8;21.8;91;;36;4;10;
83667;03/01/1961;0000;22;21;91;;0;0;10;
83667;03/01/1961;1200;25;23;84;;36;4;8;
83667;03/01/1961;1800;30;25;66;;0;0;8;
83667;04/01/1961;0000;23;22;91;;0;0;5;
83667;04/01/1961;1200;22;21;91;;0;0;10;
83667;04/01/1961;1800;24;22;83;;0;0;8;
83667;05/01/1961;0000;22;21;91;;0;0;10;
83667;05/01/1961;1200;23;22;91;;0;0;10;
83667;05/01/1961;1800;30.2;23.8;55;;32;2;8;
83667;06/01/1961;0000;24;22;83;;0;0;3;
83667;06/01/1961;1200;24;22;83;;36;4;10;
83667;06/01/1961;1800;25;23;84;;0;0;10;
83667;07/01/1961;0000;24;22;83;;0;0;10;
83667;07/01/1961;1200;24.2;23.2;92;;0;0;10;
83667;07/01/1961;1800;24.6;23;87;;36;2;10;
83667;08/01/1961;0000;24;23;91;;0;0;10;
83667;08/01/1961;1200;24;22;83;;0;0;10;
83667;08/01/1961;1800;26;24;84;;36;2;8;
83667;09/01/1961;0000;23.2;22.2;91;;0;0;10;
83667;09/01/1961;1200;25;23;84;;0;0;10;
83667;09/01/1961;1800;31;25;61;;0;0;8;
83667;10/01/1961;0000;23;22;91;;0;0;5;
83667;10/01/1961;1200;25;23;84;;0;0;5;
83667;10/01/1961;1800;31;25;61;;36;2;5;
83667;11/01/1961;0000;24;22;83;;0;0;10;
83667;11/01/1961;1200;24;23;91;;0;0;8;
83667;11/01/1961;1800;28;24;70;;9;2;10;
83667;12/01/1961;0000;25;23;84;;0;0;10;
83667;12/01/1961;1200;25;22;76;;9;4;0;
83667;12/01/1961;1800;32;24;50;;0;0;5;
83667;13/01/1961;0000;22;21;91;;0;0;10;
83667;13/01/1961;1200;23;21;83;;5;2;10;
83667;13/01/1961;1800;29;24;65;;0;0;5;
83667;14/01/1961;0000;22;21;91;;0;0;10;
83667;14/01/1961;1200;24;22;83;;23;2;8;
83667;14/01/1961;1800;30;24;60;;0;0;5;
83667;15/01/1961;0000;22;21;91;;0;0;0;
83667;15/01/1961;1200;26;23;76;;5;2;3;
83667;15/01/1961;1800;30;25;66;;36;2;5;
83667;16/01/1961;0000;27;22;64;;0;0;10;
83667;16/01/1961;1200;25;23;84;;36;2;0;
83667;16/01/1961;1800;31;25;61;;32;2;3;
83667;17/01/1961;0000;26;22;70;;9;2;0;
83667;17/01/1961;1200;27;22;64;;0;0;3;
83667;17/01/1961;1800;22;21;91;;36;4;10;
83667;18/01/1961;0000;23;22;91;;0;0;5;
83667;18/01/1961;1200;26;22;70;;36;2;3;
83667;18/01/1961;1800;33;24;46;;32;2;3;
83667;19/01/1961;0000;25;21;69;;5;2;3;
83667;19/01/1961;1200;27;23;70;;0;0;5;
83667;19/01/1961;1800;32;24;50;;36;2;8;
83667;20/01/1961;0000;25;21;69;;0;0;10;
83667;20/01/1961;1200;24;22;83;;0;0;10;
83667;20/01/1961;1800;25;23;84;;0;0;10;
83667;21/01/1961;0000;25;22;76;;0;0;10;
83667;21/01/1961;1200;22;21;91;;0;0;10;
83667;21/01/1961;1800;30;25;66;;23;2;5;
83667;22/01/1961;0000;19.8;19.4;96;;36;2;10;
83667;22/01/1961;1200;25;23;84;;36;4;5;
83667;22/01/1961;1800;31;25;61;;5;2;5;
83667;23/01/1961;0000;25;23;84;;0;0;5;
83667;23/01/1961;1200;27;23;70;;5;2;8;
83667;23/01/1961;1800;30;25;66;;9;2;5;
83667;24/01/1961;0000;23;22;91;;0;0;8;
83667;24/01/1961;1200;25;23;84;;0;0;5;
83667;24/01/1961;1800;31;25;61;;18;2;8;
83667;25/01/1961;0000;24;22;83;;0;0;8;
83667;25/01/1961;1200;25;23;84;;0;0;10;
83667;25/01/1961;1800;29;24;65;;18;2;8;
83667;26/01/1961;0000;23;22;91;;0;0;10;
83667;26/01/1961;1200;24.6;21;71;;18;2;5;
83667;26/01/1961;1800;29;24;65;;18;2;8;
83667;27/01/1961;0000;23;21;83;;0;0;10;
83667;27/01/1961;1200;22;19;74;;18;2;10;
83667;27/01/1961;1800;24;20;69;;18;2;10;
83667;28/01/1961;0000;21;20;91;;18;2;10;
83667;28/01/1961;1200;20;18;81;;18;2;10;
83667;28/01/1961;1800;25;21;69;;18;2;8;
83667;29/01/1961;0000;22;21;91;;0;0;10;
83667;29/01/1961;1200;22;21;91;;0;0;10;
83667;29/01/1961;1800;25;23;84;;36;2;8;
83667;30/01/1961;0000;21;20;91;;0;0;10;
83667;30/01/1961;1200;23;21;83;;36;2;10;
83667;30/01/1961;1800;27;23;70;;32;2;5;
83667;31/01/1961;0000;24;22;83;;0;0;8;
83667;31/01/1961;1200;25;23;84;;36;2;5;
83667;31/01/1961;1800;31;25;61;;36;2;5;
83667;01/02/1961;0000;25;23;84;;0;0;10;
83667;01/02/1961;1200;25;23;84;;0;0;5;
83667;01/02/1961;1800;31;25;61;;0;0;5;
83667;02/02/1961;0000;24;22;83;;0;0;3;
83667;02/02/1961;1200;24;22;83;;0;0;0;
83667;02/02/1961;1800;34;26;52;;32;3;5;
83667;03/02/1961;0000;25;23;84;;0;0;5;
83667;03/02/1961;1200;24;22;83;;0;0;5;
83667;03/02/1961;1800;34;23;37;;32;2;5;
83667;04/02/1961;0000;25;23;84;;0;0;5;
83667;04/02/1961;1200;25;23;84;;0;0;0;
83667;04/02/1961;1800;33;25;51;;36;2;8;
83667;05/02/1961;0000;24;22;83;;0;0;10;
83667;05/02/1961;1200;24;22;83;;5;4;5;
83667;05/02/1961;1800;27;22;64;;0;0;5;
83667;06/02/1961;0000;24;23;91;;0;0;3;
83667;06/02/1961;1200;22;21;91;;5;2;3;
83667;06/02/1961;1800;31;25;61;;0;0;3;
83667;07/02/1961;0000;24;20;69;;0;0;0;
83667;07/02/1961;1200;26;23;76;;0;0;0;
83667;07/02/1961;1800;33;25;51;;23;2;3;
83667;08/02/1961;0000;27;22;64;;0;0;3;
83667;08/02/1961;1200;27;22;64;;0;0;0;
83667;08/02/1961;1800;32;24;50;;18;2;3;
83667;09/02/1961;0000;23;22;91;;0;0;5;
83667;09/02/1961;1200;25;23;84;;0;0;5;
83667;09/02/1961;1800;33;25;51;;0;0;5;
83667;10/02/1961;0000;23;22;91;;0;0;10;
83667;10/02/1961;1200;24;22;83;;0;0;10;
83667;10/02/1961;1800;28;24;70;;0;0;5;
83667;11/02/1961;0000;24;22;83;;0;0;5;
83667;11/02/1961;1200;27;22;63;;36;2;5;
83667;11/02/1961;1800;24;23;91;;27;2;10;
83667;12/02/1961;0000;22;21;91;;0;0;5;
83667;12/02/1961;1200;23;22;91;;0;0;10;
83667;12/02/1961;1800;26;23;76;;0;0;10;
83667;13/02/1961;0000;22.2;21.2;91;;;;8;
83667;13/02/1961;1200;19;19;100;;14;2;10;
83667;13/02/1961;1800;20;19.8;98;;0;0;10;
83667;14/02/1961;0000;22;20.6;88;;0;0;10;
83667;14/02/1961;1200;19;18;90;;0;0;5;
83667;14/02/1961;1800;23;22;91;;36;2;5;
83667;15/02/1961;0000;19;18.2;92;;0;0;5;
83667;15/02/1961;1200;21;18;73;;18;2;10;
83667;15/02/1961;1800;26;23;76;;14;3;10;
83667;16/02/1961;0000;22;20;82;;0;0;10;
83667;16/02/1961;1200;24;22;83;;5;3;10;
83667;16/02/1961;1800;28;23;65;;5;3;10;
83667;17/02/1961;0000;22;21;91;;0;0;10;
83667;17/02/1961;1200;20;19.8;98;;0;0;10;
83667;17/02/1961;1800;25;21;69;;36;2;8;
83667;18/02/1961;0000;22;21;91;;0;0;10;
83667;18/02/1961;1200;22;21;91;;5;3;10;
83667;18/02/1961;1800;26;22;70;;36;2;8;
83667;19/02/1961;0000;22;21;91;;0;0;10;
83667;19/02/1961;1200;23;21;83;;5;2;8;
83667;19/02/1961;1800;25;23;84;;36;3;8;
83667;20/02/1961;0000;22.2;21.2;91;;0;0;10;
83667;20/02/1961;1200;24.6;21.6;76;;36;2;3;
83667;20/02/1961;1800;30;23;54;;36;3;5;
83667;21/02/1961;0000;22;21;91;;0;0;8;
83667;21/02/1961;1200;24;22;83;;36;4;10;
83667;21/02/1961;1800;28;24;70;;0;0;8;
83667;22/02/1961;0000;23;22;91;;0;0;8;
83667;22/02/1961;1200;25;23;84;;5;2;8;
83667;22/02/1961;1800;26;23;76;;5;3;10;
83667;23/02/1961;0000;22;21;91;;0;0;5;
83667;23/02/1961;1200;21;21;100;;5;2;10;
83667;23/02/1961;1800;26;23;76;;0;0;10;
83667;24/02/1961;0000;22.2;21.2;91;;0;0;10;
83667;24/02/1961;1200;23;22;91;;0;0;10;
83667;24/02/1961;1800;25;23;84;;0;0;8;
83667;25/02/1961;0000;23;22;91;;0;0;10;
83667;25/02/1961;1200;22;21;91;;5;3;8;
83667;25/02/1961;1800;28;24;70;;36;3;5;
83667;26/02/1961;0000;25;23;84;;0;0;8;
83667;26/02/1961;1200;23;22;91;;0;0;8;
83667;26/02/1961;1800;26;23;76;;0;0;5;
83667;27/02/1961;0000;24;22;83;;0;0;5;
83667;27/02/1961;1200;24;22;83;;36;5;10;
83667;27/02/1961;1800;26;23;76;;5;3;10;
83667;28/02/1961;0000;23;22;91;;0;0;10;
83667;28/02/1961;1200;27;22;63;;0;0;5;
83667;28/02/1961;1800;22;22;100;;18;2;10;
83667;01/03/1961;0000;22;21;91;;0;0;10;
83667;01/03/1961;1200;22;21;91;;0;0;10;
83667;01/03/1961;1800;28;23;65;;0;0;10;
83667;02/03/1961;0000;22.2;21.2;91;;0;0;10;
83667;02/03/1961;1200;21;20;91;;0;0;5;
83667;02/03/1961;1800;29;24;65;;0;0;5;
83667;03/03/1961;0000;25;23;84;;0;0;5;
83667;03/03/1961;1200;25;22;76;;14;3;0;
83667;03/03/1961;1800;33;26;57;;0;0;3;
83667;04/03/1961;0000;23;22;91;;0;0;0;
83667;04/03/1961;1200;26;20;56;;0;0;0;
83667;04/03/1961;1800;32;22;40;;0;0;3;
83667;05/03/1961;0000;22;21;91;;0;0;3;
83667;05/03/1961;1200;23;21;83;;0;0;10;
83667;05/03/1961;1800;25;23;84;;36;3;8;
83667;06/03/1961;0000;22.2;22;98;;5;6;10;
83667;06/03/1961;1200;21;20;91;;0;0;10;
83667;06/03/1961;1800;27;24;77;;18;2;8;
83667;07/03/1961;0000;22.4;21.4;91;;0;0;10;
83667;07/03/1961;1200;22;21;91;;0;0;10;
83667;07/03/1961;1800;26;23;76;;0;0;8;
83667;08/03/1961;0000;23;22;91;;0;0;10;
83667;08/03/1961;1200;24;22;83;;0;0;10;
83667;08/03/1961;1800;25;23;84;;0;0;10;
83667;09/03/1961;0000;22.2;21.2;91;;0;0;10;
83667;09/03/1961;1200;23;21;83;;0;0;10;
83667;09/03/1961;1800;26;23;76;;5;2;10;
