<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83668</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : RIBEIRAO PRETO - SP (OMM: 83668)
Latitude  (graus) : -21.18
Longitude (graus) : -47.71
Altitude  (metros): 621.83
Esta��o Fechada
Inicio de opera��o: 01/01/1928
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83668;01/01/1961;1200;23.3;21.8;87;938.7;32;6.5;10;
83668;01/01/1961;1800;26;22.7;74;942.3;32;9;10;
83668;02/01/1961;0000;20.3;20.2;99;937.6;0;0;10;
83668;02/01/1961;1200;21.5;21.1;96;938.6;32;6;10;
83668;02/01/1961;1800;21.8;21.3;95;935.9;32;7.8;10;
83668;03/01/1961;0000;20.7;20.6;99;936.8;0;0;10;
83668;03/01/1961;1200;24;22.4;86;937.2;32;2;5;
83668;03/01/1961;1800;29;23.6;63;934.7;27;2.1;8;
83668;04/01/1961;0000;22.2;21.8;96;936.3;32;1;10;
83668;04/01/1961;1200;21.3;20.9;96;937.5;32;2.7;10;
83668;04/01/1961;1800;23.5;21.7;85;935.8;32;1.5;10;
83668;05/01/1961;0000;21;20.9;99;936.8;0;0;10;
83668;05/01/1961;1200;22.9;21.4;87;938;32;3;10;
83668;05/01/1961;1800;28.9;23.9;65;935.2;32;4.5;8;
83668;06/01/1961;0000;21.7;21.2;96;936.3;0;0;0;
83668;06/01/1961;1200;23.2;21.8;87;938.2;32;4;10;
83668;06/01/1961;1800;27.4;24.1;75;935.9;32;5;7;
83668;07/01/1961;0000;19.4;19.2;98;938.4;32;3;10;
83668;07/01/1961;1200;23.5;22.2;89;938.8;36;1;10;
83668;07/01/1961;1800;21.2;21.2;100;937.8;23;1;10;
83668;08/01/1961;0000;21.6;21.6;100;939;0;0;10;
83668;08/01/1961;1200;23.1;22;90;939.8;0;0;10;
83668;08/01/1961;1800;28.5;23.9;67;937.4;27;1;6;
83668;09/01/1961;0000;22.1;22;99;939.8;14;1;10;
83668;09/01/1961;1200;24.1;22.5;86;940;5;1;9;
83668;09/01/1961;1800;30.1;24.1;60;936.8;32;3;7;
83668;10/01/1961;0000;22.2;22.1;99;938.2;0;0;6;
83668;10/01/1961;1200;25;22.6;81;940.3;32;6;7;
83668;10/01/1961;1800;30.1;25.1;66;937;32;5.4;5;
83668;11/01/1961;0000;21.8;20.2;86;939;18;3;10;
83668;11/01/1961;1200;24.9;21.9;76;939.1;14;1.5;8;
