<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83669</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : SAO SIMAO - SP (OMM: 83669)
Latitude  (graus) : -21.48
Longitude (graus) : -47.55
Altitude  (metros): 617.39
Esta��o Operante
Inicio de opera��o: 01/01/1920
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83669;01/01/1961;1200;21.6;20.9;94;;36;3;10;
83669;01/01/1961;1800;25.8;23.2;80;;32;3;7;
83669;02/01/1961;0000;21.2;20.8;96;;36;1;10;
83669;02/01/1961;1200;21.1;21;99;;32;1;10;
83669;02/01/1961;1800;22.2;21.4;92;;32;1;10;
83669;03/01/1961;0000;21;20.6;96;;0;0;10;
83669;03/01/1961;1200;21.9;21.4;95;;32;1;10;
83669;03/01/1961;1800;28.3;23.9;68;;9;3;6;
83669;04/01/1961;0000;22.3;21.6;94;;0;0;10;
83669;04/01/1961;1200;22;21.2;93;;0;0;10;
83669;04/01/1961;1800;23.2;22.2;91;;32;3;10;
83669;05/01/1961;0000;21.3;20.9;96;;0;0;8;
83669;05/01/1961;1200;21.7;21;94;;36;1;10;
83669;05/01/1961;1800;29.6;23.7;60;;32;1;7;
83669;06/01/1961;0000;22.3;21.5;93;;0;0;3;
83669;06/01/1961;1200;22.6;21.8;93;;32;3;10;
83669;06/01/1961;1800;24.4;23.4;92;;32;3;10;
83669;07/01/1961;0000;20.6;20.1;96;;32;1;10;
83669;07/01/1961;1200;22.6;21.6;91;;32;1;9;
83669;07/01/1961;1800;27;23.4;72;;32;5;10;
83669;08/01/1961;0000;21.5;21;95;;0;0;4;
83669;08/01/1961;1200;23.1;22;90;;0;0;9;
83669;08/01/1961;1800;27.3;23.8;73;;18;1;9;
83669;09/01/1961;0000;23.3;22.2;91;;5;1;10;
83669;09/01/1961;1200;24;22.4;86;;5;3;8;
83669;09/01/1961;1800;25.3;24.2;92;;5;3;9;
83669;10/01/1961;0000;22.3;21.9;96;;0;0;10;
83669;10/01/1961;1200;22.8;21.9;92;;36;1;10;
83669;10/01/1961;1800;29.1;24.7;68;;27;3;8;
83669;11/01/1961;0000;23.6;20.4;73;;23;3;10;
83669;11/01/1961;1200;25.9;22.3;73;;5;3;8;
83669;11/01/1961;1800;22.6;21.2;88;;0;0;10;
83669;12/01/1961;0000;20.7;20.2;96;;0;0;3;
83669;12/01/1961;1200;25.2;21.2;70;;9;7;4;
83669;12/01/1961;1800;30.2;22.4;49;;5;3;3;
83669;13/01/1961;0000;21.8;21.1;94;;0;0;10;
