<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83670</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : SANTA RITA - SP (OMM: 83670)
Latitude  (graus) : -21.66
Longitude (graus) : -47.5
Altitude  (metros): 715.00
Esta��o Desativada
Inicio de opera��o: 01/01/1941
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83670;01/01/1961;1200;21.6;20.1;87;;32;1;8;
83670;01/01/1961;1800;22.4;22.1;97;;23;1;8;
83670;02/01/1961;0000;19.8;19.8;100;;27;1;10;
83670;02/01/1961;1200;20.4;20.4;100;;32;3;10;
83670;02/01/1961;1800;21.4;20.8;94;;27;3;10;
83670;03/01/1961;0000;20.8;19.7;90;;27;1;10;
83670;03/01/1961;1200;22.8;21.3;87;;27;1;8;
83670;03/01/1961;1800;29.4;23.9;62;;27;1;4;
83670;04/01/1961;0000;21.8;20.8;91;;27;1;8;
83670;04/01/1961;1200;21.7;20.6;90;;32;1;10;
83670;04/01/1961;1800;22.4;22;96;;32;1;6;
83670;05/01/1961;0000;20.8;20.4;96;;23;3;9;
83670;05/01/1961;1200;22.4;21.3;90;;32;1;8;
83670;05/01/1961;1800;28.5;23.9;67;;23;1;4;
83670;06/01/1961;0000;22.6;20.5;82;;32;1;8;
83670;06/01/1961;1200;21.1;21;99;;32;3;10;
83670;06/01/1961;1800;22;21.9;99;;32;1;9;
83670;07/01/1961;0000;20.4;20;96;;27;1;10;
83670;07/01/1961;1200;21.6;21.5;99;;32;1;6;
83670;07/01/1961;1800;23.6;23.5;99;;23;1;8;
83670;08/01/1961;0000;19.7;19.6;99;;23;1;8;
83670;08/01/1961;1200;20.6;20.6;100;;18;1;9;
83670;08/01/1961;1800;23.7;23.3;99;;23;1;8;
83670;09/01/1961;0000;20.8;20.7;99;;9;3;10;
83670;09/01/1961;1200;24.4;23;88;;14;1;8;
83670;09/01/1961;1800;29;25.6;75;;9;1;5;
83670;10/01/1961;0000;23.4;22.1;89;;23;1;9;
