<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83672</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : ARACATUBA - SP (OMM: 83672)
Latitude  (graus) : -21.2
Longitude (graus) : -50.43
Altitude  (metros): 397.00
Esta��o Desativada
Inicio de opera��o: 23/11/1938
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83672;01/01/1961;1200;25;23.5;88;962.7;36;3;10;
83672;01/01/1961;1800;25.4;24.6;94;960.8;0;0;10;
83672;02/01/1961;0000;22;21.6;96;959.8;0;0;10;
83672;02/01/1961;1200;22.2;21.8;96;962.4;0;0;10;
83672;02/01/1961;1800;26.6;24.4;83;961;23;1;9;
83672;03/01/1961;0000;22.8;22.2;95;961;14;1;10;
83672;03/01/1961;1200;23.6;22.9;94;962.4;23;1;10;
83672;03/01/1961;1800;25.6;23.4;82;960.6;32;3;10;
83672;04/01/1961;0000;23.4;22.7;94;959.8;0;0;10;
83672;04/01/1961;1200;25.4;24;89;963.4;32;1;10;
83672;04/01/1961;1800;30;26.5;75;959.6;32;1;10;
83672;05/01/1961;0000;22.8;21.4;88;961;0;0;10;
83672;05/01/1961;1200;24;23.2;95;962.4;14;3;10;
83672;05/01/1961;1800;32.3;26.5;62;959.6;14;1;6;
83672;06/01/1961;0000;26;23.6;81;960.7;0;0;10;
83672;06/01/1961;1200;25.6;24;87;962.3;0;0;9;
83672;06/01/1961;1800;28.2;24.9;75;959.6;32;1;10;
83672;07/01/1961;0000;22.3;21.6;94;959.2;0;0;10;
83672;07/01/1961;1200;24.8;24;94;963.5;36;1;10;
83672;07/01/1961;1800;29.4;25.6;73;961.2;5;1;6;
83672;08/01/1961;0000;23.5;22.9;94;961.6;0;0;10;
83672;08/01/1961;1200;25.2;24;90;964.6;14;1;10;
83672;08/01/1961;1800;26;24.5;88;962;14;3;9;
83672;09/01/1961;0000;25.6;24.8;93;962.3;0;0;10;
83672;09/01/1961;1200;24.2;23.2;92;964.7;0;0;10;
