<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83676</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CATANDUVA - SP (OMM: 83676)
Latitude  (graus) : -21.11
Longitude (graus) : -48.93
Altitude  (metros): 570.00
Esta��o Operante
Inicio de opera��o: 01/08/1936
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83676;01/01/1961;1200;22.9;22.3;95;950.6;32;4;10;
83676;01/01/1961;1800;26.6;23.8;78;947.6;32;7;10;
83676;02/01/1961;0000;22.4;21.8;94;949.1;0;0;10;
83676;02/01/1961;1200;24;22.3;85;950.2;27;3;10;
83676;02/01/1961;1800;23.3;22.3;91;947.4;27;3;10;
83676;03/01/1961;0000;21.8;21.2;95;948.4;0;0;10;
83676;03/01/1961;1200;23.6;22.2;88;949.4;23;3;10;
83676;03/01/1961;1800;23.1;23.1;100;947.6;27;4;10;
83676;04/01/1961;0000;23;22.1;92;948.2;0;0;10;
83676;04/01/1961;1200;22.4;22.2;98;949.4;27;3;10;
83676;04/01/1961;1800;25.3;23.7;88;947.1;32;4;10;
83676;05/01/1961;0000;22.2;21.5;93;948.4;0;0;6;
83676;05/01/1961;1200;24.5;22.6;84;950;23;3;10;
83676;05/01/1961;1800;28.9;24.4;68;947.4;18;2;7;
83676;06/01/1961;0000;24.9;22.9;84;948.4;0;0;5;
83676;06/01/1961;1200;25.2;22.9;81;950.3;36;9;10;
83676;06/01/1961;1800;25.1;23.8;89;947.4;23;2;10;
83676;07/01/1961;0000;20.8;20.7;99;950;0;0;10;
83676;07/01/1961;1200;23.1;22.5;95;951.1;0;0;10;
83676;07/01/1961;1800;27.7;24;72;947.2;27;5;9;
83676;08/01/1961;0000;24.9;23.3;87;949.8;0;0;10;
83676;08/01/1961;1200;23.6;23.3;97;951.8;0;0;10;
83676;08/01/1961;1800;28.7;25.1;74;949.1;23;1;9;
83676;09/01/1961;0000;24.3;23;89;950.7;0;0;10;
