<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83680</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : MOCOCA - SP (OMM: 83680)
Latitude  (graus) : -21.46
Longitude (graus) : -47
Altitude  (metros): 665.00
Esta��o Fechada
Inicio de opera��o: 01/01/1940
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83680;01/01/1961;1200;23.7;22;85;933.8;36;2.3;10;
83680;01/01/1961;1800;23.2;22;89;931.1;32;1.1;10;
83680;02/01/1961;0000;21.2;20.7;95;933.5;27;1;10;
83680;02/01/1961;1200;22;21.1;92;933.6;36;1.8;10;
83680;02/01/1961;1800;24.5;22.5;83;931.4;32;5.2;10;
83680;03/01/1961;0000;21.2;20.5;93;932.3;36;1.5;10;
83680;03/01/1961;1200;23.7;22.2;87;933;27;3.8;8;
83680;03/01/1961;1800;29.5;24.3;64;929.5;23;4.8;5;
83680;04/01/1961;0000;23;21.5;87;931.8;32;4.7;8;
83680;04/01/1961;1200;24;22.3;85;932.7;36;2;10;
83680;04/01/1961;1800;24.3;22.5;85;931.2;36;1;10;
83680;05/01/1961;0000;21.6;21;95;932.2;5;2;6;
83680;05/01/1961;1200;23.2;22;89;933.9;32;1;10;
83680;05/01/1961;1800;29.2;24;64;931;32;1;8;
83680;06/01/1961;0000;22.5;21.8;93;931.9;9;1.2;4;
83680;06/01/1961;1200;22.9;22.2;94;933.6;5;1.9;10;
83680;06/01/1961;1800;22.1;21.6;95;932.7;36;1.2;10;
83680;07/01/1961;0000;20.6;20.1;96;933.1;5;4.3;10;
83680;07/01/1961;1200;23.1;21.7;88;934.4;5;1;10;
83680;07/01/1961;1800;25.4;24;89;932.3;23;3.8;8;
83680;08/01/1961;0000;21;20.7;97;934.2;36;0.5;9;
83680;08/01/1961;1200;24.8;23.1;86;934;5;2;9;
83680;08/01/1961;1800;25;22.6;81;933.8;23;1;9;
83680;09/01/1961;0000;23.4;22.8;94;934.6;27;1;9;
83680;09/01/1961;1200;24.5;22.7;85;935.1;5;0.5;7;
83680;09/01/1961;1800;26;23.3;78;932.7;5;2.2;10;
83680;10/01/1961;0000;21.6;21.4;98;933.1;9;0.8;3;
83680;10/01/1961;1200;24.1;23;90;935.5;27;2;9;
83680;10/01/1961;1800;29.4;24.8;69;932.3;23;4;5;
83680;11/01/1961;0000;24.4;22.5;84;933;23;2.7;4;
83680;11/01/1961;1200;25.2;22.7;80;933;32;1.2;7;
83680;11/01/1961;1800;24.4;21;72;933.8;5;7.2;10;
83680;12/01/1961;0000;21.5;20.6;92;933.6;5;1.2;1;
83680;12/01/1961;1200;24.9;21.7;75;935.6;5;3.2;4;
83680;12/01/1961;1800;28.5;23.2;63;933.8;5;3.2;7;
83680;13/01/1961;0000;22;20.6;88;936;5;3;10;
83680;13/01/1961;1200;21.7;20.6;90;938;5;2.2;9;
83680;13/01/1961;1800;22;20.5;87;935.4;9;2;9;
83680;14/01/1961;0000;21.5;20.4;90;936.4;5;2.8;4;
83680;14/01/1961;1200;24;21.4;78;937.5;36;2.9;9;
83680;14/01/1961;1800;26.7;22.9;71;935.2;5;2;7;
83680;15/01/1961;0000;23;21.2;85;934.8;5;2;1;
83680;15/01/1961;1200;25;21.7;74;936.8;5;4.2;2;
83680;15/01/1961;1800;29.5;24.3;64;934.6;32;4;4;
83680;16/01/1961;0000;21.6;19.8;84;936.3;5;2;5;
83680;16/01/1961;1200;25;22.1;77;937.8;5;3;5;
83680;16/01/1961;1800;23.7;22.2;87;935;14;1.8;8;
83680;17/01/1961;0000;20.9;19.9;91;937.1;5;2.9;10;
83680;17/01/1961;1200;25;21.5;73;939.5;5;3.2;4;
83680;17/01/1961;1800;22.3;20.8;87;938.7;14;3.3;9;
83680;18/01/1961;0000;22;21;91;939.6;36;1.2;1;
83680;18/01/1961;1200;26.7;22.6;69;941;9;3.8;4;
83680;18/01/1961;1800;31.6;24.6;56;938.4;27;3.8;6;
83680;19/01/1961;0000;22.7;20.6;82;939.9;27;0.6;6;
83680;19/01/1961;1200;25.2;22.2;77;940.6;5;3;6;
83680;19/01/1961;1800;24.4;20.8;72;938.6;14;2.9;9;
83680;20/01/1961;0000;20.1;19.4;93;939.6;36;2.2;9;
83680;20/01/1961;1200;25.2;21.9;74;938.8;36;2.1;6;
83680;20/01/1961;1800;28.6;23.6;65;936.4;23;1.2;7;
83680;21/01/1961;0000;22.1;20.6;87;937.6;32;3.1;9;
83680;21/01/1961;1200;23.6;21.7;84;937.4;36;2.2;9;
83680;21/01/1961;1800;29.5;24.5;66;933.2;27;5.1;5;
83680;22/01/1961;0000;25.1;23;83;934.8;18;1;7;
83680;22/01/1961;1200;26.5;22.7;72;936.2;36;4.1;6;
83680;22/01/1961;1800;32;23.4;47;933.6;32;5.1;6;
83680;23/01/1961;0000;25.6;22.6;77;934.3;23;4;8;
83680;23/01/1961;1200;24.8;22.9;84;936;5;3.4;4;
