<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83681</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CALDAS P  DE CALDAS  - MG (OMM: 83681)
Latitude  (graus) : -21.91
Longitude (graus) : -46.38
Altitude  (metros): 1150.00
Esta��o Operante
Inicio de opera��o: 10/11/1988
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83681;01/01/1961;1200;20.6;19.2;88;877.1;5;1;10;
83681;01/01/1961;1800;21.8;20.6;90;875;27;1;10;
83681;02/01/1961;0000;19;18.6;96;876.7;27;1;10;
83681;02/01/1961;1200;19.3;18.7;94;876.7;32;1;10;
83681;02/01/1961;1800;20.2;19.3;91;874.7;27;1;10;
83681;03/01/1961;0000;18.6;18.3;97;875.5;32;3;9;
83681;03/01/1961;1200;20.4;19.6;92;875.6;0;0;7;
83681;03/01/1961;1800;25.2;21.9;75;874;27;1;7;
83681;04/01/1961;0000;19.9;19.2;94;875.5;0;0;10;
83681;04/01/1961;1200;19.6;19.2;97;875.9;27;1;10;
83681;04/01/1961;1800;21.5;19.8;85;874.6;27;1;10;
83681;05/01/1961;0000;19.1;18.6;95;876;0;0;5;
83681;05/01/1961;1200;21;19;83;876.8;27;1;9;
83681;05/01/1961;1800;25.7;22.2;74;874.8;27;1;9;
83681;06/01/1961;0000;21;20;91;875.5;5;1;6;
83681;06/01/1961;1200;19.6;19;95;876.7;32;3;10;
83681;06/01/1961;1800;20.8;19.9;92;875.1;27;1;10;
83681;07/01/1961;0000;19.4;19;96;876.2;0;0;10;
83681;07/01/1961;1200;20.2;19.4;92;877.5;27;1;10;
83681;07/01/1961;1800;24.5;21.8;78;875.6;0;0;8;
83681;08/01/1961;0000;20.2;19.8;96;877.6;0;0;10;
83681;08/01/1961;1200;20.8;18.7;83;878.4;0;0;10;
83681;08/01/1961;1800;21.2;20.6;94;876;36;1;10;
83681;09/01/1961;0000;20.2;19.6;94;878.2;36;1;10;
83681;09/01/1961;1200;21;20;91;878.8;9;1;10;
83681;09/01/1961;1800;23.3;21.6;87;876.7;0;0;8;
83681;10/01/1961;0000;20.5;19.6;91;877;0;0;6;
83681;10/01/1961;1200;21.6;20.4;89;878.4;36;1;7;
83681;10/01/1961;1800;27.1;23.4;72;875.6;0;0;7;
83681;11/01/1961;0000;22.2;21.2;91;876.8;23;1;5;
83681;11/01/1961;1200;24.1;21.2;77;877.6;9;1;5;
83681;11/01/1961;1800;23.8;21.2;80;876.3;5;3;8;
83681;12/01/1961;0000;19;18.2;92;877.8;0;0;7;
83681;12/01/1961;1200;22;19.3;77;879.1;5;3;8;
83681;12/01/1961;1800;25.2;21.7;74;877.4;5;1;7;
83681;13/01/1961;0000;18.2;17.6;94;879.6;9;1;10;
83681;13/01/1961;1200;18.5;17.8;93;880.7;9;1;10;
83681;13/01/1961;1800;22;20.2;85;878.4;32;1;7;
83681;14/01/1961;0000;19.4;18.5;91;879.6;5;1;6;
83681;14/01/1961;1200;21;19;83;880.6;5;1;8;
83681;14/01/1961;1800;24.5;21.3;74;878.7;32;3;8;
83681;15/01/1961;0000;20;19.4;94;878.7;0;0;0;
83681;15/01/1961;1200;22.2;19.5;78;880.2;5;3;4;
