<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83684</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : TRES CORACOES - MG (OMM: 83684)
Latitude  (graus) : -21.7
Longitude (graus) : -45.25
Altitude  (metros): 893.00
Esta��o Desativada
Inicio de opera��o: 11/07/1921
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83684;07/01/1961;1200;22.5;21;88;915.6;0;0;10;
83684;07/01/1961;1800;25;23;85;912.8;23;1;10;
83684;08/01/1961;0000;19;18;90;914.4;0;0;10;
83684;08/01/1961;1200;21;19.5;87;915.8;0;0;10;
83684;08/01/1961;1800;26;24;85;911.4;32;1;10;
83684;09/01/1961;0000;20;19.8;98;913;0;0;10;
83684;09/01/1961;1200;22;21;91;917.1;0;0;10;
83684;09/01/1961;1800;28;24;71;914;0;0;10;
83684;10/01/1961;0000;22.5;21.4;90;915.6;23;1;10;
83684;10/01/1961;1200;20.5;20;95;915.6;0;0;10;
83684;10/01/1961;1800;28.5;24;68;912.7;0;0;10;
83684;11/01/1961;0000;21;20;91;914.2;32;1;10;
83684;11/01/1961;1200;23;21;84;915.6;0;0;7;
83684;11/01/1961;1800;29;24;65;911.4;0;0;5;
83684;12/01/1961;0000;22.5;21.5;91;912.8;0;0;6;
83684;12/01/1961;1200;22.6;20;78;916.8;0;0;8;
83684;12/01/1961;1800;24;21;76;914;0;0;9;
83684;13/01/1961;0000;19;17;82;915.6;0;0;10;
83684;13/01/1961;1200;22.5;21;88;919.8;0;0;8;
83684;13/01/1961;1800;24.5;22;80;915.6;0;0;10;
83684;14/01/1961;0000;19;18;90;917.2;0;0;10;
83684;14/01/1961;1200;23;21;84;919.8;0;0;8;
83684;14/01/1961;1800;28;24;71;916.7;0;0;6;
83684;15/01/1961;0000;19;17;82;918.2;0;0;7;
83684;15/01/1961;1200;22;19;75;921.1;0;0;7;
83684;15/01/1961;1800;27.5;23.5;71;916.8;0;0;4;
83684;16/01/1961;0000;24;21;76;918.4;0;0;6;
83684;16/01/1961;1200;21;19;83;921;0;0;3;
83684;16/01/1961;1800;26;23;77;916.7;0;0;7;
83684;17/01/1961;0000;22;19;75;919.5;0;0;6;
83684;17/01/1961;1200;19;17;82;922.2;0;0;3;
83684;17/01/1961;1800;29;24;65;919.1;0;0;5;
83684;18/01/1961;0000;22.5;21;88;920.6;0;0;6;
83684;18/01/1961;1200;23;22;91;923.2;0;0;4;
83684;18/01/1961;1800;31.5;24;52;918.8;0;0;7;
83684;19/01/1961;0000;24.5;22.5;84;920.4;0;0;5;
83684;19/01/1961;1200;23.5;21;80;923.5;0;0;6;
83684;19/01/1961;1800;26;23;77;919.1;0;0;5;
83684;20/01/1961;0000;20;18;82;918;0;0;8;
83684;20/01/1961;1200;22;19;75;921;0;0;7;
83684;20/01/1961;1800;28;24;71;916.3;0;0;6;
83684;21/01/1961;0000;22.5;20;79;918;0;0;7;
83684;21/01/1961;1200;20;18;82;919.6;0;0;8;
83684;21/01/1961;1800;25;23;85;916.7;0;0;6;
83684;22/01/1961;0000;23;21.5;88;918.2;0;0;5;
83684;22/01/1961;1200;22;20;83;919.5;0;0;8;
83684;22/01/1961;1800;29;23;59;915.2;0;0;6;
83684;23/01/1961;0000;23.5;21.5;84;917;0;0;9;
83684;23/01/1961;1200;22.5;20.5;84;921;0;0;9;
83684;23/01/1961;1800;24.5;21;72;914.2;0;0;10;
83684;24/01/1961;0000;21.5;20;87;915.8;0;0;10;
83684;24/01/1961;1200;22;21;91;917;0;0;8;
83684;24/01/1961;1800;29;23;59;913.9;0;0;6;
83684;25/01/1961;0000;24;22.8;89;916.7;0;0;7;
83684;25/01/1961;1200;21;20;91;920.8;0;0;8;
83684;25/01/1961;1800;25;23.6;89;915.4;0;0;10;
83684;26/01/1961;0000;21.5;20.4;90;917;0;0;10;
83684;26/01/1961;1200;21.5;20.5;91;914.3;0;0;10;
83684;26/01/1961;1800;23;20;76;911.8;0;0;10;
83684;27/01/1961;0000;19;17;82;913.2;0;0;10;
83684;27/01/1961;1200;18;17;90;918.7;0;0;10;
83684;27/01/1961;1800;22;20;83;914.6;0;0;10;
83684;28/01/1961;0000;19.5;17.5;82;916.2;0;0;10;
83684;28/01/1961;1200;18;17.5;95;916.2;0;0;10;
83684;28/01/1961;1800;23.5;21.5;84;913.1;0;0;6;
83684;29/01/1961;0000;20.5;19.5;90;914.6;0;0;5;
83684;29/01/1961;1200;20;18;82;918.6;0;0;8;
83684;29/01/1961;1800;24;22;84;915.6;0;0;8;
83684;30/01/1961;0000;19.5;17.5;82;917.1;0;0;9;
83684;30/01/1961;1200;23;21;84;919.8;0;0;7;
83684;30/01/1961;1800;27.5;23.5;71;914;0;0;6;
83684;31/01/1961;0000;22.5;20;79;915.5;0;0;8;
83684;31/01/1961;1200;21;18;74;918.4;0;0;10;
83684;31/01/1961;1800;28;25;78;914.2;0;0;9;
83684;01/02/1961;0000;19;17;82;915.6;0;0;10;
83684;01/02/1961;1200;21;19.5;87;918.6;0;0;10;
83684;01/02/1961;1800;27;22;64;916.8;0;0;6;
83684;02/02/1961;0000;19;17;82;918.3;0;0;5;
83684;02/02/1961;1200;24;22;84;920.2;0;0;2;
83684;02/02/1961;1800;30;25;66;916.3;0;0;6;
83684;03/02/1961;0000;20.5;19;87;918;0;0;10;
83684;03/02/1961;1200;22;21;91;919.6;0;0;6;
83684;03/02/1961;1800;31;25.5;64;916.2;0;0;6;
83684;04/02/1961;0000;20.5;19.5;90;917.8;0;0;10;
83684;04/02/1961;1200;24.5;21.5;76;920.8;0;0;2;
83684;04/02/1961;1800;30;24;60;915;0;0;8;
83684;05/02/1961;0000;18;17.5;95;916.7;0;0;10;
83684;05/02/1961;1200;17.5;16;86;918.4;0;0;10;
83684;05/02/1961;1800;26;22.5;74;915.5;0;0;6;
83684;06/02/1961;0000;21;19.5;87;917;0;0;10;
83684;06/02/1961;1200;22;20;83;920.8;0;0;3;
83684;06/02/1961;1800;29.5;25;69;916.4;0;0;3;
83684;07/02/1961;0000;21;19.5;87;918;0;0;6;
83684;07/02/1961;1200;23.5;21.5;84;919.5;0;0;3;
