<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83688</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : SAO JOAO DEL REI - MG (OMM: 83688)
Latitude  (graus) : -21.3
Longitude (graus) : -44.26
Altitude  (metros): 991.00
Esta��o Desativada
Inicio de opera��o: 01/01/1915
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83688;01/01/1961;1200;21.8;19.6;82;906.6;32;2;10;
83688;01/01/1961;1800;25.4;21;67;904.8;32;2;10;
83688;02/01/1961;0000;21.7;20.1;87;906.7;0;0;10;
83688;02/01/1961;1200;21;19.9;90;906.4;32;2;10;
83688;02/01/1961;1800;21.4;20.2;89;903.5;5;2;8;
83688;03/01/1961;0000;21;19.4;86;905.6;32;1;10;
83688;03/01/1961;1200;23;20.9;83;904.4;5;3;10;
83688;03/01/1961;1800;26.4;22.4;70;903.6;32;2;10;
83688;04/01/1961;0000;20.4;18.6;85;905.4;32;1;10;
83688;04/01/1961;1200;23.8;21.3;80;904.8;32;1;8;
83688;04/01/1961;1800;22.2;21.2;91;904;32;1;10;
83688;05/01/1961;0000;20;19.6;96;905.5;32;1;10;
83688;05/01/1961;1200;20.4;19.7;93;906.2;5;1;10;
83688;05/01/1961;1800;23;20.2;78;904.4;36;2;10;
83688;06/01/1961;0000;21;20;91;906.3;32;2;10;
83688;06/01/1961;1200;21.8;19.8;83;906.2;36;3;10;
83688;06/01/1961;1800;24.8;21.6;75;904.6;32;1;9;
83688;07/01/1961;0000;20.2;19.2;91;906;32;1;10;
83688;07/01/1961;1200;20.8;19.8;91;906.8;0;0;10;
83688;07/01/1961;1800;28;22.6;62;904.7;5;1;9;
83688;08/01/1961;0000;21;20.1;92;907.9;0;0;10;
83688;08/01/1961;1200;20.6;19.9;94;907.8;32;1;10;
83688;08/01/1961;1800;22.8;20.6;83;906;0;0;10;
83688;09/01/1961;0000;20.6;20;95;907.4;0;0;10;
83688;09/01/1961;1200;21.6;20.4;89;908.2;32;1;9;
