<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83689</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : BARBACENA - MG (OMM: 83689)
Latitude  (graus) : -21.25
Longitude (graus) : -43.76
Altitude  (metros): 1126.00
Esta��o Operante
Inicio de opera��o: 09/06/1914
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83689;01/01/1961;1200;19.1;18.5;94;887.8;32;3;10;
83689;01/01/1961;1800;22.4;19.7;78;886.3;32;8;10;
83689;02/01/1961;0000;19.3;18.7;94;886.4;0;0;10;
83689;02/01/1961;1200;18.9;18.7;98;886.8;32;1;10;
83689;02/01/1961;1800;22;20.4;87;884.8;32;7;10;
83689;03/01/1961;0000;18.8;18.4;96;886.2;32;3;10;
83689;03/01/1961;1200;20.6;19.7;92;885.4;32;3;10;
83689;03/01/1961;1800;23.7;21.1;79;883.6;32;3;10;
83689;04/01/1961;0000;19.9;19.2;94;885.2;0;0;10;
83689;04/01/1961;1200;20.7;19.9;93;886;36;1;7;
83689;04/01/1961;1800;21.6;20.7;92;884.6;27;3;10;
83689;05/01/1961;0000;19.5;18.9;94;886.3;0;0;10;
83689;05/01/1961;1200;19.1;18.8;97;886.7;0;0;10;
83689;05/01/1961;1800;20.3;19.7;94;885.6;0;0;10;
83689;06/01/1961;0000;19.3;19;97;886.7;0;0;10;
83689;06/01/1961;1200;19.9;18.7;89;885.9;32;4;10;
83689;06/01/1961;1800;24;20.5;72;885.6;32;9;7;
83689;07/01/1961;0000;18.5;18;95;886.2;0;0;10;
83689;07/01/1961;1200;19.2;19;98;886.4;32;1;10;
83689;07/01/1961;1800;22.4;20.7;87;884.7;0;0;10;
83689;08/01/1961;0000;19.1;18.7;96;889.4;14;1;10;
83689;08/01/1961;1200;19;18.9;99;889.1;0;0;10;
83689;08/01/1961;1800;24.2;21.6;80;886.8;0;0;10;
83689;09/01/1961;0000;19.5;19;95;882.4;0;0;10;
83689;09/01/1961;1200;20;19;91;889.6;0;0;7;
83689;09/01/1961;1800;26.1;22.1;70;887.2;32;3;7;
83689;10/01/1961;0000;20.1;19.3;92;886.6;27;1;10;
83689;10/01/1961;1200;21.2;20.2;91;887.9;32;1;4;
83689;10/01/1961;1800;22.2;20.9;88;886.4;23;3;10;
83689;11/01/1961;0000;20;19.2;93;887.5;14;7;8;
83689;11/01/1961;1200;19.1;18.2;91;887.9;0;0;10;
83689;11/01/1961;1800;21.3;19.5;85;886.6;32;1;10;
83689;12/01/1961;0000;19.1;18.6;95;887.9;14;1;10;
83689;12/01/1961;1200;18.7;17.9;92;889.4;5;1;10;
83689;12/01/1961;1800;20.2;18.4;84;888.8;0;0;8;
83689;13/01/1961;0000;17.9;17.3;94;890.2;0;0;10;
83689;13/01/1961;1200;18.5;17.4;89;891.6;0;0;10;
83689;13/01/1961;1800;22.4;20.3;83;889.6;32;3;10;
83689;14/01/1961;0000;17.3;16.9;96;890.2;0;0;10;
83689;14/01/1961;1200;20.5;18.4;82;890.8;36;1;5;
83689;14/01/1961;1800;25.4;20.9;66;889.2;32;1;8;
