<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83692</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : JUIZ DE FORA - MG (OMM: 83692)
Latitude  (graus) : -21.76
Longitude (graus) : -43.36
Altitude  (metros): 939.96
Esta��o Operante
Inicio de opera��o: 01/01/1910
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83692;01/01/1961;1200;22;19.8;80;933;18;2;10;
83692;01/01/1961;1800;26.4;20.2;56;931.4;0;0;10;
83692;02/01/1961;0000;21.6;20.2;88;930.8;0;0;10;
83692;02/01/1961;1200;21.7;20.4;88;932.4;0;0;10;
83692;02/01/1961;1800;25;20.2;64;929.8;0;0;10;
83692;03/01/1961;0000;20.6;18.9;85;930.3;0;0;10;
83692;03/01/1961;1200;23.2;21;81;930.2;0;0;10;
83692;03/01/1961;1800;24.6;20.4;67;928.8;0;0;10;
83692;04/01/1961;0000;22;21;91;929.6;0;0;10;
83692;04/01/1961;1200;21.6;20;86;930;0;0;10;
83692;04/01/1961;1800;23.8;21;77;929;0;0;10;
83692;05/01/1961;0000;21.2;20;89;929.5;0;0;10;
83692;05/01/1961;1200;21.8;21.1;94;931.1;0;0;10;
83692;05/01/1961;1800;24.4;20.4;69;930.4;36;1;10;
83692;06/01/1961;0000;21.4;20.7;94;930.4;0;0;10;
83692;06/01/1961;1200;23.4;21;80;931;32;2;9;
83692;06/01/1961;1800;27.2;20.6;54;930.2;36;2;9;
83692;07/01/1961;0000;22.2;21;89;929.4;0;0;10;
83692;07/01/1961;1200;22;20.6;88;930.6;0;0;10;
83692;07/01/1961;1800;24;21.4;78;931.2;0;0;10;
83692;08/01/1961;0000;21.8;20.6;90;931.1;0;0;10;
83692;08/01/1961;1200;21.2;20.6;94;934;0;0;10;
83692;08/01/1961;1800;26.2;21.4;64;933.2;0;0;10;
83692;09/01/1961;0000;21.4;20.7;94;933.1;0;0;10;
83692;09/01/1961;1200;21.1;20.6;95;933;0;0;10;
83692;09/01/1961;1800;28.8;22.2;55;931.8;36;2;10;
83692;10/01/1961;0000;22.2;20.6;86;930.3;0;0;10;
83692;10/01/1961;1200;22.8;20.6;82;931.6;0;0;9;
83692;10/01/1961;1800;27;23;70;931.2;0;0;10;
83692;11/01/1961;0000;22.2;20;81;931.5;18;2;10;
83692;11/01/1961;1200;21.6;20;86;933;0;0;10;
83692;11/01/1961;1800;29;22.1;54;931.1;36;2;8;
83692;12/01/1961;0000;21.4;20;87;934;0;0;10;
83692;12/01/1961;1200;21.2;20.1;90;935.9;36;2;10;
83692;12/01/1961;1800;21.6;20;86;935.6;18;2;10;
83692;13/01/1961;0000;19.9;19;92;937.6;18;1;10;
83692;13/01/1961;1200;20.6;19;86;937.1;32;2;10;
83692;13/01/1961;1800;24.6;20.2;66;935.5;36;2;9;
83692;14/01/1961;0000;21.4;19.1;80;935.4;0;0;10;
83692;14/01/1961;1200;20.7;19;85;935.9;32;2;9;
